sentence,count_words,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,count_named_entities,count_number_date_time,future_tense,rule1,rule2,rule3,rule4,rule5,count_capitalized,count_dictionary_words,count_elongated,count_expressions,count_mentions,count_url,emoji_polarity_score,emoticon_polarity_score,negation,proportion_capitalized,subjectivity
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",20.0,0.0,0.0,0.0,0.0,0.0252100840336134,0.0,2.0,0.0,0.0,1.0,3.0,0.0,7.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,-0.0415217391304347,-0.955,0.0079565217391304,0.183,-0.0030869565217391,-0.0709999999999999,-0.028695652173913,-0.66,-0.0526086956521739,-1.21,0.0556086956521739,1.279,0.0110869565217391,0.255,0.0152608695652173,0.351,0.0407826086956521,0.938,0.0526086956521739,1.21,3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0
"A leitura é curta e simples, apesar de ter uma crítica enorme por entre as linhas.",16.0,0.0,0.0,0.0,0.0,0.0121951219512195,3.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0377222222222222,0.6790000000000002,-0.0505555555555555,-0.91,0.0956111111111111,1.721,0.0708888888888888,1.276,-0.0721111111111111,-1.298,0.1493888888888889,2.689,0.1514444444444444,2.726,0.1284999999999999,2.313,0.1449999999999999,2.6099999999999994,0.0721111111111111,1.298,2.0,2.0,2.0,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",22.0,0.0,0.0,0.0,0.0,0.0086206896551724,0.0,6.0,0.0,0.0,1.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0949615384615384,-2.469,0.0364230769230769,0.947,-0.1101538461538461,-2.8640000000000008,-0.0846923076923076,-2.2019999999999995,0.0629615384615384,1.637,0.2157307692307692,5.609000000000001,0.1112692307692307,2.893,0.2266923076923077,5.894,0.2322307692307692,6.038,0.1604230769230769,4.171,5.0,5.0,5.0,5.0,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
Muidinga e Tuahir servem de voz condutora ligando os muitos fios fabulários num eixo comum.,15.0,0.0,0.0,0.0,0.0,0.0219780219780219,3.0,2.0,3.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.04825,0.772,-0.0475625,-0.761,0.043875,0.702,0.052,0.832,-0.0101875,-0.163,0.05225,0.8360000000000001,0.0740625,1.185,0.065125,1.042,0.0645,1.032,0.0101875,0.163,1.0,1.0,1.0,1.0,0.0625,0.0625,0.0625,0.0625,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",24.0,0.0,0.0,0.0,0.0,0.044776119402985,0.0,4.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0316666666666666,0.855,-0.0422962962962962,-1.142,0.0565925925925925,1.528,0.0652962962962963,1.763,0.0002592592592592,0.0069999999999999,0.0971481481481481,2.623,0.1137777777777777,3.072,0.142074074074074,3.836,0.1167777777777777,3.153,0.0061851851851851,0.1669999999999999,1.0,1.0,1.0,1.0,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",20.0,0.0,0.0,0.0,0.0,0.0083333333333333,2.0,4.0,2.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0277272727272727,0.6100000000000001,0.0467272727272727,1.028,0.0301818181818181,0.6639999999999999,0.0626363636363636,1.378,-0.0052272727272727,-0.115,0.1101818181818181,2.424,0.1351818181818181,2.974,0.1250909090909091,2.752,0.1251818181818181,2.754,0.0052272727272727,0.115,4.0,4.0,4.0,4.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
"E nessas história a quantidade de temas é gigantesca: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",17.0,0.0,0.0,0.0,0.0,0.0074626865671641,2.0,2.0,2.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0639130434782608,1.47,-0.0705652173913043,-1.6230000000000004,0.0750869565217391,1.727,0.0770434782608695,1.7719999999999996,-0.0783913043478261,-1.803,0.1370434782608695,3.152,0.1705652173913043,3.923,0.2169130434782608,4.989,0.199391304347826,4.585999999999999,0.0783913043478261,1.803,3.0,3.0,3.0,3.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",18.0,0.0,0.0,0.0,0.0,0.018018018018018,0.0,4.0,0.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.0310499999999999,-0.6209999999999999,0.00185,0.037,-0.0503499999999999,-1.007,-0.0263499999999999,-0.5269999999999999,-0.0097,-0.194,0.04765,0.953,0.01195,0.239,0.0531499999999999,1.063,0.0370499999999999,0.7409999999999999,0.0097,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,21.0,0.0,0.0,0.0,0.0,0.0080645161290322,0.0,4.0,0.0,0.0,1.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0241818181818181,0.532,-0.0005,-0.011,0.0645454545454545,1.42,0.0567727272727272,1.249,-0.0050454545454545,-0.111,0.0336363636363636,0.74,0.0879545454545454,1.935,0.090090909090909,1.982,0.0703181818181818,1.547,0.0065,0.143,2.0,2.0,2.0,2.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",31.0,0.0,0.0,0.0,0.0,0.0319148936170212,0.0,3.0,0.0,0.0,1.0,3.0,0.0,7.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,-0.020060606060606,-0.6620000000000001,-0.0201212121212121,-0.664,-0.0113636363636363,-0.3749999999999999,-0.0211818181818181,-0.699,0.0131212121212121,0.433,0.0819393939393939,2.704,0.0472121212121212,1.5579999999999998,0.0772424242424242,2.549,0.0906969696969697,2.9930000000000003,0.0794242424242424,2.621,4.0,4.0,4.0,4.0,0.1212121212121212,0.1212121212121212,0.1212121212121212,0.1212121212121212,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
O livro também aborda a superpopulação como um problema de saúde pública.,12.0,0.0,0.0,0.0,0.0,0.0136986301369863,1.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0227692307692307,-0.2959999999999999,-0.0686153846153846,-0.892,-0.1017692307692307,-1.323,-0.041076923076923,-0.5339999999999999,-0.0775384615384615,-1.008,0.1023076923076923,1.33,0.081076923076923,1.054,0.2309999999999999,3.003,0.1606153846153846,2.088,0.08,1.04,3.0,3.0,3.0,3.0,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.2307692307692307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
A capa contém tons acinzentados com a imagem de Dante e possui dois gráficos.,14.0,0.0,0.0,0.0,0.0,0.0259740259740259,0.0,2.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.0216666666666666,-0.3249999999999999,-0.0648666666666666,-0.973,0.0047999999999999,0.0719999999999999,0.0008,0.0120000000000001,0.0382666666666666,0.574,0.0906,1.359,0.0648666666666666,0.973,0.1072,1.608,0.1027999999999999,1.5419999999999998,0.0456,0.684,1.0,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
"O livro foi adaptado para o cinema, mas com alterações, como sempre.",12.0,0.0,0.0,0.0,0.0,0.0147058823529411,0.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0047333333333333,0.071,0.0046666666666666,0.07,0.0,0.0,0.0031333333333333,0.047,0.0,0.0,0.0047333333333333,0.071,0.0046666666666666,0.07,0.0,0.0,0.0031333333333333,0.047,0.0,0.0,1.0,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
"O conto se passa no interior de Minas, existindo farta nomeação de lugares e regiões.",15.0,0.0,0.0,0.0,0.0,0.0235294117647058,1.0,3.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1216470588235294,2.068,-0.0536470588235294,-0.912,0.1008235294117647,1.714,0.1318823529411764,2.242,0.0022941176470588,0.039,0.1216470588235294,2.068,0.1752941176470588,2.9799999999999995,0.1008235294117647,1.714,0.1318823529411764,2.242,0.0022941176470588,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
"Apesar dos neologismos, que podem tornar a leitura um complexa, ele busca a alma dos sertanejos e dos moradores das regiões rurais.",22.0,0.0,0.0,0.0,0.0,0.0076335877862595,2.0,3.0,2.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.02132,0.533,-0.0517199999999999,-1.293,0.01756,0.4389999999999999,0.03024,0.756,0.0,0.0,0.07804,1.951,0.0517199999999999,1.293,0.0967599999999999,2.419,0.0755199999999999,1.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
"O Partido utiliza das seguintes ferramentas para controlar a população: a teletela, uma fusão de televisão, câmera e escuta para espionagem.",21.0,0.0,0.0,0.0,0.0,0.0142857142857142,1.0,3.0,1.0,0.0,1.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.02652,0.663,-0.0034,-0.085,0.06756,1.689,0.05492,1.3730000000000002,-0.0037199999999999,-0.093,0.02652,0.663,0.0744399999999999,1.861,0.06756,1.689,0.05492,1.3730000000000002,0.0037199999999999,0.093,1.0,1.0,1.0,1.0,0.04,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
"Ler 1984 é um ato de legítima defesa, onde a cada página aprendemos como as engrenagens realmente funcionam na história política da humanidade.",23.0,0.0,0.0,0.0,0.0,0.0069930069930069,2.0,4.0,2.0,1.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.04096,1.024,-0.02052,-0.513,0.0254799999999999,0.6369999999999999,0.0373999999999999,0.935,-0.00544,-0.136,0.1025599999999999,2.564,0.05732,1.433,0.11028,2.757,0.09004,2.2510000000000003,0.0116,0.29,2.0,2.0,2.0,2.0,0.08,0.08,0.08,0.08,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0
"Vivendo em uma sociedade distópica, Winston, o herói da história, vive uma vida de medo e sofrimento.",17.0,0.0,0.0,0.0,0.0,0.0198019801980198,1.0,3.0,1.0,0.0,1.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0696190476190476,1.462,0.0494285714285714,1.0380000000000005,0.056047619047619,1.177,0.0623333333333333,1.309,-0.0099523809523809,-0.2089999999999999,0.1446666666666666,3.0380000000000003,0.1465714285714285,3.078,0.1377619047619047,2.893,0.1713809523809523,3.599,0.0852857142857142,1.791,2.0,2.0,2.0,2.0,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
"Tudo é controlado minuciosamente pelo partido e tudo é vigiado pelo grande irmão, que é o único salvador e pessoa chave da ideologia.",23.0,0.0,0.0,0.0,0.0,0.0075187969924812,2.0,3.0,2.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0639199999999999,1.5979999999999996,-0.0458,-1.1450000000000002,0.04132,1.033,0.0410399999999999,1.0259999999999998,0.05856,1.464,0.1956799999999999,4.892,0.103,2.575,0.1002,2.505,0.15248,3.812,0.08512,2.128,3.0,3.0,3.0,3.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
"Eles enfrentaram os mistérios mais sinistros dos últimos sessenta anos, sempre em busca da verdade.",15.0,0.0,0.0,0.0,0.0,0.0101010101010101,1.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0424117647058823,0.721,-0.0334705882352941,-0.569,0.0504117647058823,0.857,0.0421176470588235,0.716,0.0,0.0,0.0424117647058823,0.721,0.0334705882352941,0.569,0.0504117647058823,0.857,0.0421176470588235,0.716,0.0,0.0,1.0,1.0,1.0,1.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
"Levanta algumas questões filosóficas mas não se aprofunda muito, deixa pra o leitor refletir depois.",15.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0415294117647058,-0.706,0.0085294117647058,0.145,-0.0383529411764705,-0.6519999999999999,-0.0351764705882352,-0.598,0.0342941176470588,0.5830000000000001,0.0488235294117647,0.8300000000000001,0.0085294117647058,0.145,0.0383529411764705,0.6519999999999999,0.0397647058823529,0.676,0.0342941176470588,0.5830000000000001,1.0,1.0,1.0,1.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0
Após uma guerra nuclear poucos seres humanos permaneceram na Terra.,10.0,0.0,0.0,0.0,0.0,0.0298507462686567,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0596363636363636,0.6560000000000001,-0.0748181818181818,-0.823,0.0523636363636363,0.576,0.0579090909090909,0.637,-0.0076363636363636,-0.084,0.1103636363636363,1.214,0.0748181818181818,0.823,0.0621818181818181,0.684,0.085,0.935,0.0132727272727272,0.146,1.0,1.0,1.0,1.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
