sentence,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
"Recepcionistas atenciosos, além disso o hotel possui translado gratuito para o aeroporto, em 5 min.",15.0,1.0,0.0666666666666666,1.0,0.0101010101010101,1.0
Você chegá-la.,2.0,1.0,0.5,1.0,0.0714285714285714,0.0
"Ótimo preço e pertinho do aeroporto e com serviço de transfer gratuito do aeroporto ao hotel, o que é até bom porque dependendo do horário que se chega, os taxistas são um pouco resistentes em levá-lo.",36.0,0.0,0.0,0.0,0.0,1.0
"Não espere muito, principalmente pelo valor cobrado.",7.0,1.0,0.1428571428571428,1.0,0.0192307692307692,0.0
"Diária de R$ 99 direto no hotel, pelo booking estava R$89 descobri depois.Perto do aeroporto, é muito cômodo pra mim com uma TV a cabo reduzida, internet no quarto que todo dia tem que pedir p resetar e tem transfer do aeroporto p hotel - os taxistas não querem te levar por ser perto.Solicite os quartos dos fundos, mais silenciosos.",62.0,4.0,0.064516129032258,7.0,0.0209580838323353,1.0
"O que nao gosto e que o povo do Sul fuma demais e em qualquer lugar, algumas áreas do hotel cheiram forte de cigarro.",24.0,1.0,0.0416666666666666,2.0,0.017094017094017,1.0
"Considero bom o café da manha, com boa variedade de opções.",11.0,1.0,0.0909090909090909,1.0,0.0169491525423728,0.0
"O hotel fica bem próximo ao aeroporto e tem serviço de transfer grátis pra chegada e saída do aeroporto, basta ligar pra recepção e o carro está disponível, o trajeto leva apenas 5 minutos.",34.0,0.0,0.0,1.0,0.0052910052910052,1.0
"O quarto é bem simples, a roupa de cama e banho também.",12.0,0.0,0.0,1.0,0.0181818181818181,1.0
"Não tem comércio e restaurantes próximos, então o hotel oferece uma cozinha com pratos bem gostosos que podem ser solicitados.",20.0,1.0,0.05,1.0,0.0079365079365079,1.0
"O café da manha é ótimo e tem várias opções de pães, bolos, iogurte, cereais, frutas, suco, etc.",18.0,0.0,0.0,1.0,0.0104166666666666,0.0
O hotel fica perto do ponto de metro e próximo ao aeroporto.,12.0,0.0,0.0,1.0,0.0166666666666666,1.0
"Dá para ir de metro até lá, mas o hotel possui transfer gratuito, tanto para ida e para a chegada.",20.0,1.0,0.05,1.0,0.010204081632653,1.0
"Os quartos que ficam em frente a avenida Farrapos apresenta um pouco de barulho, mas nada que incomode, principalmente e noite.",21.0,2.0,0.0952380952380952,2.0,0.0157480314960629,1.0
"o quarto é bem simples, mas possui cama confortável.",9.0,0.0,0.0,0.0,0.0,1.0
"O banheiro é igualmente simples, mas limpo e funcionando.",9.0,0.0,0.0,1.0,0.0175438596491228,0.0
"O hotel fica próximo do aeroporto e tem transfer gratuito, entretanto a av.",13.0,0.0,0.0,1.0,0.0133333333333333,1.0
"Farrapos tem trânsito contínuo e o quarto não tem isolamento acústico, o que é terrível para dormir.",17.0,1.0,0.0588235294117647,1.0,0.01,1.0
"Quarto bem simples, mas com cama confortável.",7.0,1.0,0.1428571428571428,1.0,0.0222222222222222,1.0
"Banheiro igualmente simples, mas tudo limpo e funcionando.",8.0,1.0,0.125,1.0,0.0172413793103448,0.0
"Café da manhã simples, mas com boa variedade.",8.0,1.0,0.125,1.0,0.0222222222222222,1.0
Equipe foi muito simpática no atendimento.,6.0,1.0,0.1666666666666666,1.0,0.0238095238095238,1.0
Para pernoite acho ótima opção pelo valor.,7.0,1.0,0.1428571428571428,1.0,0.0238095238095238,0.0
O hotel expressinho esta localizado ao lado do Hotel expresso e compartilha um excelente cafe da manhã.,17.0,1.0,0.0588235294117647,2.0,0.0194174757281553,1.0
"Como a proposta é a simplicidade ele não possui elevador, somente escada para acesso aos quartos, que são limpos e organizados.",21.0,1.0,0.0476190476190476,1.0,0.0078740157480314,1.0
A equipe de atendimento é atenciosa.,6.0,0.0,0.0,1.0,0.0277777777777777,1.0
"Sinceramente, as únicas coisas boas no hotel são a proximidade do aeroporto, pra quem precisa ficar perto dele, e o transfer gratuito para o aeroporto.",25.0,1.0,0.04,1.0,0.0066225165562913,1.0
"Porque o resto... O hotel é muito simples, não tem elevador, o quarto é mais simples ainda, o banheiro horrível, o pessoal da recepção não é muito simpático, só vale mesmo para quem vai pegar um vôo muito cedo e não quer correr o risco de se atrasar.",48.0,1.0,0.0208333333333333,2.0,0.008,1.0
Hotel muito ruim.,3.0,1.0,0.3333333333333333,1.0,0.0588235294117647,1.0
"Apesar de barato, mesmo assim não vale a pena, nem para pernoitar para o dia seguinte, pois não dá para descansar, visto que o barulho da rua chegava todo no meu quarto, Só vale mesmo pelo transfer gratis",38.0,2.0,0.0526315789473684,2.0,0.0098039215686274,1.0
"O quarto e as instalações são simples, o café da manhã tem boa variedade e o transfer é gratuito.",19.0,0.0,0.0,1.0,0.0103092783505154,1.0
"Também consegui antecipar o check in, o que ajudou bastante.",10.0,1.0,0.1,1.0,0.0166666666666666,0.0
"O atendimento é muito bom, foram muito atenciosos.",8.0,0.0,0.0,1.0,0.02,1.0
"Hotel simples, com banheiros antigos.",5.0,1.0,0.2,1.0,0.027027027027027,1.0
"Tem quarto com duas camas de solteiro, que obviamente será para duas pessoas, mas falta toalha para um dos hospedes, pois só há uma toalha de banho.",27.0,1.0,0.037037037037037,1.0,0.0067567567567567,1.0
"O café da manhã Até que é gostoso, bem variado.Mas nos quartos da frente não se consegue dormir bem, pois o trânsito de carros, começa cedo, faz muito barulho e as janelas sem isolamento acústico, parece até estar aberta, pelo tanto de som que se ouve.",47.0,2.0,0.0425531914893617,3.0,0.0119047619047619,1.0
"Hotel com ótima localização, conta com transfer aeroporto-hotel-aeroporto, porém o quarto é muito pequeno e mal cuidado.",17.0,1.0,0.0588235294117647,1.0,0.0083333333333333,1.0
"Cama estava arrumada, porém não trocaram os lençóis, pois haviam cabelos no mesmo.",13.0,1.0,0.0769230769230769,1.0,0.0121951219512195,0.0
"Outro problema é acústica do hotel, quarto extremamente barulhento.",9.0,1.0,0.1111111111111111,1.0,0.0149253731343283,1.0
"Aconselho procurar outros hotéis e deixar esse como última alternativa, ou então a hospedagem deve ser unicamente baseada na proximidade do aeroporto.",22.0,1.0,0.0454545454545454,1.0,0.0066666666666666,1.0
Cobram muito caro pelo que oferecem.,6.0,1.0,0.1666666666666666,1.0,0.0277777777777777,0.0
"Fiquei hospedada lá pela localização, é perto do aeroporto e eles fazem o serviço de transfer.Porém essa boa localização foi a pior coisa, pois é muito barulho, não deu mesmo pra dormir a noite, não vale a pena!!!!",39.0,2.0,0.0512820512820512,2.0,0.0093457943925233,1.0
"Ele fica em frente a linha de trem e avenida muito movimentada.E também tive uma péssima experiência com o chuveiro rsrs ele demora a esquentar, cheguei lá meia noite e tive que tomar banho gelado.",36.0,1.0,0.0277777777777777,2.0,0.0101522842639593,0.0
No dia seguinte fui perguntar e eles me disseram que demora uns 10 min.,14.0,1.0,0.0714285714285714,1.0,0.0140845070422535,0.0
a esquentar.,2.0,0.0,0.0,0.0,0.0,0.0
"Já o café da manhã é ótimo, o atendimento também, nada a reclamar disso.",14.0,1.0,0.0714285714285714,1.0,0.0138888888888888,1.0
"Porém não vale a pena pra mim, lá não fico mais.",11.0,1.0,0.0909090909090909,1.0,0.0208333333333333,0.0
"O hotel é bem simples, mas tem a vantagem de ficar bem próximo ao Aeroporto Salgado Filho e ainda possui translado gratuito do aeroporto, basta ligar para o hotel quando desembarcar.O quarto não é dos melhores, mas pelo menos é limpinho.",42.0,3.0,0.0714285714285714,5.0,0.0210970464135021,1.0
"O café da manhã conta com bastante variedade, e eu achei muito bom para o padrão do hotel.",18.0,0.0,0.0,1.0,0.0111111111111111,1.0
"Além disso, o hospede pode usar a academia que fica no Hotel Express, ao lado.",15.0,3.0,0.2,3.0,0.0384615384615384,1.0
"Tentei achar um hotel para passar a noite para embarcar pela manhã só consegui esse hotel, como todos sabem em cima da hora o valor é fora da realidade, paguei valor como se fosse um hotel no minimo 3 estrelas, mais esse hotel parece hotel de beira de estrada ou em frente de rodoviária.",54.0,1.0,0.0185185185185185,1.0,0.0034843205574912,1.0
"O quarto de bom tamanho, mais muito antigo, faltava uma reforma, mais o mais importante o café da manhã com bolos e pães amanhecidos, leite aguado, não recomendo.",28.0,0.0,0.0,1.0,0.0061728395061728,1.0
"Muito caro, no que se oferece, uma velharia, acredito tudo que não prestava do seu primo rico (Expresso Aeroporto), colocaram la.",21.0,3.0,0.1428571428571428,3.0,0.0232558139534883,1.0
"No banheiro cheios de cabelo no box, um lugar tenebrosoPraticamente um espelunca....não recomendo.....de forma nenhuma.",17.0,2.0,0.1176470588235294,2.0,0.0168067226890756,0.0
"Hotel pequeno, sem serviço de quarto, recepção ruim.",8.0,1.0,0.125,1.0,0.0192307692307692,1.0
"quarto pequeno, antigo.",3.0,0.0,0.0,0.0,0.0,1.0
"Ar condicionado caído aos pedaços, banheiro com porta de PVC sem ducha higiênica, toalhas velhas e utensílios de banho horríveis.",20.0,2.0,0.1,4.0,0.0310077519379844,0.0
Acesso aos quartos por escadas.,5.0,1.0,0.2,1.0,0.032258064516129,1.0
Porta com fechadura à chave.,5.0,1.0,0.2,1.0,0.0357142857142857,0.0
"Café da manhã compartilhado com o Hotel Expresso, horrível.",9.0,3.0,0.3333333333333333,3.0,0.0508474576271186,1.0
Já é a terceira vez que me hospedo no Expressinho.,10.0,2.0,0.2,2.0,0.04,0.0
Não vejo nada demais.,4.0,1.0,0.25,1.0,0.0476190476190476,0.0
"Pelo preço cobrado, não posso reclamar nada e ainda tem o transfer de/para o aeroporto.",15.0,1.0,0.0666666666666666,1.0,0.0114942528735632,1.0
"É ideal para quem busca uma opção barata, limpa e prática para conexões longas em Porto Alegre.",17.0,2.0,0.1176470588235294,2.0,0.0210526315789473,0.0
"Nas três vezes encontrei os quartos limpos e organizados, chuveiro também funcionando mto bem.",14.0,1.0,0.0714285714285714,1.0,0.0106382978723404,1.0
"Atendimento ok, sem brilho, mas eficiente.",6.0,1.0,0.1666666666666666,1.0,0.0238095238095238,1.0
"Na ultima vez, devido aeroporto fechado com nevoeiro, dei no-show e cheguei só na manhã do dia seguinte, mesmo assim foi me honrada a reserva e ainda me deram desconto.",30.0,1.0,0.0333333333333333,1.0,0.0059523809523809,1.0
Internet wireless tbm funcionou legal.,5.0,1.0,0.2,1.0,0.0263157894736842,0.0
"Desvantagens: se pegar quarto com frente para a avenida e Trensurb, se prepare para o barulho, que realmente é alto, opte pelos quartos de fundo.",25.0,2.0,0.08,2.0,0.0137931034482758,1.0
"Não tem elevador, então quem vem com mta bagagem sofre.",10.0,1.0,0.1,1.0,0.0181818181818181,0.0
"Café-da-manhã compartilhado com o vizinho Express, eu gostei, bom.",9.0,2.0,0.2222222222222222,2.0,0.0303030303030303,0.0
Tivemos uma série de problemas com este hotel desde o momento da reserva.,13.0,1.0,0.0769230769230769,1.0,0.0136986301369863,1.0
"Os funcionários em geral são destreinados e desorganizados, não passam direito a informação entre si.",15.0,1.0,0.0666666666666666,1.0,0.0099009900990099,1.0
Nossa reserva foi debitada duas vezes e ainda assim tivemos a reserva cancelada !,13.0,1.0,0.0769230769230769,1.0,0.0123456790123456,0.0
O que não teria acontecido se fossem organizados e prestassem bastante atenção a tudo que foi acordado entre entre o estabelecimento e cliente.,23.0,0.0,0.0,1.0,0.0069930069930069,1.0
"Após muito aborrecimento, ligações interurbanas e várias trocas de e-mails com um dos gerentes, resolveram esse problema.",17.0,1.0,0.0588235294117647,1.0,0.0082644628099173,1.0
"Na verdade, causaram mais problemas do que isso, só estou resumindo o que aconteceu.",14.0,1.0,0.0714285714285714,1.0,0.0119047619047619,0.0
Ficamos no terceiro andar sem elevador e tivemos que carregar as malas sozinhos.,13.0,1.0,0.0769230769230769,1.0,0.0125,0.0
"Nos colocaram num quarto para fumantes, mesmo sem ser solicitado, com forte cheiro de cigarro.",15.0,1.0,0.0666666666666666,1.0,0.0106382978723404,1.0
"Reclamamos e resolveram, mas para isso tivemos que subir e descer os 3 lances de escada.",16.0,1.0,0.0625,1.0,0.0113636363636363,0.0
"O ar-condicionado é muito barulhento, a ponto de não termos ouvido o despertador.",13.0,0.0,0.0,1.0,0.0123456790123456,0.0
"Por sorte, acordamos sozinhos, ou perderíamos o voo.",8.0,1.0,0.125,1.0,0.0192307692307692,0.0
A limpeza é ruim.,4.0,0.0,0.0,1.0,0.0588235294117647,1.0
"Veja debaixo da cama, está imunda.",6.0,1.0,0.1666666666666666,1.0,0.0294117647058823,0.0
O cobertor é sujo e nos coçamos a noite toda.,10.0,0.0,0.0,1.0,0.0222222222222222,0.0
"A agua demora muito a aquecer, minha esposa tomou banho frio numa noite fria porque, após tanto esperar, achou que não havia agua quente.",24.0,0.0,0.0,1.0,0.0072992700729927,0.0
"O hotel é muito mal localizado, numa avenida famosa por prostituição e com barulho de carros e metrô (que na verdade é um trem de superfície).",26.0,0.0,0.0,1.0,0.0070422535211267,1.0
Moradores da região me alertaram que não é seguro sair de noite.,12.0,1.0,0.0833333333333333,1.0,0.015625,0.0
"Nota fiscal foi dada apenas por uma diária, com metade do valor (60 reais, em vez de 120 por diária).",20.0,1.0,0.05,1.0,0.0099009900990099,0.0
"Não tivemos tempo de reclamar disso, pois poucas horas depois partiria nosso voo e estávamos com pressa.",17.0,1.0,0.0588235294117647,1.0,0.0096153846153846,0.0
"Diferente do que fariam numa gestão profissional, não recebemos absolutamente nenhuma compensação pelo aborrecimento.",14.0,1.0,0.0714285714285714,1.0,0.0085470085470085,0.0
"Após muita discussão, se limitaram a cobrar o valor correto e nos colocar no pior quarto do hotel.",18.0,1.0,0.0555555555555555,1.0,0.010204081632653,1.0
"De positivo, só o transfer gratuito, tirando o fato de que não fazem reservas e você tem que fazer ligações interurbanas assim que chegar no aeroporto.",26.0,1.0,0.0384615384615384,1.0,0.0066225165562913,1.0
"Não usufruímos do café da manhã, então não posso avaliá-lo.",10.0,1.0,0.1,1.0,0.0169491525423728,1.0
É o pior hotel em que já me hospedei e não o recomendo a ninguém.,15.0,0.0,0.0,0.0,0.0,1.0
Não pense que irá economizar se hospedando nele.,8.0,1.0,0.125,1.0,0.0208333333333333,0.0
De bom o hotel só tem a localização que é perto do aeroporto.Não possui elevador e os quartos são virados para uma avenida supermovimentado e também para a linha de metrô.,32.0,2.0,0.0625,2.0,0.0116959064327485,1.0
O barulho é ensurdecedor.,4.0,0.0,0.0,1.0,0.04,0.0
"O quarto não tem um piso adequado para o frio, tampouco as paredes do quarto.",15.0,0.0,0.0,1.0,0.0129870129870129,1.0
"O lençol é fino demais e estava rasgado, o coberto fedia a mofo e o banheiro é hipergelado e pequeno.",20.0,0.0,0.0,1.0,0.0099009900990099,0.0
O ar condicionado/aquecedor era velho e não funcionava direito.,9.0,0.0,0.0,1.0,0.0158730158730158,0.0
O estacionamento é fora do hotel e cobrado a parte.,10.0,0.0,0.0,1.0,0.0196078431372549,1.0
O wi-fi é péssimo e só funcionava no lobby do hotel.,11.0,0.0,0.0,1.0,0.0192307692307692,1.0
"O hotel Expressinho é básico para quem precisa passar uma noite em Porto Alegre: o valor é barato, o hotel é limpo, o café da manhã é muito bom.",29.0,3.0,0.1034482758620689,4.0,0.0277777777777777,1.0
"No mais possui um banheiro simples e um quarto também, quando estivemos era inverno e o ar-condicionado novo ajudou bastante em esquentar o ambiente!",24.0,1.0,0.0416666666666666,1.0,0.0067114093959731,1.0
"No mais tem um traslado gratuito para o Aeroporto de 15 em 15 minutos, o que ajudou a escolhê-lo!",19.0,2.0,0.1052631578947368,2.0,0.0206185567010309,1.0
"O Hotel Juliz é extremamente simples, fica numa casa bem antiga, o que lhe dá um aspecto de pensão, em que os aposentos da casa foram transformados em pequenos quartos para pernoite.",32.0,2.0,0.0625,3.0,0.0164835164835164,1.0
"Alguns quartos tem banheiro individual, nos demais o banheiro é coletivo.",11.0,1.0,0.0909090909090909,1.0,0.0136986301369863,1.0
Entretanto o custo é bem mais baixo do que hotéis tradicionais.,11.0,1.0,0.0909090909090909,1.0,0.0158730158730158,0.0
É uma boa relação custo-benefício ficar no Juliz.,8.0,1.0,0.125,1.0,0.0204081632653061,1.0
"Os quartos não são dos melhores, mas dá para ter uma razoável noite de sono, ainda mais para quem, como eu, ficou somente uma diária.",25.0,1.0,0.04,1.0,0.0075187969924812,1.0
"Ponto positivo para a rede Wi-Fi, que funciona perfeitamente.A recepção fechar a noite é um ponto negativo.",18.0,3.0,0.1666666666666666,4.0,0.0373831775700934,1.0
Eu tive o prazer de ficar no Hotel Residencial Juliz por duas noites em maio de 2012.,17.0,4.0,0.2352941176470588,4.0,0.0470588235294117,1.0
"O proprietário, Julio, é um homem muito sério e inteligente, e isso é refletido em seu hotel.",17.0,1.0,0.0588235294117647,2.0,0.021505376344086,1.0
"O Hotel Residencial Juliz tem acomodação básica, com uma aparência geral sem pintura.",13.0,3.0,0.2307692307692307,4.0,0.0470588235294117,1.0
"No entanto, tudo funciona e está em bom estado de conservação.",11.0,1.0,0.0909090909090909,1.0,0.0161290322580645,0.0
Tem Wi-Fi gratuita e camas adequadas.,6.0,3.0,0.5,3.0,0.081081081081081,0.0
O os chuveiros e trancas funcionam e as luzes são claras o suficiente para que se possa fazer coisas no quarto à noite.,23.0,0.0,0.0,1.0,0.0084033613445378,1.0
"Julio e sua equipe são prestativos, gentis e atenciosos.",9.0,1.0,0.1111111111111111,1.0,0.0178571428571428,0.0
"Em um momento, Julio não estava no hotel e me ligou especialmente para responder uma pergunta e me dar dicas sobre minhas atividades propostas.",24.0,2.0,0.0833333333333333,2.0,0.0139860139860139,1.0
"Há evidência de melhoramento contínuo com escadas e outros, então você pode chegar e encontrar tudo maravilhosamente pintado.",18.0,1.0,0.0555555555555555,1.0,0.008,0.0
"Acima de tudo, o preço é justo.",7.0,1.0,0.1428571428571428,1.0,0.032258064516129,1.0
"A localização é na parte antiga de Porto Alegre, com interessantes ruas sinuosas e uma variedade de locais simples para comer.",21.0,2.0,0.0952380952380952,3.0,0.0238095238095238,1.0
"É uma área residencial, que, na Austrália ou Estados Unidos, já estaria povoada pela classe média.",16.0,3.0,0.1875,3.0,0.0306122448979591,0.0
Está a uma distância de 1 km do Gasômetro e a uma caminhada curta do Centro Histórico.,17.0,4.0,0.2352941176470588,4.0,0.0465116279069767,1.0
Não é muito longe para andar até a maioria dos locais de interesse como o Mercado Público (mais rápido se você for pelas colinas).,24.0,3.0,0.125,3.0,0.023076923076923,0.0
Há um bom supermercado a 5 minutos de distância.,9.0,1.0,0.1111111111111111,1.0,0.0208333333333333,0.0
"Como eu falo português, eu não vi quanto o inglês é falado por aqui, mas Julio responde rapidamente os e-mails, então você pode descobrir isso facilmente.",26.0,2.0,0.0769230769230769,2.0,0.0129870129870129,0.0
"Esse lugar não é o Hilton Hotel, mas eu fiquei confortável e feliz e minha avaliação está endereçada para os viajantes econômicos.",22.0,3.0,0.1363636363636363,3.0,0.023076923076923,1.0
"Hotel com ótima localização, perto de vários restaurantes e perto do centro.",12.0,1.0,0.0833333333333333,1.0,0.0131578947368421,1.0
Café da manhã razoável.,4.0,1.0,0.25,1.0,0.0434782608695652,1.0
"Quarto bem aconchegante, só o banheiro é bem simples mas da pro gasto,fiaria de novo pelo custo/beneficio.",18.0,1.0,0.0555555555555555,1.0,0.0094339622641509,1.0
Ficamos por 2 semanas no Hotel.,6.0,2.0,0.3333333333333333,2.0,0.064516129032258,1.0
"Bom atendimento, café da manhã razoável, no entanto sem muitas variedades.",11.0,1.0,0.0909090909090909,1.0,0.0135135135135135,1.0
Em 1 semana você já fica enjoado da repetitividade.Elevador precisando de manutenção.,13.0,2.0,0.1538461538461538,2.0,0.0235294117647058,0.0
"Quando parávamos no andar desejado, ele parava de vez, meio bruto.No mais, bom hotel.",15.0,2.0,0.1333333333333333,2.0,0.0235294117647058,1.0
As fotos não condizem com o que eu encontrei lá.,10.0,1.0,0.1,1.0,0.0208333333333333,0.0
"o banheiro é muuuito velho, a torneira quando aberta fazia um barulho que mais parecia um trem chegando, papel de parede do quarto rasgado, o café da manhã bem mais ou menos, enquanto comíamos a mulher começou a resmungar, desligar o ar condicionado, televisão, e retirar a comida, uma falta de respeito, não recomendo.",54.0,0.0,0.0,0.0,0.0,1.0
"Hotel com ótima localização, perto de vários restaurantes e perto do centro.",12.0,1.0,0.0833333333333333,1.0,0.0131578947368421,1.0
