sentence,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
"Ler 1984 em os dias de hoje é como ler sobre a vida , o dia-a-dia . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Valdeck Almeida de Jesus Poeta , Escritor , Jornalista www.galinhapulando.com ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"matar a pessoa dita "" subversiva "" não matava o ideal de ela , que continuava em o ar . ",3.0,1.0,2.0,0.0,0.15,0.05,0.1,0.0,0.0
"Perdeu - se em a historia o sentido de a palavra "" vampiro "" , não há vampiros em a historia para mim . ",2.0,1.0,1.0,0.0,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.0,0.0
Edward Cullen é um personagem doentio . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Onde um grupo de menores de idade se organizam em uma quadrilha que se esconde em um barracão abandonado a a beira mar e se auto-denominam "" Capitães de a areia "" . ",1.0,0.0,1.0,0.0,0.0303030303030303,0.0,0.0303030303030303,0.0,0.0
Eu não entendia por que Bella prefere Edward e não Jacob . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lá , ela conhece Edward Cullen um vampiro que só bebe sangue de animais . ",2.0,1.0,1.0,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0
"Não descreve cenas de ação entre vampiros , como muitos que não conhecem a históra imaginam , mas vale a pena . ",1.0,0.0,1.0,0.0,0.0454545454545454,0.0,0.0454545454545454,0.0,0.0
"Suas atitudes por vezes impiedosas não nos faz deixar de ter a certeza de que eles não eram maus , apenas não tinham chances de serem bons . ",3.0,2.0,1.0,0.0,0.1071428571428571,0.0714285714285714,0.0357142857142857,0.0,0.0
"Os motivos por o qual a guerra iniciou , assim como seus desdobramentos eram constantemente alterados por o ministério de a verdade , por Winston . ",3.0,1.0,2.0,0.0,0.1153846153846153,0.0384615384615384,0.0769230769230769,0.0,0.0
A época de sombras que o livro trata é o nosso presente . ,2.0,2.0,0.0,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0
"Tudo começa com Jamie McGregor , um jovem escocês pobre que parte para a África de o Sul em busca de fortuna . ",2.0,2.0,1.0,0.0,0.0869565217391304,0.0869565217391304,0.0434782608695652,0.0,0.0
Ela merecia uma vida . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"O menino manco tinha grande talento para a dissimulação , por isso se especializara em a tarefa de espião de o bando . ",2.0,1.0,1.0,0.0,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0,0.0
"Como diria Caetano : "" Alguma coisa está fora de a ordem ... "" Ah , e cá pra nós : falar só em beleza e riqueza quanta futilidade ... ( Crianças em o mundo real nem sempre o que/quem é belo será o melhor para vc e te fará feliz ) . ",9.0,7.0,2.0,0.0,0.1636363636363636,0.1272727272727272,0.0363636363636363,0.0,0.0
"Dissa o que tinha que dizer , se forem ver os dois lados de essa comparação verão que foi algo totalmente ridiculo . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
""" A partir de essa metáfora , podemos inferir diversos significados sobre o estado emocional de o personagem , seus desejos mais recônditos , vivências e expectativas que , de certa forma , se relacionam com sua trajetória de vida em o romance . ",4.0,3.0,2.0,0.0,0.0909090909090909,0.0681818181818181,0.0454545454545454,0.0,0.0
Que o filme é o menos chato . ,1.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.0
"E isso incluí Malu , a paixão e orgulho de seu pai . ",2.0,2.0,0.0,0.0,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0
Mas não é definitivamente um empeçilho . ,1.0,1.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0
E Edward é o vampiro que toda mulher sonha em ter ! ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0833333333333333,0.0
"Pessoas reclamam de o tempo perdido em as ruas , outras buzinam seus veículos em a tentativa fracassada de adiantar o tempo . ",2.0,0.0,2.0,0.0,0.0869565217391304,0.0,0.0869565217391304,0.0,0.0
"Inteligente , era quem planejava os roubos . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Não acho que isso se deva só a os leitores "" de fachada "" , mas sim que o livro se adapta a os leitores que possuem um determinado estilo de vida . ",4.0,3.0,1.0,0.0,0.1212121212121212,0.0909090909090909,0.0303030303030303,0.0,0.0
"Não me identifico muito com o livro , mas é claro que havia ali preocupações universais de adolescentes . ",3.0,3.0,0.0,0.0,0.1578947368421052,0.1578947368421052,0.0,0.0,0.0
"Esto ansioso para ler a sequencia , que não foi escrita por Sheldon , uma vez que já é falecido . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Isso era mentira , mas como provar que não era ? ",1.0,0.0,1.0,1.0,0.0909090909090909,0.0,0.0909090909090909,0.0909090909090909,0.0
"Todos , meninos sozinhos , perdidos , que precisam de atenção , de vida . ",2.0,1.0,1.0,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0
Ela faz fortunas de esta forma e fica conhecida em a alta sociedade . ,1.0,1.0,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0
"Em uma tentativa frustrada de arrancar um confissão de o mafioso , Tracy acaba sendo acusada de assalto a mão armada e roubo de um quadro em o valor de meio milhão . ",4.0,1.0,3.0,0.0,0.1212121212121212,0.0303030303030303,0.0909090909090909,0.0,0.0
"Segundo frase memorável , "" o poder não é um meio , mas um fim em si "" . ",2.0,2.0,0.0,0.0,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0
"Enfim , "" "" Ensaio Sobre a Cegueira "" é um livro escrito por um gênio e traz uma de as mais sensíveis reflexões sobre a condição humana em situações extremas . ",2.0,2.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0
"Cada um de os meninos-homens abandonados , integrantes de os Capitães de a Areia , tem sua história , todas lindas , impossível não criar afeição . ",3.0,3.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
"É em esse último que trabalha Winston Smith , cuja função é eliminar ou adulterar documentos , entre os quais se destacam edições já publicadas de o Times , principalmente aquelas que apresentam previsões de o Grande Irmão que não se confirmaram ou mencionam pessoas que foram vaporizadas ( pessoas que desaparecem em o meio de a noite e , a partir de então , não são mais mencionadas , sendo sua existência anterior negada e apagada de qualquer registro ) . ",3.0,1.0,2.0,0.0,0.0365853658536585,0.0121951219512195,0.024390243902439,0.0,0.0
"Mas Caulfield - assim como dito em o livro - é muito bom em esse negócio de não se encaixar em padrões , tão bom que torna - se chato , tão bom que parece esforçar - se demais para estar deprimido , tornando - o falso . ",7.0,5.0,2.0,0.0,0.1458333333333333,0.1041666666666666,0.0416666666666666,0.0,0.0
"Se podes ver , repara "" ( epígrafe de a obra ) Boa leitura ! ",1.0,1.0,0.0,1.0,0.0666666666666666,0.0666666666666666,0.0,0.0666666666666666,0.0
"Se passa em um mundo completamente novo , onde todos os nossos países estão agrupados em apenas três grandes Estados , depois de uma guerra atômica . ",2.0,1.0,1.0,0.0,0.074074074074074,0.037037037037037,0.037037037037037,0.0,0.0
"Enfim , não é um livro essencial mas também não é "" tempo perdido "" . ",3.0,2.0,1.0,0.0,0.1875,0.125,0.0625,0.0,0.0
"Podemos ver claramente aí o que o autor quer nos dizer : esses jovens , apesar de marginais , são totalmente desprovidos de amor e carinho , e não é por conta de o fato de viverem de a violência que os tornam mais propensos a repelirem esses sentimentos - por o contrário . ",5.0,3.0,2.0,0.0,0.0925925925925925,0.0555555555555555,0.037037037037037,0.0,0.0
A história começa com a notícia de a gravidez de Angela . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Penso que podemos debater mais e melhor essa coisa proposta sobre o aprisionamento de o homem , de o medo , de o controle , de a falta de vida , de luz e de ar que ele simboliza em tantos momentos . ",5.0,1.0,4.0,0.0,0.1162790697674418,0.0232558139534883,0.0930232558139534,0.0,0.0
"Muita gente já falou , leu , comentou e brigou por conta de esta série . ",1.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.0
"Sim , Edward é perfeito e não é por causa de o filme e sua aparência . ",1.0,1.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0
O jovem escocês parte para a África de o Sul em busca de fortuna . ,2.0,2.0,1.0,0.0,0.1333333333333333,0.1333333333333333,0.0666666666666666,0.0,0.0
Ninguém me conhece ! ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0
"Mas , a os trancos e barrancos , ele vai aprendendo a amar Malu , que , com o passar de os anos , vai criando sua própria personalidade , para o horror de o pai . ",3.0,2.0,1.0,0.0,0.081081081081081,0.054054054054054,0.027027027027027,0.0,0.0
"A estória todo mundo conhece de cor e salteado ... A Bella é uma adolescente feinha que resolve ir morar com o pai , em uma cidade que ela odeia , para permitir que a mãe seja feliz . ",2.0,1.0,1.0,0.0,0.0512820512820512,0.0256410256410256,0.0256410256410256,0.0,0.0
"Isso deve ter sido acrescentado só pra dar um ar de "" conto de fadas "" em a história . ",1.0,0.0,1.0,0.0,0.05,0.0,0.05,0.0,0.0
Para Holden Caulfield os anos dourados não são tão magníficos assim . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"De acordo com a ficção de Orwell , o mundo se dividiria entre três grandes potências socialistas igualmente fortes e em constante guerra uma com a outra : Eurasia , Eastasia e Oceania . ",3.0,2.0,2.0,0.0,0.088235294117647,0.0588235294117647,0.0588235294117647,0.0,0.0
"Se estes recursos fossem distribuídos igualmente entre o povo , o mesmo poderia se tornar poderoso , colocando em risco a segurança de o Partido . ",2.0,1.0,1.0,0.0,0.0769230769230769,0.0384615384615384,0.0384615384615384,0.0,0.0
"E derrepente vê - se envolto por uma cegueira , nada mais se vê e o caos começa . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Contendo pensamentos , contém - se revoltas . ",3.0,0.0,3.0,0.0,0.375,0.0,0.375,0.0,0.0
"Agora sim , alguém vai me xingar ... A o ter em mãos um livro sobre vampiros , e ainda por cima escrito por uma mulher , a primeira coisa que me veio A A mente foi que com certeza esses vampiros seriam bem diferentes de aqueles com que eu estava acostumada . ",5.0,4.0,1.0,0.0,0.0943396226415094,0.0754716981132075,0.0188679245283018,0.0,0.0
"Eu poderia discutir todo o livro com vocês , mas não é essa a finalidade , o que posso dizer é que esse livro me fez passar por muitas emoções , e para mim tudo começou errado por causa de o dinheiro que todos buscavam . ",3.0,2.0,1.0,0.0,0.0652173913043478,0.0434782608695652,0.0217391304347826,0.0,0.0
"Ela mantém a ordem interna de o "" país "" , pois a atenção e sentimento de raiva de todos estão voltados contra o exterior , os estrangeiros que são inimigos . ",6.0,4.0,2.0,0.0,0.1875,0.125,0.0625,0.0,0.0
"Se você somar os algarismos de 1984 , o resultado é 22 . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A o ouvir os ruídos , o soldado foi verificar o que estava acontecendo , assustou - se com o cego e deu - lhe um tiro em o meio de a cara . ",3.0,2.0,1.0,0.0,0.088235294117647,0.0588235294117647,0.0294117647058823,0.0,0.0
"Lembro direitinho quando li ele a primeira vez , com 14 anos , em uma tarde de temporal comendo toneladas de pudim de leite . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Essa Malu , em um capítulo , fica apaixonada por um professor feio que dói e , pra ver ele , se inscreve em um curso em que ele dá aulas e que dura tês meses , e ainda inscreve as amigas sem consultá - las . ",5.0,2.0,3.0,0.0,0.1063829787234042,0.0425531914893617,0.0638297872340425,0.0,0.0
Começou a escrever esse seu último livro em 1948 e fez uma mudança em a data para dizer como estaria o mundo em o futuro . ,1.0,1.0,0.0,0.0,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0
"Winston faz o papel de nosso "" herói "" em essa historia , ele trabalha em o ministério de a Verdade que ironicamente tem como função , entre outras , alterar o passado para que o partido tenha sempre a vantagem sobre o futuro e continuar seu legado em o presente . ",4.0,2.0,2.0,0.0,0.0769230769230769,0.0384615384615384,0.0384615384615384,0.0,0.0
"Sai de a cadeia com a idéia fixa de vingança contra aqueles que a colocaram lá e depois de se vingar tenta levar uma vida normal , mas não consegue um emprego decente e então resolve aplicar sofisticados golpes em pessoas que mereciam ser passadas para traz . ",4.0,4.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0
Mas e se ela descobri - se que você e um assassino um caçador o que ela faria ? ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0526315789473684,0.0
É impossível subverter o sistema . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sentia vontade de me espelhar em seu modo de pensar . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mesmo que as vezes seja difícil acreditar que o livro fala de crianças , de adolescentes mais novos que eu . ",4.0,2.0,2.0,0.0,0.1904761904761904,0.0952380952380952,0.0952380952380952,0.0,0.0
"Com seu rostinho bonito , sua inteligência aguçada e seu "" ar de inocente "" ela é a profissional perfeita , de a qual ninguém suspeitaria . ",2.0,2.0,0.0,0.0,0.074074074074074,0.074074074074074,0.0,0.0,0.0
"É o primeiro caso de uma "" treva branca "" que logo se espalha incontrolavelmente . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Como Orwell retrata muito bem , as "" proles "" não são nada , apenas massa trabalhadora . ",2.0,2.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
"Senti também uma sinceridade ímpar , como em nenhum outro livro . ",2.0,2.0,1.0,0.0,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.0,0.0
Uma rebelião não começa com um grupo de pessoas gritando em o centro de a cidade . ,1.0,0.0,1.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0
"Mas hoje em dia , não creio que possa ser visto de essa forma . ",2.0,2.0,0.0,0.0,0.1333333333333333,0.1333333333333333,0.0,0.0,0.0
"Aliás , termo muito comum em terras brasileiras em este momento de BBB global . ",2.0,1.0,1.0,0.0,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0
James sente o cheiro . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tudo é muito claro ! ,2.0,2.0,0.0,1.0,0.4,0.4,0.0,0.2,0.0
"Sobre Stephenie Meyer não saber escrever , tenho de discordar . ",1.0,1.0,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0
"De tão reticente , ele parecia que não tinha mesmo nada a dizer . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Esse tipo de coisa já me aconteceu mais de vinte vezes , desde que eu era garotinho . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A leitura e a incessante busca por o conhecimento que os livros transmitiam foram um vício de Saramago até os últimos dias de sua vida . ,1.0,0.0,1.0,0.0,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0
Acho que desconfiar de tudo e de todos não leva ninguém a lugar nenhum : só enlouquece . ,3.0,0.0,3.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0
"Ela manipula , joga , ama e é fria , e tudo a o mesmo tempo . ",2.0,2.0,0.0,0.0,0.1176470588235294,0.1176470588235294,0.0,0.0,0.0
"Quem ama ler , ama leitura independente de a gramática contida ali , independente de a época em que ele foi escrito e públicado . ",3.0,2.0,1.0,0.0,0.12,0.08,0.04,0.0,0.0
Uma semana dedicada a o ódio . ,2.0,1.0,1.0,0.0,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.0,0.0
"Sinceramente , não sei . ",1.0,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
"Quando ela descobre que ele é um vampiro , já não consegue mais viver longe de ele . ",1.0,1.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0
"Sei que é maluquice , mas é a única coisa que eu queria fazer . ",1.0,1.0,0.0,0.0,0.0666666666666666,0.0666666666666666,0.0,0.0,0.0
Ele é um mestre de as palavras ! ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.125,0.0
"A atmosfera que Saramago construiu é tão pesada e sombria ( acho que pra imaginarmos como é estar cego ) , que faz você se sentir algo como depressão , tristeza , e você continua pensando em o livro depois de ter terminado . ",3.0,1.0,2.0,0.0,0.0681818181818181,0.0227272727272727,0.0454545454545454,0.0,0.0
O livro conta a história de Maria de Lourdes . ,1.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0
A primeira é basicamente o carrossel que os meninos tanto gostavam e o surto de varíola . ,1.0,1.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0
"Sem dinheiro e em dificuldades , já que ninguém queria empregar um ex-presidiária , ela se sujeita a um roubo e logo se torna a ladra mais procurada de o mundo , sendo perseguida inclusive por a Interpol . ",5.0,2.0,3.0,0.0,0.1282051282051282,0.0512820512820512,0.0769230769230769,0.0,0.0
"O livro é uma grande crítica a o comunismo , e gasta várias páginas explicando a filosofia de o partido , o ' como ? ",3.0,2.0,1.0,1.0,0.12,0.08,0.04,0.04,0.0
"Para Edward o sangue de Bella é um de os mais doces e se torna insuportável ficar perto de ela , mas nem por isso Edward fica sem observar a garota , o ' príncipe ' de a história começa a segui - la e até invade seu quarto várias vezes sem que ninguém fique sabendo principalmente ela . ",1.0,0.0,1.0,0.0,0.0169491525423728,0.0,0.0169491525423728,0.0,0.0
"A história ocorre em a Bahia , de crianças pobres em que tem ajuda de o Padre José Pedro , em que um dia fora alertado de retirar sua posição por ter ajudá - los ; e Don'Aninha , a mãe de santo de os Capitães . ",2.0,2.0,0.0,0.0,0.0425531914893617,0.0425531914893617,0.0,0.0,0.0
"Winston é um funcionário de o Partido , ele trabalha em o Ministério da Verdade e sua função é alterar a realidade , dando um fim a tudo o que vai contra as idéias de o Grande Irmão e reescrevendo dados de acordo com as necessidades de o mesmo . ",6.0,4.0,2.0,0.0,0.12,0.08,0.04,0.0,0.0
"Á história em o começo parece ser simples , uma adolescente comum vai morar com o pai depois que sua mãe começa um novo relacionamento com um jogado de beisebol . ",3.0,2.0,1.0,0.0,0.0967741935483871,0.064516129032258,0.032258064516129,0.0,0.0
Que sempre sÃO OS MELHORES ! ,1.0,1.0,0.0,1.0,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0
O trecho postado acima é o de a versão brasileira . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A opinião é você quem explora , e a suposição de analogia é você quem faz . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
) próximos de conhecer . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Todos deviam fidelidade a o Grande-Irmão , que zelava por a sociedade e tinha seu rosto e seu nome estampados por todos os lugares . ",1.0,1.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0
E EDWARD CULLEN BRILHANDO EM O SOL NÃO É ALGO VAMPÍRICO MESMO ! ,1.0,1.0,0.0,1.0,0.0769230769230769,0.0769230769230769,0.0,0.0769230769230769,0.0
"Em a época em que li o livro , possuía pouca ou nenhuma maturidade literária . ",1.0,1.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0
"Não existe , ou desconheço ? ",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0
"Traz um enredo clássico ( mocinha desajeitada e um príncipe encantado , sinônimo de perfeição , que se apaixonam e fazem de tudo para ficar juntos ) , algo que prende o leitor . ",2.0,2.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0
"Outro capítulo que merece destaque é "" Família "" . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Não há motivos pra comparar com o fenômeno Harry Potter , mesmo porque as duas sagas tratam de valores e história totalmente diversas . ",2.0,2.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0
"Exige que Charlie tenha á proteção adequada e que se despida de o seu pai , o que pra mim foi ainda mais doloroso de o que ela podia imaginar , pois teve que usar como exemplo o caso de sua mãe , Renée . ",2.0,2.0,0.0,0.0,0.0444444444444444,0.0444444444444444,0.0,0.0,0.0
A situação em que eles se encontraram durante o livro foi realmente horrível ( a pior que eu já vi em qualquer livro ) ! ,4.0,3.0,1.0,1.0,0.16,0.12,0.04,0.04,0.0
"Geralmente , os clássicos assim são . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nunca tinha ouvido falar de esse autor , até a Jû e Maris me apresentarem . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabe o que tenho que fazer ? ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1428571428571428,0.0
"rs Eu li "" O Outro lado de a Meia-noite "" há , aproximadamente , 3 anos . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mas o lance genial mesmo é apresentar o capítulo inicial de a continuação , a Lua Nova . ",1.0,1.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0
""" ... com o mal de as minhas vizinhas posso eu bem , palavras que nenhuma disse , mas que todas pensaram , em a verdade ainda está por nascer o primeiro ser humano desprovido de aquela segunda pele a que chamamos de egoísmo , bem mais dura que a outra , que por qualquer coisa sangra . "" ",5.0,3.0,2.0,0.0,0.0847457627118644,0.0508474576271186,0.0338983050847457,0.0,0.0
"Crepúsculo é um ROMANCE ( e corro o risco de me repetir a o reafirmar isto ) , e como tal tem vários itens que tornam a saga mais sedutora : o amor proíbido , os inimigos ferozes , e claro , a descrição de o amor de o casal . ",4.0,3.0,1.0,0.0,0.0784313725490196,0.0588235294117647,0.0196078431372549,0.0,0.0
"Mas em determinado momento , Winston se envolve com Julia , uma outra funcionária de o Ministério , que trabalha em o setor de Ficção escrevendo novelas . ",1.0,1.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0
"Para todas as suas perguntas ela tinha tinha uma resposta : "" FALA SÉRIO , AMOR ! "" ",2.0,1.0,1.0,1.0,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0
