sentence,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
"Tive que ler "" Capitães de a Areia "" por causa de um trabalho em grupo de português . ",0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426315789473684,0.81,-0.1489473684210526,-2.83,0.0605263157894736,1.15,0.0853684210526315,1.622,-0.005578947368421,-0.106,0.1206315789473684,2.292,0.1583157894736842,3.008,0.2047368421052631,3.89,0.16,3.04,0.005578947368421,0.106,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.1666666666666666,3.0,0.0348837209302325,0.0
"O nome de o livro se deve a o fato , de Orwell ter escrito livro em 1948 e só enverteu os dois últimso algarismo por pressão de a editora ficando , 1984 . ",1.0,6.0,1.0,1.0,1.0,5.0,0.0,7.0,3.0,1.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1105294117647058,3.758,-0.0497647058823529,-1.692,0.1200294117647058,4.081,0.1152941176470588,3.92,-0.0066764705882352,-0.227,0.1105294117647058,3.758,0.1219411764705882,4.146,0.1200294117647058,4.081,0.1152941176470588,3.92,0.0066764705882352,0.227,26.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.032258064516129,2.0,0.0129032258064516,0.0
"Minha recomendação para o mestre sim , o cara é simplesmente , um de os melhores vai principalmente para as pessoas que não curtem ler , assim como eu em o ensino médio . ",1.0,4.0,6.0,1.0,0.0,6.0,0.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,0.088235294117647,0.088235294117647,0.088235294117647,0.088235294117647,0.0695588235294117,2.365,-0.0378235294117647,-1.286,0.0757058823529411,2.5740000000000003,0.0657941176470588,2.2370000000000005,-0.0014705882352941,-0.05,0.1112647058823529,3.783,0.0535294117647058,1.82,0.1339411764705882,4.554,0.0990882352941176,3.369,0.0014705882352941,0.05,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0333333333333333,1.0,0.0058479532163742,0.0
"Aquele que não participasse era acusado de cometer crimidéia - ou idéias ilegais para o Partido , e , portanto um perigo a a segurança nacional . ",2.0,2.0,1.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,3.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.0449259259259259,-1.213,-0.0265185185185185,-0.716,-0.0685925925925926,-1.852,-0.040074074074074,-1.082,0.0174814814814814,0.472,0.0832222222222222,2.247,0.0455555555555555,1.23,0.1308148148148148,3.532,0.0976296296296296,2.636,0.0523703703703703,1.414,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0833333333333333,2.0,0.0136986301369863,0.0
"Jorge Amado consegue contar essa história de modo sutil , e muito cativante sem perder é claro a realidade , o protesto contra o sistema de governo e a situação de nosso país . ",3.0,4.0,1.0,1.0,2.0,6.0,0.0,8.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.0191470588235294,0.651,-0.0833823529411764,-2.835,0.006235294117647,0.2119999999999997,0.0445294117647058,1.514,0.1013823529411764,3.447,0.2336176470588235,7.943,0.2181470588235294,7.417,0.2526470588235294,8.59,0.257,8.738,0.1099705882352941,3.739,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.064516129032258,2.0,0.0112994350282485,0.0
"Logo a cegueira afeta não só um pequeno grupo , mas grande parte de a cidade e assim sucessivamente . ",2.0,1.0,5.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.15,0.15,0.15,0.15,0.0052,0.1040000000000002,-0.09725,-1.945,-0.0261499999999999,-0.5229999999999998,0.0248,0.496,0.00205,0.041,0.1569999999999999,3.14,0.09725,1.945,0.1927499999999999,3.855,0.1484,2.968,0.00205,0.041,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0555555555555555,1.0,0.0098039215686274,0.0
Algumas marcas em o texto aponta para um possível trauma sexual que Caulfield tenha sofrido . ,2.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.125,0.125,0.125,0.125,0.0296875,0.4750000000000001,-0.019,-0.304,-0.0134374999999999,-0.2149999999999999,0.0225,0.36,-0.003,-0.048,0.1183125,1.893,0.0605,0.968,0.1103125,1.765,0.0932499999999999,1.4919999999999998,0.009375,0.15,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.1333333333333333,2.0,0.0212765957446808,0.0
Como resenhar um clássico ? ,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1037999999999999,-0.5189999999999999,0.0438,0.219,-0.1908,-0.954,-0.0835999999999999,-0.4179999999999999,0.0,0.0,0.1798,0.899,0.0438,0.219,0.2052,1.026,0.1427999999999999,0.714,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.25,1.0,0.0357142857142857,0.0
Sabia o que queria e correu atras para poder comendar o império que seu pai criara . ,0.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.0924117647058823,1.5709999999999995,0.0088823529411764,0.151,0.0347058823529411,0.59,0.076,1.292,-0.0039411764705882,-0.067,0.0924117647058823,1.5709999999999995,0.1047647058823529,1.781,0.0347058823529411,0.59,0.076,1.292,0.0039411764705882,0.067,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0625,1.0,0.0117647058823529,0.0
O melhor de o grupo . ,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1581666666666666,0.949,-0.1246666666666666,-0.748,0.1495,0.897,0.1623333333333333,0.974,-0.0206666666666666,-0.124,0.1581666666666666,0.949,0.1996666666666666,1.198,0.1755,1.053,0.171,1.026,0.0206666666666666,0.124,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0454545454545454,0.0
Deixo claro que comecei a ler pois todos falavam de esta série . ,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.136,1.768,-0.1938461538461538,-2.52,0.1989999999999999,2.587,0.1716923076923077,2.232,-0.0138461538461538,-0.18,0.1583076923076923,2.058,0.1938461538461538,2.52,0.2122307692307692,2.759,0.1927692307692307,2.506,0.0138461538461538,0.18,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0833333333333333,1.0,0.0153846153846153,0.0
"Vejo como única forma de "" fugir "" de a manipulação de a sociedade , o estudo e a aquisição de conhecimento . ",1.0,4.0,0.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.1457826086956521,3.353,-0.19,-4.37,0.1980869565217391,4.556,0.1898695652173913,4.367,-0.0128695652173913,-0.296,0.1457826086956521,3.353,0.2385217391304347,5.486,0.2028695652173912,4.666,0.1898695652173913,4.367,0.0128695652173913,0.296,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0476190476190476,1.0,0.009090909090909,0.0
"Afirmo que "" Se Houver Amanhã "" é uma trama que envolve paixões , aventura e até suspense , que Sheldon conseguiu dosar como pouquíssimos autores conseguem . ",1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,2.0,2.0,5.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0491071428571428,1.375,-0.0622142857142857,-1.742,0.0290357142857142,0.8130000000000001,0.0460357142857142,1.289,-0.0021785714285714,-0.061,0.0491071428571428,1.375,0.0622142857142857,1.742,0.0344642857142857,0.965,0.0493214285714285,1.381,0.0021785714285714,0.061,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,0.2,5.0,0.0316455696202531,0.0
"A o longo de a narrativa , somos apresentados a os diversos personagens que compõem o grupo . ",1.0,3.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423888888888888,0.763,-0.0493333333333333,-0.888,0.0510555555555555,0.919,0.0507777777777777,0.914,0.0,0.0,0.0423888888888888,0.763,0.0587777777777777,1.058,0.0597222222222222,1.075,0.0536666666666666,0.966,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0106382978723404,0.0
"De os seus primeiros diamantes , Jamie fundará uma companhia de comércio que será a sua vida e de todos os seus descendentes . ",1.0,3.0,0.0,1.0,1.0,8.0,0.0,5.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10075,2.418,-0.075375,-1.809,0.1427916666666666,3.427,0.1346666666666666,3.232,-0.0075,-0.18,0.1128333333333333,2.708,0.167875,4.029,0.1499583333333333,3.599,0.1460833333333333,3.506,0.0075,0.18,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0909090909090909,2.0,0.0157480314960629,0.0
"É meio zen-budista , e isso marcou muito . ",1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.0668888888888888,-0.602,0.0153333333333333,0.138,-0.0625555555555555,-0.563,-0.0626666666666666,-0.5640000000000001,0.0487777777777777,0.439,0.1037777777777777,0.934,0.0153333333333333,0.138,0.0687777777777777,0.619,0.0788888888888888,0.71,0.0741111111111111,0.667,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
"Não tinham uma casa onde pudesse viver e brincar , apenas um trapice abandonado que continha diversas crianças . ",0.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,-0.0822631578947368,-1.563,0.0456842105263157,0.8680000000000001,-0.1853157894736842,-3.521,-0.0966842105263157,-1.837,0.075578947368421,1.436,0.186578947368421,3.545,0.0529473684210526,1.006,0.1853157894736842,3.521,0.1667894736842105,3.169,0.075578947368421,1.436,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0588235294117647,1.0,0.0088495575221238,0.0
"Isabella está entre a vida e a morte , mas Edward chega a tempo e chupa o veneno de a mordida e tudo fica bem . ",0.0,3.0,1.0,1.0,4.0,4.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0554615384615384,1.4420000000000002,0.0404230769230769,1.051,0.1092692307692307,2.841,0.0801923076923076,2.085,0.0312692307692307,0.8130000000000001,0.126,3.276,0.1223461538461538,3.181,0.1172692307692307,3.049,0.1321923076923077,3.437,0.0465,1.209,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0833333333333333,2.0,0.0178571428571428,0.0
"Livro muito bom , abandonei mas porque a leitura é dificil e eu ja tinha visto o filme , o que tira um pouco de o gosto por a leitura , mas eu recomendo ! ",2.0,2.0,3.0,2.0,3.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0304571428571428,1.066,-0.0641142857142857,-2.244,0.0324285714285714,1.1349999999999998,0.0395142857142857,1.383,0.0128857142857142,0.451,0.1148571428571428,4.02,0.0742285714285714,2.598,0.1227714285714285,4.296999999999999,0.1082571428571428,3.789,0.0187142857142857,0.655,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.032258064516129,1.0,0.0064516129032258,0.0
"Ler 1984 em os dias de hoje é como ler sobre a vida , o dia-a-dia . ",0.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0801176470588235,1.362,-0.0006470588235294,-0.011,0.1078235294117647,1.833,0.1005882352941176,1.71,0.0,0.0,0.0801176470588235,1.362,0.1138235294117647,1.935,0.1078235294117647,1.833,0.1005882352941176,1.71,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0666666666666666,1.0,0.0147058823529411,0.0
"Valdeck Almeida de Jesus Poeta , Escritor , Jornalista www.galinhapulando.com ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1652999999999999,1.6529999999999998,-0.0901,-0.901,0.0963,0.963,0.1195,1.195,-0.0078,-0.078,0.1652999999999999,1.6529999999999998,0.1045,1.045,0.0963,0.963,0.1195,1.195,0.0078,0.078,7.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,6.0,0.6,6.0,0.0769230769230769,0.0
"matar a pessoa dita "" subversiva "" não matava o ideal de ela , que continuava em o ar . ",1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,0.15,0.15,0.15,0.15,0.0074499999999999,0.1489999999999999,-0.02175,-0.4349999999999999,0.06005,1.201,0.0287,0.5740000000000001,0.04045,0.8089999999999999,0.09895,1.979,0.07555,1.511,0.06005,1.201,0.0917,1.834,0.05695,1.139,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
"Perdeu - se em a historia o sentido de a palavra "" vampiro "" , não há vampiros em a historia para mim . ",0.0,4.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0310416666666666,0.745,0.0003333333333333,0.008,0.0349999999999999,0.84,0.0360833333333333,0.8660000000000001,-0.0392916666666666,-0.943,0.0952083333333333,2.285,0.0814166666666666,1.954,0.0349999999999999,0.84,0.0836666666666666,2.008,0.0392916666666666,0.943,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0454545454545454,1.0,0.0096153846153846,0.0
Edward Cullen é um personagem doentio . ,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188571428571428,0.132,0.0,0.0,-0.0251428571428571,-0.176,-0.0019999999999999,-0.0139999999999999,0.0,0.0,0.2214285714285714,1.5499999999999998,0.0,0.0,0.2577142857142857,1.804,0.1597142857142857,1.118,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.3333333333333333,2.0,0.05,0.0
