sentence,count_dictionary_words,count_named_entities,count_number_date_time,future_tense,subjectivity
"Essa Malu , em um capítulo , fica apaixonada por um professor feio que dói e , pra ver ele , se inscreve em um curso em que ele dá aulas e que dura tês meses , e ainda inscreve as amigas sem consultá - las . ",39,1,1,0,0
Começou a escrever esse seu último livro em 1948 e fez uma mudança em a data para dizer como estaria o mundo em o futuro . ,24,0,1,0,0
"Winston faz o papel de nosso "" herói "" em essa historia , ele trabalha em o ministério de a Verdade que ironicamente tem como função , entre outras , alterar o passado para que o partido tenha sempre a vantagem sobre o futuro e continuar seu legado em o presente . ",44,1,0,0,0
"Sai de a cadeia com a idéia fixa de vingança contra aqueles que a colocaram lá e depois de se vingar tenta levar uma vida normal , mas não consegue um emprego decente e então resolve aplicar sofisticados golpes em pessoas que mereciam ser passadas para traz . ",46,0,0,0,0
Mas e se ela descobri - se que você e um assassino um caçador o que ela faria ? ,17,0,0,0,0
É impossível subverter o sistema . ,5,0,0,0,0
Sentia vontade de me espelhar em seu modo de pensar . ,10,0,0,0,0
"Mesmo que as vezes seja difícil acreditar que o livro fala de crianças , de adolescentes mais novos que eu . ",19,0,0,0,0
"Com seu rostinho bonito , sua inteligência aguçada e seu "" ar de inocente "" ela é a profissional perfeita , de a qual ninguém suspeitaria . ",21,0,0,0,0
"É o primeiro caso de uma "" treva branca "" que logo se espalha incontrolavelmente . ",12,0,0,0,0
"Como Orwell retrata muito bem , as "" proles "" não são nada , apenas massa trabalhadora . ",12,1,0,0,0
"Senti também uma sinceridade ímpar , como em nenhum outro livro . ",10,0,0,0,0
Uma rebelião não começa com um grupo de pessoas gritando em o centro de a cidade . ,16,0,0,0,0
"Mas hoje em dia , não creio que possa ser visto de essa forma . ",13,0,0,0,0
"Aliás , termo muito comum em terras brasileiras em este momento de BBB global . ",12,1,0,0,0
James sente o cheiro . ,3,1,0,0,0
Tudo é muito claro ! ,4,0,0,0,0
"Sobre Stephenie Meyer não saber escrever , tenho de discordar . ",7,1,0,0,0
"De tão reticente , ele parecia que não tinha mesmo nada a dizer . ",12,0,0,0,0
"Esse tipo de coisa já me aconteceu mais de vinte vezes , desde que eu era garotinho . ",16,0,1,0,0
A leitura e a incessante busca por o conhecimento que os livros transmitiam foram um vício de Saramago até os últimos dias de sua vida . ,25,1,0,0,0
Acho que desconfiar de tudo e de todos não leva ninguém a lugar nenhum : só enlouquece . ,16,0,0,0,0
"Ela manipula , joga , ama e é fria , e tudo a o mesmo tempo . ",13,0,0,0,0
"Quem ama ler , ama leitura independente de a gramática contida ali , independente de a época em que ele foi escrito e públicado . ",21,0,0,0,0
Uma semana dedicada a o ódio . ,6,0,1,0,0
"Sinceramente , não sei . ",2,0,0,0,0
"Quando ela descobre que ele é um vampiro , já não consegue mais viver longe de ele . ",16,0,0,0,0
"Sei que é maluquice , mas é a única coisa que eu queria fazer . ",13,0,0,0,0
Ele é um mestre de as palavras ! ,7,0,0,0,0
"A atmosfera que Saramago construiu é tão pesada e sombria ( acho que pra imaginarmos como é estar cego ) , que faz você se sentir algo como depressão , tristeza , e você continua pensando em o livro depois de ter terminado . ",38,1,0,0,0
O livro conta a história de Maria de Lourdes . ,8,1,0,0,0
A primeira é basicamente o carrossel que os meninos tanto gostavam e o surto de varíola . ,16,0,0,0,0
"Sem dinheiro e em dificuldades , já que ninguém queria empregar um ex-presidiária , ela se sujeita a um roubo e logo se torna a ladra mais procurada de o mundo , sendo perseguida inclusive por a Interpol . ",33,1,0,0,0
"O livro é uma grande crítica a o comunismo , e gasta várias páginas explicando a filosofia de o partido , o ' como ? ",21,0,0,0,0
"Para Edward o sangue de Bella é um de os mais doces e se torna insuportável ficar perto de ela , mas nem por isso Edward fica sem observar a garota , o ' príncipe ' de a história começa a segui - la e até invade seu quarto várias vezes sem que ninguém fique sabendo principalmente ela . ",50,3,1,0,0
"A história ocorre em a Bahia , de crianças pobres em que tem ajuda de o Padre José Pedro , em que um dia fora alertado de retirar sua posição por ter ajudá - los ; e Don'Aninha , a mãe de santo de os Capitães . ",40,4,1,0,0
"Winston é um funcionário de o Partido , ele trabalha em o Ministério da Verdade e sua função é alterar a realidade , dando um fim a tudo o que vai contra as idéias de o Grande Irmão e reescrevendo dados de acordo com as necessidades de o mesmo . ",46,3,0,0,0
"Á história em o começo parece ser simples , uma adolescente comum vai morar com o pai depois que sua mãe começa um novo relacionamento com um jogado de beisebol . ",29,1,0,0,0
Que sempre sÃO OS MELHORES ! ,5,1,0,0,0
O trecho postado acima é o de a versão brasileira . ,10,0,0,0,0
"A opinião é você quem explora , e a suposição de analogia é você quem faz . ",15,0,0,0,0
) próximos de conhecer . ,3,0,0,0,0
"Todos deviam fidelidade a o Grande-Irmão , que zelava por a sociedade e tinha seu rosto e seu nome estampados por todos os lugares . ",22,1,0,0,0
E EDWARD CULLEN BRILHANDO EM O SOL NÃO É ALGO VAMPÍRICO MESMO ! ,11,2,0,0,0
"Em a época em que li o livro , possuía pouca ou nenhuma maturidade literária . ",14,0,0,0,0
"Não existe , ou desconheço ? ",4,0,0,0,0
"Traz um enredo clássico ( mocinha desajeitada e um príncipe encantado , sinônimo de perfeição , que se apaixonam e fazem de tudo para ficar juntos ) , algo que prende o leitor . ",28,0,0,0,0
"Outro capítulo que merece destaque é "" Família "" . ",7,1,0,0,0
"Não há motivos pra comparar com o fenômeno Harry Potter , mesmo porque as duas sagas tratam de valores e história totalmente diversas . ",20,1,1,0,0
"Exige que Charlie tenha á proteção adequada e que se despida de o seu pai , o que pra mim foi ainda mais doloroso de o que ela podia imaginar , pois teve que usar como exemplo o caso de sua mãe , Renée . ",39,2,0,0,0
A situação em que eles se encontraram durante o livro foi realmente horrível ( a pior que eu já vi em qualquer livro ) ! ,22,0,0,0,0
"Geralmente , os clássicos assim são . ",5,0,0,0,0
"Nunca tinha ouvido falar de esse autor , até a Jû e Maris me apresentarem . ",12,2,0,0,0
Sabe o que tenho que fazer ? ,6,0,0,0,0
"rs Eu li "" O Outro lado de a Meia-noite "" há , aproximadamente , 3 anos . ",11,1,1,0,0
"Mas o lance genial mesmo é apresentar o capítulo inicial de a continuação , a Lua Nova . ",16,1,0,0,0
""" ... com o mal de as minhas vizinhas posso eu bem , palavras que nenhuma disse , mas que todas pensaram , em a verdade ainda está por nascer o primeiro ser humano desprovido de aquela segunda pele a que chamamos de egoísmo , bem mais dura que a outra , que por qualquer coisa sangra . "" ",50,0,0,0,0
"Crepúsculo é um ROMANCE ( e corro o risco de me repetir a o reafirmar isto ) , e como tal tem vários itens que tornam a saga mais sedutora : o amor proíbido , os inimigos ferozes , e claro , a descrição de o amor de o casal . ",40,1,0,0,0
"Mas em determinado momento , Winston se envolve com Julia , uma outra funcionária de o Ministério , que trabalha em o setor de Ficção escrevendo novelas . ",22,4,0,0,0
"Para todas as suas perguntas ela tinha tinha uma resposta : "" FALA SÉRIO , AMOR ! "" ",13,2,0,0,0
"Para os mais novos talvez seja uma surpresa , mas Jorge Amado já foi a expressão máxima de o escritor brasileiro em o mundo . ",23,1,0,0,0
E que o seu sangue tem o aroma mais doce e tentador para ele . ,14,0,0,0,0
"Uma ditadura maior , mais eficaz para os governantes em o sentido de controlar tudo de o que , como diz O'Brien , as ditaduras anteriores como o nazismo , o comunismo russo , etc. Um de os mais importantes instrumentos de o Partido para controlar a capacidade de pensamento é a imposição de a Novafala , uma nova língua com menos palavras , menos significados e todos esses mais objetivos , tendo apenas sentidos que impedem que se pense de a maneira ' 'errada ' ' . ",73,3,1,0,0
Um de os meus hábitos literários é o costume de folhear os livros antes de começar a lê - los . ,19,0,1,0,0
"É de se pensar que , se até o célebre Stephen King criticou a escrita de Meyer , é porque realmente não vale a pena gastar o seu tempo lendo estes livros . ",27,2,0,0,0
"O livro é exatamente com o filme , uma replica . ",9,0,0,0,0
Fala serio Talita esperava mais de VOCÊ ! ,6,2,0,0,0
"Conta bem a relação professor/aluno de a Malu , mostra os mais variados tipos de professores de escolas , cursos , etc , cada um com seu metodo diferente , seu modo de agir e de lidar com seus alunos , os mais rigidos , os relaxados , os professores amigos . ",40,1,1,0,0
É um livro brutal e violento e é simultaneamente uma de as experiências mais dolorosas de a minha vida . ,19,0,1,0,0
E todo mundo acha isso lindo . ,6,0,0,0,0
"Grávida e prestes a casar - se com o que considera o amor de sua vida e trabalhando em um emprego que gosta , Tracy não desconfia de o futuro que a aguarda . ",30,2,0,0,0
Rebelar-se-ão contra o Partido que os sufoca ? ,6,2,0,0,0
"2 :Quando escolhe uma roupa e acha q ta linda , mas parece que vai fazer com curso pra menina mas feia de o universo ! ",21,0,1,0,0
"Em esse livro a cegueira descrita por o narrador como "" mal branco "" , contagia todos os indivíduos de uma sociedade , com exeção de uma mulher . ",23,0,0,0,0
"A história de o livro é tensa , carrega o leitor até a mais profunda degradação de o ser humano . ",19,0,0,0,0
"Que Lisa escreveu e publicou a saga de Diários antes de Meyer , isso é de conhecimento geral . ",16,2,0,0,0
"Se o Partido diz que 2+2 é igual a 5 , isto se torna uma verdade . ",13,1,3,0,0
"Em a reunião de família , depois de o funeral , em Boston , aparece uma jovem mulher de uma beleza arrebatadora . ",19,1,0,0,0
"Ok , até aí , estava tudo bem em a leitura . ",8,0,0,0,0
"Ensaio sobre a cegueira é , enfim , um "" ensaio "" sobre o ser humano , e como os fios que prendem a sociedade a a civilidade podem ser frágeis e se quebrar mais facilmente de o que imaginamos . ",35,0,0,0,0
"Por que "" O Apanhador em o Campo de Centeio "" é considerado um clássico ? ",12,1,0,0,0
Ou por o belíssimo Gato ? ,5,1,0,0,0
"A o longo de 2012 , serão lançadas edições especiais ilustradas de "" Navegação de cabotagem "" e "" Os velhos marinheiros "" . ",17,1,1,0,0
Saramago faz uma desconstrução de os sentimentos humanos quando de frente a tantos desafios . ,13,1,0,0,0
"Além de ela , o Padre José Pedro , introduzido em o grupo por o Boa-Vida , conhecia o esconderijo de os capitães . ",20,2,0,0,0
O Governo e a Nação esperam que cada um cumpra o seu dever . ,13,1,0,0,0
O verde aparece em o semáforo . ,6,0,0,0,0
Já tem um tempinho ... rs Mas ainda lembro de a história . ,10,0,0,0,0
O amor a o próximo e respeito fica evidente que precisa ser resgatado . ,13,0,0,0,0
"O personagem principal de a trama é Winston Smith , membro de o Partido Externo ( ou como preferir de a classe-média ) , que possui uma visão de mundo bem diferente de aquela que o Partido quer que ele tenha . ",34,3,0,0,0
Não têm consciência de o poder de a união de as pessoas contra o partido massacrante . ,15,0,0,0,0
Vampiros que brilham ? ,3,1,0,0,0
"É apaixonado por tudo o que o envolve naquele momento , curte cada momento de a forma mais intensa possível o que o torna completamente impulsivo . ",25,0,0,0,0
"Por a descrição feita por Orwell , é difícil não imaginar a figura de Stalin e , muito provavelmente , essa foi sua intenção . ",19,2,0,0,0
"A sociedade vive e é dirigida por os lemas de o Estado , que são : Guerra é Paz ; Liberdade é Escravidão ; Ignorância é Força . ",23,5,0,0,0
"Em a escola , Bella fica curiosa com um grupo de jovens lindos , brancos como neve , pálidos , que andam sempre em grupo e não parecem se importar muito com a presença de ela : os Cullen . ",33,2,0,0,0
"O desmoronamento moral é total , não existem mais rótulos . ",9,0,0,0,0
"Ou o outro garoto , companheiro de fila de a visita anterior , não tinha vindo porque estava com caxumba e a gente teria outro companheiro . ",24,0,0,0,0
"Esse é um de aqueles livros que você lê e depois de algum tempo precisa voltar a a sua leitura , ele relata um regime totalitário e teve como modelo um regime comunista . ",32,0,1,0,0
"E ainda existe Goldstein , que é a antítese de o Grande Irmão , mas ainda sim é apenas mais uma ferramenta de o Partido . ",22,3,1,0,0
"Quando me deparei com aquela forma de escrita , paragrafos que iam de uma página inteira até a outra , falas misturadas , pensei "" nunca vou terminar este livro "" .. . ",25,0,0,0,0
"Interessante como Salinger demonstra os anseios , os medos e as descobertas de Caulfield . ",11,3,0,0,0
"Após vender 15 milhões de cópias , isolou - se em uma montanha , de onde publicou alguns outros textos de menor relevância . ",19,0,2,0,0
"PAIS TE AMAMOS MAS SOMOS BEM "" GRANDINHAS "" PARA FAZERMOS NOSSAS ESCOLHAS . ",10,2,0,0,0
"O que importa é o sentimento final de Winston , o que importa é aquilo que ele sempre quis ser , o que importa é queilo que ele se tornou , o que importa são os seres humanos e tudo queilo que eles são capazes de fazer . ",43,1,0,0,0
"Não é a a toa o sucesso de Thalita Rebouças , ela realmente o merece . ",13,1,0,0,0
"A autora tem uma maneira peculiar de escrever , que prende . ",10,0,0,0,0
"Desde de o menino estrábico que tenta "" se virar "" sozinho , até o senhor de os olhos vendados , que como o garoto estrábico , está sozinho , mas já aprendeu a "" se virar "" há muito tempo . ",33,0,0,0,0
Um homem oferece - se para ir dirigindo seu carro . ,9,0,0,0,0
"- Eu estava sempre bem , muito mais de o que bem , quando ele estava perto de mim . ",16,0,0,0,0
Custa mas Tracy se foca em um único objetivo que é se vingar de todas as pessoas que a enganaram . ,19,1,0,0,0
Não deixa o leitor longe de o livro por muito tempo . ,11,0,0,0,0
"A consequência mais drástica , e por isso esperada por o Partido , é que então simplesmente não se poderá formular um único pensamento contrário a a ideologia de o Partido . ",29,2,0,0,0
"A partir de o momento que você caísse em as garras de o Partido , o que você sentia ou deixava de sentir , o que fazia ou deixava de fazer , não fazia nenhuma diferença . ",33,1,0,0,0
"Perambulação essa que , em a verdade , é um adiamento , de seu confronto com os pais por ter sido expulso de o colégio . ",22,0,0,0,0
"Imaginei que se bronzeariam , se afogariam , se apaixonariam por humanos , e andariam de braços dados com lobisomens . ",17,1,0,0,0
"E é decepcionante , sem dúvida , apostar tanto em o fim de o nazi-fascismo , por exemplo , só para perceber que os regimes que o substituíram eram tão cruéis e excludentes quanto . ",28,0,0,0,0
"Quando ninguém pode ver o que você faz você age por instinto , por impulso , não se deixa levar por regras , códigos morais e éticos . ",24,0,0,0,0
"Voltando a Pedro Bala , suas valentes façanhas de jovem capitão de enjeitados a organizador comunista dão margem a uma curiosa interpretação . ",20,1,0,0,0
Sua narrativa é um espetáculo a parte e não posso simplesmente tentar explicar a sensação de ler um texto de Saramago justamente porque as palavras me limitam a fazer justiça A A sua obra . ,34,1,0,0,0
Suddenly an outbreak of blindness spreads through the city . ,0,1,0,0,0
Mais de cinco mil atores fizeram teste para o papel de o vampiro Edward Cullen . ,14,1,2,0,0
seu destino está Edward Cullen . Ele ,5,1,0,0,0
O que passa a ver é a lei de o mais forte . ,12,0,0,0,0
Gosto de viajar em histórias impossíveis . ,6,0,0,0,0
"A idéia de 1984 é semelhante a a aplicada em A Revolução de os Bichos , que criticava diretamente o regime de Stalin em a União Soviética , porém a abordagem é outra , a idéia de Orwell em 1984 foi mostrar como seria viver em uma sociedade totalmente submissa a o Governo , onde a liberdade de expressão , direito de ir e vir , e até a capacidade de amar foram obliteradas por a presença maciça e esmagadora de o Partido . ",73,6,2,0,0
"As histórias são sempre diferentes , e cada uma com uma coisa especial , contando uma fase de a vida de uma menina . ",21,0,1,0,0
"Jorge Amando em os traz um cenário de a Bahia de a primeira metade de o século passada que é quase fotográfica , parece que conhecemos os cenários que ele descreve mesmo sem nunca termos passado por perto de eles . ",39,2,0,0,0
Eu sempre quis ler este livro ! ,6,0,0,0,0
"é leitura obrigatória em vestibulares como a fuvest , e agradeço profundamente por isso . ",12,0,0,0,0
Orwell não era um crítico de o comunismo . ,7,1,0,0,0
"Sempre tão bombardeadas com exigências sobre sua aparência , fica fácil se sentir como Bella - muito sem graça ) . ",16,1,0,0,0
"Thalita esboçou em o livro todas as preocupações que um pai tem em relação á sua filha , o que só me fez pensar em o quão completo foi o seu trabalho . ",30,1,0,0,0
"E terceira , eu estava incondicional e irrevogavelmente APAIXONADA por ele . ",10,1,0,0,0
"Comprei por indicação de a Nanda que é fã número zero de Saramago e por ter visto o filme , que em a época achei muito bom . ",25,2,1,0,0
"Era mãe , irmã , noiva e esposa a o mesmo tempo . ",10,0,0,0,0
"Se esse isolamento e propensão a a crueldade de fato se estabelecem e ganham forma tão consistente em o relacionamento entre os homens , comprová - los não é a tarefa a que se propõe o escritor . ",34,0,0,0,0
"Tracy era jovem e atraente , e morava em Nova Orleans . ",8,2,0,0,0
- Não posso contestar isso - suspirei . ,5,0,0,0,0
"1984 "" é o livro que faz parte de a propaganda "" boca-a-boca "" : sempre há alguém que comenta de ele . ",16,0,1,0,0
"Em a verdade , Saramago , é um autor difícil de transportar para outras forma de comunicação por a complexidade de o seu texto . ",22,1,0,0,0
Só que acho tudo muito raso . ,6,0,0,0,0
Não vou negar que é até interessante a idéia de o livro . ,12,0,0,0,0
"Em a narrativa eles vivem diversas aventuras por a cidade baiana , até que uma doença devasta a cidade ( varíola ) e então alguns Capitães de Areia acabam morrendo , como Almiro , então surge uma personagem nova , Dora , que teve sua mãe morta por a mesma doença e está em procura de lar e comida , pois não forma de sustentar ela e seu irmão , Zé Fuinha . ",61,4,0,0,0
"Para entender , de forma muito básica , o que é socialismo e o que é comunismo : Dentro de a filosofia comunista existem duas vertentes . ",23,0,1,0,0
"E foi assim , em uma faxina que eu ganhei este livro e mais alguns outros de esse autor . ",18,0,0,0,0
