sentence,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,subjectivity
"""Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.""",0.1167368421052631,2.218,0.0729473684210526,1.386,0.0592105263157894,1.125,0.0789473684210526,1.5,0.0121052631578947,0.2299999999999999,0.0
"""Atendimento bom, local familiar.""",0.118875,0.951,0.142875,1.143,0.092125,0.737,0.11325,0.906,0.014,0.112,1.0
"""Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.""",0.0794782608695652,1.828,0.0918695652173913,2.113,0.0711739130434782,1.637,0.0772608695652174,1.777,0.0083043478260869,0.191,1.0
"""O tacacá continua bom, mas o problema ainda é o preço.""",0.0536666666666666,0.805,0.0163333333333333,0.245,0.0133333333333333,0.2,0.0452,0.6779999999999999,0.063,0.945,1.0
"""Inclusive, recentemente houve um aumento para R$18,00.""",0.0864166666666666,1.037,0.026,0.312,0.0825,0.99,0.0611666666666666,0.734,0.0113333333333333,0.136,0.0
"""Resultado: só dá para provar de vez em quando.""",0.1085384615384615,1.411,0.0748461538461538,0.973,0.1253846153846153,1.63,0.1247692307692307,1.622,0.0653846153846153,0.85,0.0
"""Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.""",0.0543,1.086,0.06285,1.257,0.0516,1.032,0.0563,1.126,0.01205,0.241,1.0
"""Deliciosos pratos.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""Local aconchegante e familar.""",0.0261428571428571,0.183,0.0271428571428571,0.19,0.0175714285714285,0.123,0.0182857142857142,0.128,0.016,0.112,1.0
"""Boa comida e boa bebida.""",0.027875,0.223,0.019125,0.153,0.003625,0.029,0.012125,0.097,0.007125,0.057,1.0
"""Ideal para desfrutar um jantar romantico.""",0.1195555555555555,1.076,0.0305555555555555,0.275,0.1326666666666666,1.194,0.0917777777777777,0.826,0.0074444444444444,0.067,0.0
"""Tucunaré escabeche, e primeira, pirão a gosto.""",0.1185,1.4220000000000002,0.0763333333333333,0.916,0.1273333333333333,1.528,0.1074166666666666,1.289,0.0,0.0,0.0
"""Tucunaré peixada sem igual.""",0.0884285714285714,0.619,0.0,0.0,0.1271428571428571,0.89,0.0997142857142857,0.698,0.0834285714285714,0.584,1.0
"""Vários tipos de molho regional, com tucupi e outros.""",0.1126153846153846,1.464,0.0939230769230769,1.221,0.1154615384615384,1.501,0.1291538461538461,1.679,0.0776923076923077,1.01,0.0
"""A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.""",0.1019705882352941,3.467,0.0967647058823529,3.29,0.1469117647058823,4.995,0.1342647058823529,4.565,0.0571470588235294,1.943,1.0
"""Os pratos, petiscos e bebidas são nota 10!""",0.069,0.8280000000000001,0.08725,1.047,0.0961666666666666,1.154,0.0840833333333333,1.009,0.0,0.0,1.0
"""Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.""",0.0559999999999999,0.952,0.0115882352941176,0.197,0.0377058823529411,0.641,0.0416470588235294,0.708,0.0395294117647058,0.672,1.0
"""Então, tenha paciência!""",0.1288571428571428,0.902,0.1401428571428571,0.981,0.0,0.0,0.0897142857142857,0.628,0.0,0.0,0.0
"""rs O bar lota nos fins de tarde, principalmente às sextas feiras.""",0.0323125,0.517,0.065,1.04,0.05375,0.86,0.050375,0.806,0.0,0.0,0.0
"""No andar de cima, o burburinho chega a ser insuportável de tanta gente!""",0.1079999999999999,1.836,0.1204117647058823,2.047,0.1392941176470588,2.368,0.1415294117647059,2.406,0.0567647058823529,0.965,0.0
"""rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""), aguente..... rs Vale a pena!""",0.0716363636363636,0.788,0.0811818181818181,0.893,0.0,0.0,0.0509090909090909,0.56,0.0,0.0,0.0
"""Mesmo com os preços um pouco salgados....""",0.1948,1.948,0.1444,1.444,0.19,1.9,0.1732,1.732,0.0094,0.094,1.0
"""Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,""",0.122258064516129,3.79,0.1228064516129032,3.807,0.0972903225806451,3.016,0.1124516129032257,3.486,0.0029032258064516,0.09,1.0
"""Muito bom.""",0.1536,0.768,0.0,0.0,0.1182,0.591,0.1274,0.637,0.1106,0.553,0.0
"""Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.""",0.11815,2.363,0.0579999999999999,1.16,0.1318,2.636,0.1012499999999999,2.025,0.0041,0.082,0.0
"""Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.""",0.1483636363636363,3.264,0.1624090909090909,3.573,0.1886818181818181,4.151,0.1644545454545454,3.618,0.0030454545454545,0.067,1.0
"""Já fui diversas vezes e sempre levando amigos e parentes para conhecer.""",0.1046666666666666,1.57,0.0716,1.074,0.0615999999999999,0.924,0.0931333333333333,1.3969999999999998,0.0593333333333333,0.89,0.0
"""Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.""",0.1098518518518518,2.966,0.1092592592592592,2.95,0.1244444444444444,3.36,0.1217777777777777,3.2880000000000003,0.0216296296296296,0.584,0.0
"""As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.""",0.0542962962962962,1.466,0.0616666666666666,1.665,0.0663333333333333,1.791,0.0602962962962963,1.628,0.0042962962962962,0.116,0.0
"""Para quem não conhece ainda, recomendo.""",0.0747,0.747,0.0,0.0,0.0,0.0,0.0522,0.522,0.0818,0.818,0.0
"""Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.""",0.0788125,1.261,0.06925,1.108,0.00125,0.02,0.04675,0.748,0.0090625,0.145,0.0
"""Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.""",0.1654285714285714,6.947999999999999,0.1743095238095238,7.321000000000001,0.145095238095238,6.093999999999999,0.1607380952380952,6.751000000000001,0.0013571428571428,0.057,1.0
"""SUPER RECOMENDO.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""A tradição gaúcha está bem representada o a Búfalo.""",0.1348333333333333,1.618,0.1583333333333333,1.9,0.1579166666666666,1.895,0.1503333333333333,1.804,0.0,0.0,0.0
"""Cortes especiais das mais nobres carnes são um convite todo especial.""",0.1795714285714285,2.514,0.0734285714285714,1.028,0.0852142857142857,1.193,0.1127142857142857,1.5779999999999998,0.0,0.0,1.0
"""Delicioso, variado e completo buffet.""",0.0568888888888888,0.512,0.0395555555555555,0.356,0.0553333333333333,0.498,0.0487777777777777,0.439,0.0054444444444444,0.049,1.0
"""Pratos quentes fenomenais.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""Também com opção de comida japonesa e peixes em geral.""",0.0569230769230769,0.74,0.0866153846153846,1.126,0.0668461538461538,0.869,0.0672307692307692,0.874,0.0043846153846153,0.057,0.0
"""Agrada facilmente todos os gostos.""",0.018125,0.145,0.0,0.0,0.1115,0.892,0.05075,0.406,0.0225,0.18,0.0
"""Ambiente amplo, confortável e muito agradável.""",0.2503,2.503,0.2064,2.064,0.2056,2.056,0.2391,2.391,0.0553,0.553,1.0
"""Atendimento nota 10.""",0.128,0.768,0.1588333333333333,0.953,0.1023333333333333,0.614,0.1296666666666666,0.778,0.0,0.0,1.0
"""Exelente localização.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.""",0.0513548387096774,1.592,0.1085806451612903,3.366,0.0945806451612903,2.932,0.0810967741935484,2.514,0.0081612903225806,0.253,0.0
"""E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.""",0.0715238095238095,1.502,0.0502857142857142,1.056,0.0902857142857142,1.896,0.0707619047619047,1.4860000000000002,0.0,0.0,1.0
"""atendimento deixa a desejar.""",0.1097142857142857,0.768,0.1361428571428571,0.953,0.0877142857142857,0.614,0.1111428571428571,0.778,0.0,0.0,1.0
"""Nem sempre fui bem atendida.""",0.09375,0.75,0.1225,0.98,0.115,0.92,0.110375,0.883,0.0,0.0,0.0
"""Mesmo os não vegetarianos comerão bem.""",0.1175555555555555,1.058,0.1325555555555555,1.193,0.1022222222222222,0.92,0.1146666666666666,1.032,0.0081111111111111,0.073,0.0
"""Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.""",0.1102,1.653,0.1383999999999999,2.076,0.1170666666666666,1.756,0.1209333333333333,1.814,0.0083333333333333,0.125,1.0
"""Almoçamos em uma sexta feira, fomos em 2 famílias.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""A comida estava boa e bem servida.""",0.0973,0.973,0.1133,1.133,0.0949,0.949,0.098,0.98,0.0057,0.057,1.0
"""O ambiente é amplo com 2 andares e banheiros bastante limpos.""",0.0677857142857142,0.949,0.0527142857142857,0.738,0.0,0.0,0.0401428571428571,0.562,0.0,0.0,1.0
"""O atendimento é cordial.""",0.1097142857142857,0.768,0.1361428571428571,0.953,0.0877142857142857,0.614,0.1111428571428571,0.778,0.0,0.0,1.0
"""O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.""",0.1696551724137931,4.92,0.1079310344827586,3.13,0.1642758620689655,4.764,0.1520689655172414,4.41,0.0322758620689655,0.936,0.0
"""O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.""",0.1411176470588235,2.399,0.1137058823529411,1.933,0.1294705882352941,2.201,0.1388823529411764,2.361,0.0325294117647058,0.553,1.0
"""As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!""",0.0942758620689655,2.734,0.0644827586206896,1.87,0.1278965517241379,3.709,0.0907586206896551,2.632,0.0142758620689655,0.414,0.0
"""Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.""",0.1348333333333333,3.236,0.0460833333333333,1.106,0.1509583333333333,3.623,0.1243333333333333,2.9839999999999995,0.0484583333333333,1.1630000000000005,1.0
"""Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.""",0.0927058823529411,1.576,0.0764705882352941,1.3,0.0825882352941176,1.404,0.0838823529411764,1.426,0.0,0.0,0.0
"""Contém também sopas""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""O restaurante do SENAC é bem situado.""",0.075,0.75,0.098,0.98,0.0998,0.998,0.0909,0.909,0.0,0.0,1.0
"""Ambiente super higienizado, atendimento excelente, os preços são ótimos.""",0.1296428571428571,1.815,0.0905714285714285,1.2679999999999998,0.1141428571428571,1.598,0.1109285714285714,1.553,0.0015,0.021,1.0
"""As comidas são excelentes.""",0.027,0.189,0.011,0.077,0.029,0.203,0.0222857142857142,0.156,0.0,0.0,1.0
"""Muito bom..., aconselho!.""",0.0853333333333333,0.768,0.0,0.0,0.0656666666666666,0.591,0.0707777777777777,0.637,0.0614444444444444,0.553,0.0
"""Vale experimentar o tambaqui na brasa, é muito bom!!!""",0.0702,1.053,0.0093999999999999,0.141,0.0413333333333333,0.62,0.0498666666666666,0.748,0.0411333333333333,0.617,1.0
"""O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.""",0.1134210526315789,2.155,0.0501578947368421,0.953,0.1143684210526315,2.173,0.112578947368421,2.139,0.0598421052631579,1.137,1.0
"""Muito bom o atendimento.""",0.2194285714285714,1.536,0.1361428571428571,0.953,0.1721428571428571,1.205,0.2021428571428571,1.415,0.079,0.553,1.0
"""Cardápio variado.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"""Culinária regional e deliciosa.""",0.1407142857142857,0.985,0.1027142857142857,0.719,0.2761428571428571,1.933,0.1732857142857143,1.213,0.0,0.0,0.0
"""Ambiente agradável.""",0.1572,0.786,0.1252,0.626,0.1018,0.509,0.128,0.64,0.0,0.0,1.0
"""Custo benefício alto.""",0.0888333333333333,0.533,0.0735,0.441,0.0245,0.147,0.0481666666666666,0.289,0.0425,0.255,1.0
"""So vale a pena em datas especiais.""",0.0788,0.788,0.0893,0.893,0.0,0.0,0.056,0.56,0.0,0.0,0.0
"""Recomendo conhecer.""",0.0567999999999999,0.284,0.033,0.165,0.0196,0.098,0.0276,0.138,0.0268,0.134,0.0
"""Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças.""",0.1168260869565217,2.687,0.1180869565217391,2.716,0.1160869565217391,2.67,0.117,2.6910000000000003,0.0,0.0,0.0
"""O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo.""",0.0264571428571428,0.926,0.0028571428571428,0.1,0.0282857142857142,0.99,0.0190285714285714,0.6659999999999999,0.0005142857142857,0.018,0.0
"""Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música.""",0.0522857142857142,1.098,0.0928571428571428,1.95,0.1280952380952381,2.6900000000000004,0.0891428571428571,1.872,0.003047619047619,0.064,1.0
"""O tacacá não é um dos melhores, mas a música compensa.""",0.0472666666666666,0.709,0.0585333333333333,0.878,0.1158666666666666,1.738,0.0738666666666666,1.108,0.0,0.0,0.0
"""Comida muito boa.""",0.1651666666666666,0.991,0.0255,0.153,0.1033333333333333,0.62,0.1223333333333333,0.734,0.1016666666666666,0.6100000000000001,1.0
"""Casa muito linda, grande e elegante.""",0.2508,2.508,0.1738,1.738,0.3161,3.161,0.2653,2.6530000000000005,0.0553,0.553,1.0
"""Buffet variado de pratos quentes e frios.""",0.0517,0.517,0.1014,1.014,0.0968,0.968,0.0833,0.8330000000000001,0.0,0.0,1.0
"""Churrascaria perfeita, Fanatástica!""",0.0,0.0,0.0127142857142857,0.089,0.0055714285714285,0.039,0.005,0.035,0.0032857142857142,0.023,1.0
"""Imperdivel!""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Excelente comida, excelente atendimento.""",0.3003749999999999,2.403,0.1382499999999999,1.106,0.275625,2.205,0.233375,1.867,0.007125,0.057,1.0
"""Pouca tempo de espera se consideramos que era uma data festiva.""",0.0652857142857143,0.914,0.1161428571428571,1.626,0.1045,1.463,0.0847142857142857,1.1860000000000002,0.0272142857142857,0.381,1.0
"""Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade.""",0.1016666666666666,2.135,0.0671904761904761,1.411,0.0923809523809523,1.94,0.0851428571428571,1.788,0.0031904761904761,0.067,1.0
"""Manaus esta de parabéns!""",0.2061428571428571,1.443,0.2707142857142857,1.895,0.2552857142857143,1.787,0.2441428571428571,1.709,0.0,0.0,0.0
"""Ótimo lugar para ir comemorar aniversarios, confraternizações e tudo mais.""",0.0837142857142857,1.1720000000000002,0.1403571428571428,1.965,0.1194285714285714,1.6720000000000002,0.1125714285714285,1.576,0.0057857142857142,0.081,0.0
"""O preço é mais salgado mas é justo.""",0.1015454545454545,1.117,0.0212727272727272,0.234,0.0696363636363636,0.766,0.061090909090909,0.6719999999999999,0.0,0.0,1.0
"""Ambiente bem amplo.""",0.2831666666666666,1.6989999999999998,0.2863333333333333,1.718,0.1533333333333333,0.92,0.2408333333333333,1.445,0.0,0.0,1.0
"""Atendimento muito eficaz!""",0.3696666666666666,2.218,0.2705,1.623,0.3645,2.1870000000000003,0.3655,2.193,0.0921666666666666,0.553,1.0
"""Recomendo!""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive.""",0.1001891891891891,3.707,0.0628108108108108,2.324,0.1162972972972972,4.303,0.1089459459459459,4.031000000000001,0.0587567567567567,2.1740000000000004,1.0
"""Sim, em Manaus tem opções todos os dias da semana, e no Armando começa na segunda feira!!!""",0.0681666666666666,1.636,0.0270833333333333,0.65,0.071125,1.707,0.0595833333333333,1.43,0.0123333333333333,0.296,0.0
"""Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!""",0.160074074074074,4.322,0.2047777777777777,5.529,0.1978518518518518,5.342,0.1979259259259259,5.344,0.0355555555555555,0.96,1.0
"""É sem sombra de dúvidas um dos melhores bares da cidade, sem frescura!!!""",0.2210526315789474,4.2,0.0821578947368421,1.561,0.237578947368421,4.514,0.214,4.066,0.1010526315789473,1.92,0.0
"""A melhor coisa dessa padaria é a possibilidade de montar seu próprio sanduíche com as opções da casa.""",0.1072380952380952,2.252,0.0753333333333333,1.582,0.0844285714285714,1.773,0.0855238095238095,1.796,0.0106190476190476,0.223,0.0
"""Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho.""",0.1404062499999999,4.492999999999999,0.0679375,2.1740000000000004,0.1449375,4.638,0.134875,4.316,0.0574999999999999,1.84,1.0
"""Cafezinho esse que aliás, é muito bom.""",0.0698181818181818,0.768,0.0,0.0,0.0537272727272727,0.591,0.0579090909090909,0.637,0.0502727272727272,0.553,1.0
"""O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante...""",0.1145625,3.666,0.0421875,1.35,0.14746875,4.719,0.0991249999999999,3.172,0.00371875,0.119,1.0
"""Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer.""",0.1289,3.867,0.1068333333333333,3.205,0.0885333333333333,2.656,0.1053333333333333,3.16,0.0081666666666666,0.245,1.0
"""A melhor peixaria da cidade!""",0.067,0.536,0.028125,0.225,0.016875,0.135,0.03225,0.258,0.0155,0.124,1.0
"""Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região.""",0.1236190476190476,2.5960000000000005,0.1465238095238095,3.0769999999999995,0.1545714285714285,3.246,0.1381428571428571,2.901,0.0029047619047619,0.061,1.0
"""O preço é um pouco acima da média, mas vale cada centavo que custa.""",0.0985,1.773,0.0160555555555555,0.289,0.1040555555555555,1.873,0.0713333333333333,1.2839999999999998,0.0045,0.081,1.0
"""Recomendo""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Comemos um prato Camarões Beira mar!""",0.0873333333333333,0.7859999999999999,0.0,0.0,0.11,0.99,0.0682222222222222,0.614,0.0073333333333333,0.066,0.0
"""É excepcional, mas poderia vim um pouco mais...""",0.1039166666666666,1.247,0.0155,0.186,0.0879166666666666,1.055,0.0640833333333333,0.7689999999999999,0.0149166666666666,0.179,0.0
"""Serve três pessoas.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Vem como acompanhamento batata cozida e arroz com brócolis!""",0.0715,0.858,0.0053333333333333,0.064,0.0863333333333333,1.036,0.0688333333333333,0.8260000000000001,0.0515833333333333,0.619,0.0
"""Coco Bambu sempre tem fila!""",0.0985,0.788,0.08125,0.65,0.08775,0.702,0.089125,0.713,0.0,0.0,0.0
"""É bom ligar antes para fazer a reserva.""",0.0916363636363636,1.008,0.0798181818181818,0.878,0.0978181818181818,1.076,0.0842727272727272,0.927,0.005,0.055,0.0
"""Ligue o quanto antes porque o horário para agendar reserva é limitado.""",0.1081333333333333,1.622,0.0373333333333333,0.56,0.1159333333333333,1.739,0.0857333333333333,1.286,0.0033333333333333,0.05,1.0
"""Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,.""",0.143695652173913,3.305,0.1250434782608695,2.876,0.1410869565217391,3.245,0.1503043478260869,3.4570000000000003,0.0409999999999999,0.943,1.0
"""Recomendo quem quer saciar a fome..""",0.1842222222222222,1.658,0.0846666666666666,0.762,0.1867777777777778,1.681,0.1861111111111111,1.675,0.1026666666666666,0.924,0.0
"""Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor.""",0.0557560975609756,2.286,0.0335121951219512,1.374,0.0306829268292682,1.258,0.0469024390243902,1.923,0.026780487804878,1.098,1.0
"""Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium).""",0.0528387096774193,1.638,0.037516129032258,1.163,0.0619354838709677,1.92,0.0488064516129032,1.5130000000000003,0.0030322580645161,0.094,1.0
"""Como já disse o cardápio principal é de peixe amazônico.""",0.053,0.6890000000000001,0.089,1.157,0.0683846153846153,0.889,0.0654615384615384,0.851,0.0065384615384615,0.085,0.0
"""Experimentei o 'Tambaqui na Telha'.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""No jantar em que estive havia música ao vivo com um ótimo cantor de MPB.""",0.0827777777777777,1.49,0.1137777777777777,2.048,0.1522222222222222,2.74,0.1151666666666666,2.073,0.0033333333333333,0.06,0.0
"""Local agradável, vale a visita e excelente custo benefício (1 prato serve 3).""",0.1112631578947368,2.114,0.0621578947368421,1.181,0.0788421052631579,1.498,0.0797894736842105,1.516,0.0199473684210526,0.379,1.0
"""ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.""",0.0977619047619047,2.053,0.0917142857142857,1.926,0.101095238095238,2.123,0.1056190476190476,2.218,0.0263333333333333,0.553,1.0
"""Excelente peixe, para quem esta localizado no Distrito Industrial, excelente pedida para almoço.""",0.088,1.584,0.0102222222222222,0.184,0.0895,1.6110000000000002,0.0592222222222222,1.0659999999999998,0.0047222222222222,0.085,1.0
"""dica Matrinxã recheada.""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""É um restaurante executivo com buffet gostoso e serviço a la carte bem no centrinho da cidade mas é bem pequeno.""",0.1725,4.14,0.121625,2.919,0.2010833333333333,4.8260000000000005,0.162,3.888,0.0049583333333333,0.119,1.0
"""Funciona para almoço e jantar.""",0.01025,0.082,0.008125,0.065,0.016875,0.135,0.01175,0.094,0.0,0.0,0.0
"""Nota 10 restaurante com comidas típicas e variadas para todos gostos atendimento nota mil super recomendo fantástico voltaria com certeza!!!""",0.03652,0.913,0.10424,2.606,0.0663199999999999,1.658,0.0713999999999999,1.785,0.0072,0.18,1.0
"""Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.""",0.0608235294117647,1.034,0.1144705882352941,1.946,0.0988235294117647,1.68,0.0914117647058823,1.554,0.0,0.0,0.0
"""Lugar novo , dentro do shopping Ponta Negra.""",0.1088181818181818,1.197,0.0912727272727272,1.004,0.0042727272727272,0.047,0.0649090909090909,0.7140000000000001,0.0097272727272727,0.107,1.0
"""Serviço bom.""",0.0368,0.184,0.0394,0.197,0.01,0.05,0.0141999999999999,0.071,0.0237999999999999,0.119,1.0
"""Som ao vivo agradavel.""",0.0548571428571428,0.384,0.0328571428571428,0.23,0.007,0.049,0.0287142857142857,0.201,0.0085714285714285,0.06,1.0
"""Pratos dão até para três pessoas.""",0.0621111111111111,0.559,0.1004444444444444,0.904,0.0987777777777777,0.889,0.0871111111111111,0.784,0.0,0.0,0.0
