sentence,count_words,count_capitalized,count_elongated,count_mentions,count_url,proportion_capitalized,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_part,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,count_named_entities,count_number_date_time,future_tense,rule1,rule2,rule3,rule4,rule5,count_dictionary_words,count_expressions,emoji_polarity_score,emoticon_polarity_score,negation,subjectivity
"Tive que ler "" Capitães de a Areia "" por causa de um trabalho em grupo de português . ",18.0,0.0,0.0,0.0,0.0,0.0348837209302325,0.1206315789473684,2.292,0.1583157894736842,3.008,0.2047368421052631,3.89,0.16,3.04,0.005578947368421,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
"O nome de o livro se deve a o fato , de Orwell ter escrito livro em 1948 e só enverteu os dois últimso algarismo por pressão de a editora ficando , 1984 . ",31.0,0.0,0.0,0.0,0.0,0.0129032258064516,0.1105294117647058,3.758,0.1219411764705882,4.146,0.1200294117647058,4.081,0.1152941176470588,3.92,0.0066764705882352,0.227,4.0,4.0,4.0,4.0,0.1176470588235294,0.1176470588235294,0.1176470588235294,0.1176470588235294,1.0,6.0,1.0,1.0,1.0,5.0,0.0,7.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
"Minha recomendação para o mestre sim , o cara é simplesmente , um de os melhores vai principalmente para as pessoas que não curtem ler , assim como eu em o ensino médio . ",30.0,0.0,0.0,0.0,0.0,0.0058479532163742,0.1112647058823529,3.783,0.0535294117647058,1.82,0.1339411764705882,4.554,0.0990882352941176,3.369,0.0014705882352941,0.05,3.0,3.0,3.0,3.0,0.088235294117647,0.088235294117647,0.088235294117647,0.088235294117647,1.0,5.0,1.0,2.0,0.0,6.0,0.0,6.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,0.0,0.0,0.0,1.0,0.0
"Aquele que não participasse era acusado de cometer crimidéia - ou idéias ilegais para o Partido , e , portanto um perigo a a segurança nacional . ",24.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0832222222222222,2.247,0.0455555555555555,1.23,0.1308148148148148,3.532,0.0976296296296296,2.636,0.0523703703703703,1.414,3.0,3.0,3.0,3.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,2.0,2.0,2.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,1.0,0.0
"Jorge Amado consegue contar essa história de modo sutil , e muito cativante sem perder é claro a realidade , o protesto contra o sistema de governo e a situação de nosso país . ",31.0,0.0,0.0,0.0,0.0,0.0112994350282485,0.2336176470588235,7.943,0.2181470588235294,7.417,0.2526470588235294,8.59,0.257,8.738,0.1099705882352941,3.739,7.0,7.0,7.0,7.0,0.2058823529411764,0.2058823529411764,0.2058823529411764,0.2058823529411764,3.0,4.0,3.0,1.0,2.0,6.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
"Logo a cegueira afeta não só um pequeno grupo , mas grande parte de a cidade e assim sucessivamente . ",18.0,0.0,0.0,0.0,0.0,0.0098039215686274,0.1569999999999999,3.14,0.09725,1.945,0.1927499999999999,3.855,0.1484,2.968,0.00205,0.041,3.0,3.0,3.0,3.0,0.15,0.15,0.15,0.15,2.0,1.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0
Algumas marcas em o texto aponta para um possível trauma sexual que Caulfield tenha sofrido . ,15.0,0.0,0.0,0.0,0.0,0.0212765957446808,0.1183125,1.893,0.0605,0.968,0.1103125,1.765,0.0932499999999999,1.4919999999999998,0.009375,0.15,2.0,2.0,2.0,2.0,0.125,0.125,0.125,0.125,2.0,2.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
Como resenhar um clássico ? ,4.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.1798,0.899,0.0438,0.219,0.2052,1.026,0.1427999999999999,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Sabia o que queria e correu atras para poder comendar o império que seu pai criara . ,16.0,0.0,0.0,0.0,0.0,0.0117647058823529,0.0924117647058823,1.5709999999999995,0.1047647058823529,1.781,0.0347058823529411,0.59,0.076,1.292,0.0039411764705882,0.067,3.0,3.0,3.0,3.0,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
O melhor de o grupo . ,5.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.1581666666666666,0.949,0.1996666666666666,1.198,0.1755,1.053,0.171,1.026,0.0206666666666666,0.124,1.0,1.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Deixo claro que comecei a ler pois todos falavam de esta série . ,12.0,0.0,0.0,0.0,0.0,0.0153846153846153,0.1583076923076923,2.058,0.1938461538461538,2.52,0.2122307692307692,2.759,0.1927692307692307,2.506,0.0138461538461538,0.18,1.0,1.0,1.0,1.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
"Vejo como única forma de "" fugir "" de a manipulação de a sociedade , o estudo e a aquisição de conhecimento . ",21.0,0.0,0.0,0.0,0.0,0.009090909090909,0.1457826086956521,3.353,0.2385217391304347,5.486,0.2028695652173912,4.666,0.1898695652173913,4.367,0.0128695652173913,0.296,1.0,1.0,1.0,1.0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0434782608695652,1.0,5.0,1.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
"Afirmo que "" Se Houver Amanhã "" é uma trama que envolve paixões , aventura e até suspense , que Sheldon conseguiu dosar como pouquíssimos autores conseguem . ",25.0,0.0,0.0,0.0,0.0,0.0316455696202531,0.0491071428571428,1.375,0.0622142857142857,1.742,0.0344642857142857,0.965,0.0493214285714285,1.381,0.0021785714285714,0.061,2.0,2.0,2.0,2.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
"A o longo de a narrativa , somos apresentados a os diversos personagens que compõem o grupo . ",16.0,0.0,0.0,0.0,0.0,0.0106382978723404,0.0423888888888888,0.763,0.0587777777777777,1.058,0.0597222222222222,1.075,0.0536666666666666,0.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
"De os seus primeiros diamantes , Jamie fundará uma companhia de comércio que será a sua vida e de todos os seus descendentes . ",22.0,0.0,0.0,0.0,0.0,0.0157480314960629,0.1128333333333333,2.708,0.167875,4.029,0.1499583333333333,3.599,0.1460833333333333,3.506,0.0075,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,8.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
"É meio zen-budista , e isso marcou muito . ",7.0,0.0,0.0,0.0,0.0,0.0,0.1037777777777777,0.934,0.0153333333333333,0.138,0.0687777777777777,0.619,0.0788888888888888,0.71,0.0741111111111111,0.667,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
"Não tinham uma casa onde pudesse viver e brincar , apenas um trapice abandonado que continha diversas crianças . ",17.0,0.0,0.0,0.0,0.0,0.0088495575221238,0.186578947368421,3.545,0.0529473684210526,1.006,0.1853157894736842,3.521,0.1667894736842105,3.169,0.075578947368421,1.436,2.0,2.0,2.0,2.0,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
"Isabella está entre a vida e a morte , mas Edward chega a tempo e chupa o veneno de a mordida e tudo fica bem . ",24.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.126,3.276,0.1223461538461538,3.181,0.1172692307692307,3.049,0.1321923076923077,3.437,0.0465,1.209,2.0,2.0,2.0,2.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0,3.0,0.0,1.0,4.0,4.0,0.0,5.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0
"Livro muito bom , abandonei mas porque a leitura é dificil e eu ja tinha visto o filme , o que tira um pouco de o gosto por a leitura , mas eu recomendo ! ",31.0,0.0,0.0,0.0,0.0,0.0064516129032258,0.1148571428571428,4.02,0.0742285714285714,2.598,0.1227714285714285,4.296999999999999,0.1082571428571428,3.789,0.0187142857142857,0.655,3.0,3.0,3.0,3.0,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0857142857142857,2.0,2.0,2.0,2.0,3.0,5.0,0.0,5.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
"Ler 1984 em os dias de hoje é como ler sobre a vida , o dia-a-dia . ",15.0,0.0,0.0,0.0,0.0,0.0147058823529411,0.0801176470588235,1.362,0.1138235294117647,1.935,0.1078235294117647,1.833,0.1005882352941176,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
"Valdeck Almeida de Jesus Poeta , Escritor , Jornalista www.galinhapulando.com ",10.0,0.0,1.0,0.0,1.0,0.0769230769230769,0.1652999999999999,1.6529999999999998,0.1045,1.045,0.0963,0.963,0.1195,1.195,0.0078,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
"matar a pessoa dita "" subversiva "" não matava o ideal de ela , que continuava em o ar . ",18.0,0.0,0.0,0.0,0.0,0.0,0.09895,1.979,0.07555,1.511,0.06005,1.201,0.0917,1.834,0.05695,1.139,3.0,3.0,3.0,3.0,0.15,0.15,0.15,0.15,1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,1.0,0.0
"Perdeu - se em a historia o sentido de a palavra "" vampiro "" , não há vampiros em a historia para mim . ",22.0,0.0,0.0,0.0,0.0,0.0096153846153846,0.0952083333333333,2.285,0.0814166666666666,1.954,0.0349999999999999,0.84,0.0836666666666666,2.008,0.0392916666666666,0.943,1.0,1.0,1.0,1.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0416666666666666,1.0,4.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0
Edward Cullen é um personagem doentio . ,6.0,0.0,0.0,0.0,0.0,0.05,0.2214285714285714,1.5499999999999998,0.0,0.0,0.2577142857142857,1.804,0.1597142857142857,1.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
"Onde um grupo de menores de idade se organizam em uma quadrilha que se esconde em um barracão abandonado a a beira mar e se auto-denominam "" Capitães de a areia "" . ",32.0,0.0,0.0,0.0,0.0,0.0121212121212121,0.1081212121212121,3.568,0.0884545454545454,2.919,0.1615454545454545,5.331,0.1262424242424242,4.166,0.0206060606060606,0.68,1.0,1.0,1.0,1.0,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0,6.0,0.0,0.0,1.0,5.0,0.0,8.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
Eu não entendia por que Bella prefere Edward e não Jacob . ,11.0,0.0,0.0,0.0,0.0,0.0677966101694915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0
"Lá , ela conhece Edward Cullen um vampiro que só bebe sangue de animais . ",13.0,0.0,0.0,0.0,0.0,0.0405405405405405,0.1582666666666666,2.374,0.109,1.635,0.1634666666666666,2.452,0.1443333333333333,2.165,0.003,0.045,2.0,2.0,2.0,2.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
"Não descreve cenas de ação entre vampiros , como muitos que não conhecem a históra imaginam , mas vale a pena . ",19.0,0.0,0.0,0.0,0.0,0.0089285714285714,0.0679090909090909,1.494,0.0902272727272727,1.985,0.0381818181818181,0.84,0.0643636363636363,1.416,0.0032272727272727,0.071,1.0,1.0,1.0,1.0,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.0,3.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,1.0,0.0
"Suas atitudes por vezes impiedosas não nos faz deixar de ter a certeza de que eles não eram maus , apenas não tinham chances de serem bons . ",26.0,0.0,0.0,0.0,0.0,0.0070921985815602,0.0983571428571428,2.754,0.1415,3.962,0.09,2.52,0.1184642857142857,3.317,0.04175,1.169,3.0,3.0,3.0,3.0,0.1071428571428571,0.1071428571428571,0.1071428571428571,0.1071428571428571,3.0,1.0,3.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,0.0,0.0,0.0,1.0,0.0
"Os motivos por o qual a guerra iniciou , assim como seus desdobramentos eram constantemente alterados por o ministério de a verdade , por Winston . ",23.0,0.0,0.0,0.0,0.0,0.0135135135135135,0.0275,0.7150000000000001,0.0374230769230769,0.973,0.0343846153846153,0.894,0.034576923076923,0.899,0.0044230769230769,0.115,3.0,3.0,3.0,3.0,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.1153846153846153,0.0,5.0,0.0,1.0,0.0,6.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0
A época de sombras que o livro trata é o nosso presente . ,12.0,0.0,0.0,0.0,0.0,0.0172413793103448,0.1036153846153846,1.347,0.0828461538461538,1.077,0.1378461538461538,1.7919999999999998,0.1081538461538461,1.406,0.0,0.0,2.0,2.0,2.0,2.0,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.1538461538461538,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
"Tudo começa com Jamie McGregor , um jovem escocês pobre que parte para a África de o Sul em busca de fortuna . ",21.0,0.0,0.0,0.0,0.0,0.045045045045045,0.1475652173913043,3.394,0.1891304347826087,4.35,0.2829130434782608,6.507,0.2128695652173913,4.896,0.0332173913043478,0.764,2.0,2.0,2.0,2.0,0.0869565217391304,0.0869565217391304,0.0869565217391304,0.0869565217391304,3.0,5.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
Ela merecia uma vida . ,4.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.1689999999999999,0.845,0.1924,0.962,0.1986,0.993,0.1866,0.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
