sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
"Tucunaré, tambaqui e pirarucu, é só escolher, cada um melhor que o outro.",0.0470588235294117,0.8,0.0815294117647058,1.386,-0.0502941176470588,-0.855,0.0216470588235294,0.368,-0.0135294117647058,-0.2299999999999999,0.0
"Atendimento bom, local familiar.",0.1585,0.951,-0.1271666666666666,-0.7629999999999999,0.1228333333333333,0.737,0.151,0.906,-0.0186666666666666,-0.112,1.0
"Amei conhecer,o açaí é delicioso!Tem bastante opção em comida regional,o que nos deixa bem servidos!Super recomendo.",0.087047619047619,1.828,0.023,0.4830000000000001,0.0751904761904761,1.579,0.0846190476190476,1.777,-0.009095238095238,-0.191,1.0
"O tacacá continua bom, mas o problema ainda é o preço.",-0.053,-0.689,0.0188461538461538,0.245,-0.0153846153846153,-0.2,-0.0407692307692307,-0.53,-0.0726923076923077,-0.945,1.0
"Inclusive, recentemente houve um aumento para R$18,00.",-0.0380999999999999,-0.3809999999999999,0.0312,0.312,-0.099,-0.99,-0.0397999999999999,-0.3979999999999999,-0.0136,-0.136,0.0
Resultado: só dá para provar de vez em quando.,-0.0342727272727272,-0.377,-0.0884545454545454,-0.973,0.0045454545454545,0.0499999999999999,-0.0061818181818181,-0.068,0.0772727272727272,0.85,0.0
"Como alternativa, o tacacá do parque rio negro é tão bom quanto e custa bem menos.",0.0603333333333333,1.086,0.0698333333333333,1.257,0.0471111111111111,0.8480000000000001,0.0545555555555555,0.982,-0.0077222222222222,-0.139,1.0
Deliciosos pratos.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Local aconchegante e familar.,0.0366,0.183,0.038,0.19,0.0246,0.123,0.0256,0.128,-0.0224,-0.112,1.0
Boa comida e boa bebida.,0.0371666666666666,0.223,0.0255,0.153,-0.0048333333333333,-0.029,0.0161666666666666,0.097,-0.0095,-0.057,1.0
Ideal para desfrutar um jantar romantico.,-0.0488571428571428,-0.3419999999999999,0.0392857142857142,0.275,-0.1122857142857143,-0.786,-0.0437142857142857,-0.3059999999999999,-0.0095714285714285,-0.067,0.0
"Tucunaré escabeche, e primeira, pirão a gosto.",0.1422,1.4220000000000002,-0.0916,-0.916,0.1528,1.528,0.1289,1.289,0.0,0.0,0.0
Tucunaré peixada sem igual.,-0.1238,-0.619,0.0,0.0,-0.178,-0.89,-0.1396,-0.698,0.1167999999999999,0.584,1.0
"Vários tipos de molho regional, com tucupi e outros.",0.0121818181818181,0.1339999999999999,-0.0659090909090909,-0.725,0.0342727272727272,0.3769999999999999,0.0219090909090909,0.241,0.0774545454545454,0.8520000000000001,0.0
"A Cachaçaria do Dedé do Shop Manauara brilha aos olhos: é linda, imponente, a decoração é fantástica e você pode ficar ao ladinho de árvores nativas da Amazônia.",0.0559062499999999,1.7889999999999997,-0.0564375,-1.806,0.0690312499999999,2.209,0.05571875,1.783,-0.00153125,-0.049,1.0
"Os pratos, petiscos e bebidas são nota 10!",0.0828,0.8280000000000001,-0.0893,-0.893,0.1153999999999999,1.154,0.1008999999999999,1.009,0.0,0.0,1.0
Mas....... o serviço às vezes deixa muito a desejar.... mais pela demora.,-0.0389333333333333,-0.5840000000000001,0.0131333333333333,0.197,-0.0427333333333333,-0.641,-0.0377333333333333,-0.5660000000000001,0.0289333333333333,0.434,1.0
"Então, tenha paciência!",0.1804,0.902,0.1961999999999999,0.981,0.0,0.0,0.1256,0.628,0.0,0.0,0.0
"rs O bar lota nos fins de tarde, principalmente às sextas feiras.",0.0369285714285714,0.517,-0.0647142857142857,-0.906,0.0614285714285714,0.86,0.0575714285714285,0.806,0.0,0.0,0.0
"No andar de cima, o burburinho chega a ser insuportável de tanta gente!",0.0154666666666666,0.2319999999999999,-0.1364666666666666,-2.047,0.0661333333333333,0.992,0.0513333333333333,0.77,0.0643333333333333,0.965,0.0
"rs Mas se vc quer se divertir, relaxar e degustar pratos deliciosos (experimente o Pirarucu na chapa!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"), aguente..... rs Vale a pena!",0.0875555555555555,0.788,0.0992222222222222,0.893,0.0,0.0,0.0622222222222222,0.56,0.0,0.0,0.0
Mesmo com os preços um pouco salgados....,0.06625,0.53,-0.06775,-0.542,-0.0099999999999999,-0.0799999999999999,0.075,0.6000000000000001,-0.0064999999999999,-0.0519999999999999,1.0
"Vale a pena fazer uma visita e conferir os pratos deliciosos, é um lugar seguro, confortável,refrigerado, familiar e romântico, preço  acessível,",0.0817931034482758,2.372,0.1312758620689655,3.807,0.0335862068965517,0.974,0.0811724137931034,2.354,-0.003103448275862,-0.09,1.0
Muito bom.,-0.256,-0.768,0.0,0.0,-0.1969999999999999,-0.591,-0.2123333333333333,-0.637,0.1843333333333333,0.553,0.0
"Tanto no atendimento quanto no ambiente, e, principalmente nas variedades encontradas para um excelente café.",0.0525,0.945,-0.0414444444444444,-0.746,0.0364444444444444,0.656,0.0496111111111111,0.893,-0.0045555555555555,-0.082,0.0
"Ideal para o domingo de manhã com a família, pois possui um ambiente agradável e uma ótima localização.",0.0923,1.846,-0.05545,-1.109,0.10525,2.105,0.1243,2.486,-0.00335,-0.067,1.0
Já fui diversas vezes e sempre levando amigos e parentes para conhecer.,0.0413846153846153,0.538,-0.0572307692307692,-0.744,-0.056,-0.728,-7.692307692306846e-05,-0.0009999999999998,0.0478461538461538,0.622,0.0
"Porém, da última vez que fui, depois de meses sem ir, notei que o preço aumentou, mas a qualidade não.",0.06912,1.7280000000000002,-0.10488,-2.622,0.0632,1.58,0.07568,1.892,0.02336,0.584,0.0
"As sopas permanecem as mesmas, com as pequenas variações de sempre em conta do dia da semana e eles nem servem mais água.",0.0423999999999999,1.0599999999999998,-0.0666,-1.665,0.05708,1.427,0.05384,1.346,-0.00464,-0.116,0.0
"Para quem não conhece ainda, recomendo.",-0.093375,-0.747,0.0,0.0,0.0,0.0,-0.06525,-0.522,-0.10225,-0.818,0.0
Mas acho difícil a casa manter visitantes frequentes com a concorrência que aumenta.,0.0900714285714285,1.261,0.0692857142857142,0.97,0.0014285714285714,0.02,0.0534285714285714,0.748,-0.0103571428571428,-0.145,0.0
"Otimo rodizio de carne tanto para o almoço como para o jantar, preço bastante em conta, grande variedade de comida, alem de carne, tem massa, saladas, ambiente bom, amplo, atendimento excelente.",0.1736999999999999,6.947999999999999,-0.118725,-4.749,0.1508999999999999,6.036,0.168775,6.751000000000001,-0.001425,-0.057,1.0
SUPER RECOMENDO.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A tradição gaúcha está bem representada o a Búfalo.,0.1618,1.618,0.19,1.9,0.1895,1.895,0.1804,1.804,0.0,0.0,0.0
Cortes especiais das mais nobres carnes são um convite todo especial.,0.0913333333333333,1.096,0.0856666666666666,1.028,-0.0655833333333333,-0.7869999999999999,0.0371666666666666,0.446,0.0,0.0,1.0
"Delicioso, variado e completo buffet.",0.0731428571428571,0.512,0.0391428571428571,0.274,0.0711428571428571,0.498,0.0627142857142857,0.439,0.007,0.049,1.0
Pratos quentes fenomenais.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Também com opção de comida japonesa e peixes em geral.,0.0672727272727272,0.74,-0.0745454545454545,-0.82,0.0737272727272727,0.8109999999999999,0.0794545454545454,0.874,-0.0051818181818181,-0.057,0.0
Agrada facilmente todos os gostos.,-0.0241666666666666,-0.145,0.0,0.0,0.12,0.7200000000000001,0.022,0.132,-0.03,-0.18,0.0
"Ambiente amplo, confortável e muito agradável.",0.120875,0.967,0.1014999999999999,0.8119999999999999,0.10925,0.874,0.139625,1.117,0.069125,0.553,1.0
Atendimento nota 10.,0.192,0.768,-0.23825,-0.953,0.1535,0.614,0.1945,0.778,0.0,0.0,1.0
Exelente localização.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"O nome do restaurante pode dar uma conotação de vender apenas lanches, mas não é assim, pois possui uma diversidade de sopas no rodízio que oferece.",0.0548965517241379,1.592,-0.0181379310344827,-0.5259999999999999,0.0977241379310344,2.834,0.0866896551724138,2.514,-0.0087241379310344,-0.253,0.0
"E é uma delicia, com destaque para a sopa de carne com legumes acompanhada da deliciosa torradinha.",0.0790526315789473,1.502,-0.0468421052631578,-0.89,0.0913684210526315,1.736,0.0753684210526315,1.432,0.0,0.0,1.0
atendimento deixa a desejar.,0.1536,0.768,-0.1906,-0.953,0.1227999999999999,0.614,0.1556,0.778,0.0,0.0,1.0
Nem sempre fui bem atendida.,0.125,0.75,0.1633333333333333,0.98,0.1533333333333333,0.92,0.1471666666666666,0.883,0.0,0.0,0.0
Mesmo os não vegetarianos comerão bem.,0.1511428571428571,1.058,0.1704285714285714,1.193,0.1314285714285714,0.92,0.1474285714285714,1.032,-0.0104285714285714,-0.073,0.0
"Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.",0.1271538461538461,1.653,-0.1361538461538461,-1.77,0.1306153846153846,1.698,0.136,1.768,-0.0096153846153846,-0.125,1.0
"Almoçamos em uma sexta feira, fomos em 2 famílias.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A comida estava boa e bem servida.,0.121625,0.973,0.141625,1.133,0.111375,0.891,0.1225,0.98,-0.007125,-0.057,1.0
O ambiente é amplo com 2 andares e banheiros bastante limpos.,0.0790833333333333,0.949,0.0615,0.738,0.0,0.0,0.0468333333333333,0.562,0.0,0.0,1.0
O atendimento é cordial.,0.1536,0.768,-0.1906,-0.953,0.1227999999999999,0.614,0.1556,0.778,0.0,0.0,1.0
"O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.",0.0068148148148148,0.1839999999999999,-0.0282962962962962,-0.7639999999999998,-0.1084444444444444,-2.928,-0.0067407407407407,-0.1819999999999999,-0.0119259259259259,-0.322,0.0
"O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.",0.0575333333333333,0.863,0.0018,0.027,0.0679333333333333,1.019,0.0724666666666666,1.087,0.0368666666666666,0.553,1.0
"As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!",-0.0037777777777777,-0.1019999999999999,0.0022962962962962,0.0619999999999999,-0.0092962962962963,-0.2510000000000001,0.0136296296296296,0.3680000000000001,-0.0153333333333333,-0.414,0.0
Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.,-0.057,-1.254,-0.0363636363636363,-0.7999999999999999,-0.0354090909090909,-0.779,-0.0316363636363636,-0.696,0.0476818181818181,1.0490000000000002,1.0
"Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.",0.1050666666666666,1.576,-0.0866666666666666,-1.3,0.0935999999999999,1.404,0.0950666666666666,1.426,0.0,0.0,0.0
Contém também sopas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O restaurante do SENAC é bem situado.,0.09375,0.75,0.1225,0.98,0.12475,0.998,0.113625,0.909,0.0,0.0,1.0
"Ambiente super higienizado, atendimento excelente, os preços são ótimos.",0.15125,1.815,-0.0531666666666666,-0.638,0.1331666666666666,1.598,0.1294166666666666,1.553,0.00175,0.021,1.0
As comidas são excelentes.,0.0378,0.189,0.0154,0.077,0.0406,0.203,0.0312,0.156,0.0,0.0,1.0
"Muito bom..., aconselho!.",-0.1097142857142857,-0.768,0.0,0.0,-0.0844285714285714,-0.591,-0.091,-0.637,0.079,0.553,0.0
"Vale experimentar o tambaqui na brasa, é muito bom!!!",-0.0371538461538461,-0.483,0.0108461538461538,0.141,-0.0476923076923076,-0.62,-0.0404615384615384,-0.526,0.0376153846153846,0.489,1.0
"O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.",-0.0364117647058823,-0.619,-0.0560588235294117,-0.953,-0.0464117647058823,-0.789,-0.031235294117647,-0.5309999999999999,0.0668823529411764,1.137,1.0
Muito bom o atendimento.,0.0,0.0,-0.1906,-0.953,0.0046,0.023,0.0282,0.141,0.1106,0.553,1.0
Cardápio variado.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Culinária regional e deliciosa.,0.197,0.985,-0.1437999999999999,-0.719,0.3865999999999999,1.933,0.2426,1.213,0.0,0.0,0.0
Ambiente agradável.,0.262,0.786,-0.2086666666666666,-0.626,0.1696666666666666,0.509,0.2133333333333333,0.64,0.0,0.0,1.0
Custo benefício alto.,0.13325,0.533,0.11025,0.441,0.03675,0.147,0.07225,0.289,-0.03675,-0.147,1.0
So vale a pena em datas especiais.,0.0985,0.788,0.111625,0.893,0.0,0.0,0.07,0.56,0.0,0.0,0.0
Recomendo conhecer.,0.0946666666666666,0.284,0.055,0.165,0.0326666666666666,0.098,0.046,0.138,-0.0446666666666666,-0.134,0.0
"Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças.",0.0604285714285714,1.269,-0.0559999999999999,-1.176,0.0328571428571428,0.69,0.0742380952380952,1.5590000000000002,0.0,0.0,0.0
"O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo.",-0.0149090909090909,-0.492,0.003030303030303,0.1,-0.03,-0.99,-0.0141212121212121,-0.4659999999999999,0.0005454545454545,0.018,0.0
Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música.,-0.0168421052631578,-0.32,0.1026315789473684,1.95,0.0343157894736842,0.652,0.0389473684210526,0.7400000000000001,-0.0033684210526315,-0.064,1.0
"O tacacá não é um dos melhores, mas a música compensa.",-0.0545384615384615,-0.709,0.0675384615384615,0.878,-0.0186153846153846,-0.242,-0.0018461538461538,-0.0239999999999999,0.0,0.0,0.0
Comida muito boa.,-0.13625,-0.545,0.03825,0.153,-0.155,-0.62,-0.135,-0.54,0.124,0.496,1.0
"Casa muito linda, grande e elegante.",0.1215,0.972,-0.03175,-0.254,0.247375,1.979,0.172375,1.379,0.069125,0.553,1.0
Buffet variado de pratos quentes e frios.,0.064625,0.517,-0.12675,-1.014,0.121,0.968,0.104125,0.8330000000000001,0.0,0.0,1.0
"Churrascaria perfeita, Fanatástica!",0.0,0.0,0.0178,0.089,0.0078,0.039,0.007,0.035,0.0046,0.023,1.0
Imperdivel!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Excelente comida, excelente atendimento.",0.4004999999999999,2.403,-0.1333333333333333,-0.7999999999999999,0.3578333333333333,2.147,0.3111666666666666,1.867,-0.0095,-0.057,1.0
Pouca tempo de espera se consideramos que era uma data festiva.,0.0568333333333333,0.6819999999999999,-0.0419999999999999,-0.5039999999999999,0.1179166666666666,1.415,0.0928333333333333,1.114,-0.0172499999999999,-0.207,1.0
"Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade.",0.0377368421052631,0.7170000000000001,-0.0257368421052631,-0.4889999999999999,-0.005157894736842,-0.0979999999999998,0.0345263157894736,0.6560000000000001,-0.0024736842105263,-0.047,1.0
Manaus esta de parabéns!,0.2886,1.443,-0.0101999999999999,-0.0509999999999999,0.3574,1.787,0.3418,1.709,0.0,0.0,0.0
"Ótimo lugar para ir comemorar aniversarios, confraternizações e tudo mais.",0.0976666666666666,1.1720000000000002,0.0199166666666666,0.2389999999999999,0.1393333333333333,1.6720000000000002,0.1313333333333333,1.576,-0.00675,-0.081,0.0
O preço é mais salgado mas é justo.,0.1241111111111111,1.117,0.026,0.234,0.0737777777777777,0.6639999999999999,0.0746666666666666,0.6719999999999999,0.0,0.0,1.0
Ambiente bem amplo.,0.4247499999999999,1.6989999999999998,0.4295,1.718,0.23,0.92,0.36125,1.445,0.0,0.0,1.0
Atendimento muito eficaz!,0.1705,0.682,-0.40575,-1.623,0.25125,1.005,0.22975,0.919,0.13825,0.553,1.0
Recomendo!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive.",-0.0094,-0.329,-0.0447999999999999,-1.5679999999999998,-0.0192285714285714,-0.6730000000000002,-0.0080857142857142,-0.2829999999999999,0.0517714285714285,1.812,1.0
"Sim, em Manaus tem opções todos os dias da semana, e no Armando começa na segunda feira!!!",0.0611818181818181,1.346,-0.0295454545454545,-0.65,0.0697727272727272,1.535,0.049,1.078,-0.0134545454545454,-0.296,0.0
"Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!",0.1,2.5,-0.1403599999999999,-3.509,0.1640799999999999,4.101999999999999,0.1489599999999999,3.724,0.0336,0.8400000000000001,1.0
"É sem sombra de dúvidas um dos melhores bares da cidade, sem frescura!!!",-0.0874117647058823,-1.486,-0.0918235294117647,-1.561,-0.0603529411764706,-1.0260000000000002,-0.056235294117647,-0.9559999999999998,0.0244705882352941,0.4159999999999999,0.0
A melhor coisa dessa padaria é a possibilidade de montar seu próprio sanduíche com as opções da casa.,0.1185263157894736,2.252,-0.0288421052631578,-0.548,0.0933157894736842,1.773,0.0945263157894736,1.796,-0.0117368421052631,-0.223,0.0
"Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho.",-0.0417666666666666,-1.2529999999999997,0.0008666666666666,0.026,-0.0302,-0.906,-0.0202666666666666,-0.6079999999999999,-0.0613333333333333,-1.84,1.0
"Cafezinho esse que aliás, é muito bom.",-0.0853333333333333,-0.768,0.0,0.0,-0.0656666666666666,-0.591,-0.0707777777777777,-0.637,0.0614444444444444,0.553,1.0
"O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante...",-0.0196,-0.588,-0.0198666666666666,-0.596,-0.0440333333333333,-1.321,-0.0074666666666666,-0.2239999999999997,-0.0039666666666666,-0.119,1.0
"Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer.",0.0874642857142857,2.449,-3.5714285714290704e-05,-0.0010000000000001,0.0241428571428571,0.676,0.0724285714285714,2.028,-0.00725,-0.203,1.0
A melhor peixaria da cidade!,0.0893333333333333,0.536,0.0375,0.225,0.0225,0.135,0.043,0.258,-0.0206666666666666,-0.124,1.0
"Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região.",0.1152631578947368,2.19,-0.1431052631578947,-2.719,0.1516842105263157,2.882,0.1419473684210526,2.697,-0.0021578947368421,-0.0409999999999999,1.0
"O preço é um pouco acima da média, mas vale cada centavo que custa.",0.0221875,0.3550000000000001,0.0180625,0.289,-0.0066875,-0.107,0.0095,0.152,0.0050625,0.081,1.0
Recomendo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comemos um prato Camarões Beira mar!,-0.1122857142857142,-0.7859999999999999,0.0,0.0,-0.1414285714285714,-0.99,-0.0877142857142857,-0.614,0.0094285714285714,0.066,0.0
"É excepcional, mas poderia vim um pouco mais...",-0.0170999999999999,-0.1709999999999999,-0.0186,-0.186,-0.0925,-0.925,-0.0362999999999999,-0.3629999999999999,-0.0179,-0.179,0.0
Serve três pessoas.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vem como acompanhamento batata cozida e arroz com brócolis!,-0.0858,-0.858,-0.0064,-0.064,-0.0926,-0.926,-0.078,-0.78,0.0619,0.619,0.0
Coco Bambu sempre tem fila!,0.1313333333333333,0.788,-0.1083333333333333,-0.65,0.1169999999999999,0.702,0.1188333333333333,0.713,0.0,0.0,0.0
É bom ligar antes para fazer a reserva.,0.1048888888888888,0.944,-0.0502222222222222,-0.452,0.1126666666666666,1.014,0.103,0.927,0.0061111111111111,0.055,0.0
Ligue o quanto antes porque o horário para agendar reserva é limitado.,0.0949230769230769,1.234,-0.043076923076923,-0.56,0.1153076923076923,1.499,0.083076923076923,1.08,-0.0038461538461538,-0.05,1.0
"Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,.",0.0635714285714285,1.335,-0.1369523809523809,-2.876,0.0684285714285714,1.4369999999999998,0.0747142857142857,1.5690000000000002,0.0449047619047619,0.943,1.0
Recomendo quem quer saciar a fome..,0.0345714285714285,0.242,0.1088571428571428,0.762,0.0138571428571428,0.0969999999999999,0.0084285714285714,0.0589999999999999,-0.132,-0.924,0.0
"Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor.",0.0116923076923076,0.456,0.0352307692307692,1.374,0.0322564102564102,1.258,0.0169999999999999,0.6629999999999999,0.0217948717948717,0.85,1.0
Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium).,0.0443448275862068,1.2859999999999998,-0.0274137931034482,-0.7949999999999999,0.0535172413793103,1.5520000000000005,0.0449310344827586,1.303,-0.0026206896551724,-0.076,1.0
Como já disse o cardápio principal é de peixe amazônico.,0.0626363636363636,0.6890000000000001,-0.0717272727272727,-0.7889999999999999,0.0719090909090909,0.7909999999999999,0.0773636363636363,0.851,-0.0077272727272727,-0.085,0.0
Experimentei o 'Tambaqui na Telha'.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No jantar em que estive havia música ao vivo com um ótimo cantor de MPB.,0.0045,0.072,0.006375,0.1020000000000002,0.0475,0.76,0.0588125,0.941,-0.00375,-0.06,0.0
"Local agradável, vale a visita e excelente custo benefício (1 prato serve 3).",0.1152941176470588,1.96,-0.0041764705882352,-0.071,0.0881176470588235,1.498,0.0835294117647058,1.42,-0.0145294117647058,-0.247,1.0
"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.",0.0272105263157894,0.517,-0.1013684210526315,-1.926,0.0495263157894736,0.941,0.0496842105263157,0.944,0.0291052631578947,0.553,1.0
"Excelente peixe, para quem esta localizado no Distrito Industrial, excelente pedida para almoço.",0.0989999999999999,1.584,0.0115,0.184,0.0945625,1.513,0.0666249999999999,1.0659999999999998,-0.0053125,-0.085,1.0
dica Matrinxã recheada.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
É um restaurante executivo com buffet gostoso e serviço a la carte bem no centrinho da cidade mas é bem pequeno.,0.0592727272727272,1.3039999999999998,0.0634090909090909,1.395,0.0348181818181818,0.7660000000000002,0.0738181818181818,1.624,-0.0054090909090909,-0.119,1.0
Funciona para almoço e jantar.,0.0136666666666666,0.082,0.0108333333333333,0.065,0.0225,0.135,0.0156666666666666,0.094,0.0,0.0,0.0
Nota 10 restaurante com comidas típicas e variadas para todos gostos atendimento nota mil super recomendo fantástico voltaria com certeza!!!,0.0270869565217391,0.623,0.0304347826086956,0.7000000000000001,0.0646086956521739,1.486,0.065695652173913,1.511,-0.0078260869565217,-0.18,1.0
"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.",0.0689333333333333,1.034,-0.1297333333333333,-1.946,0.112,1.68,0.1036,1.554,0.0,0.0,0.0
"Lugar novo , dentro do shopping Ponta Negra.",0.133,1.197,0.1115555555555555,1.004,0.0052222222222222,0.047,0.0793333333333333,0.7140000000000001,-0.0118888888888888,-0.107,1.0
Serviço bom.,0.0613333333333333,0.184,0.0656666666666666,0.197,-0.0166666666666666,-0.05,0.0236666666666666,0.071,-0.0396666666666666,-0.119,1.0
