sentence,concept_aptitude_avg,concept_aptitude_sum,concept_attention_avg,concept_attention_sum,concept_pleasantness_avg,concept_pleasantness_sum,concept_polarity_avg,concept_polarity_sum,concept_sensitivity_avg,concept_sensitivity_sum,subjectivity
"Minha recomendação para o mestre sim , o cara é simplesmente , um de os melhores vai principalmente para as pessoas que não curtem ler , assim como eu em o ensino médio . ",0.0695588235294117,2.365,-0.0378235294117647,-1.286,0.0757058823529411,2.5740000000000003,0.0657941176470588,2.2370000000000005,-0.0014705882352941,-0.05,0.0
"Aquele que não participasse era acusado de cometer crimidéia - ou idéias ilegais para o Partido , e , portanto um perigo a a segurança nacional . ",-0.0449259259259259,-1.213,-0.0265185185185185,-0.716,-0.0685925925925926,-1.852,-0.040074074074074,-1.082,0.0174814814814814,0.472,0.0
"Jorge Amado consegue contar essa história de modo sutil , e muito cativante sem perder é claro a realidade , o protesto contra o sistema de governo e a situação de nosso país . ",0.0191470588235294,0.651,-0.0833823529411764,-2.835,0.006235294117647,0.2119999999999997,0.0445294117647058,1.514,0.1013823529411764,3.447,0.0
"Logo a cegueira afeta não só um pequeno grupo , mas grande parte de a cidade e assim sucessivamente . ",0.0052,0.1040000000000002,-0.09725,-1.945,-0.0261499999999999,-0.5229999999999998,0.0248,0.496,0.00205,0.041,0.0
Algumas marcas em o texto aponta para um possível trauma sexual que Caulfield tenha sofrido . ,0.0296875,0.4750000000000001,-0.019,-0.304,-0.0134374999999999,-0.2149999999999999,0.0225,0.36,-0.003,-0.048,0.0
Como resenhar um clássico ? ,-0.1037999999999999,-0.5189999999999999,0.0438,0.219,-0.1908,-0.954,-0.0835999999999999,-0.4179999999999999,0.0,0.0,0.0
Sabia o que queria e correu atras para poder comendar o império que seu pai criara . ,0.0924117647058823,1.5709999999999995,0.0088823529411764,0.151,0.0347058823529411,0.59,0.076,1.292,-0.0039411764705882,-0.067,0.0
O melhor de o grupo . ,0.1581666666666666,0.949,-0.1246666666666666,-0.748,0.1495,0.897,0.1623333333333333,0.974,-0.0206666666666666,-0.124,0.0
Deixo claro que comecei a ler pois todos falavam de esta série . ,0.136,1.768,-0.1938461538461538,-2.52,0.1989999999999999,2.587,0.1716923076923077,2.232,-0.0138461538461538,-0.18,0.0
"Vejo como única forma de "" fugir "" de a manipulação de a sociedade , o estudo e a aquisição de conhecimento . ",0.1457826086956521,3.353,-0.19,-4.37,0.1980869565217391,4.556,0.1898695652173913,4.367,-0.0128695652173913,-0.296,0.0
"Afirmo que "" Se Houver Amanhã "" é uma trama que envolve paixões , aventura e até suspense , que Sheldon conseguiu dosar como pouquíssimos autores conseguem . ",0.0491071428571428,1.375,-0.0622142857142857,-1.742,0.0290357142857142,0.8130000000000001,0.0460357142857142,1.289,-0.0021785714285714,-0.061,0.0
"A o longo de a narrativa , somos apresentados a os diversos personagens que compõem o grupo . ",0.0423888888888888,0.763,-0.0493333333333333,-0.888,0.0510555555555555,0.919,0.0507777777777777,0.914,0.0,0.0,0.0
"De os seus primeiros diamantes , Jamie fundará uma companhia de comércio que será a sua vida e de todos os seus descendentes . ",0.10075,2.418,-0.075375,-1.809,0.1427916666666666,3.427,0.1346666666666666,3.232,-0.0075,-0.18,0.0
"É meio zen-budista , e isso marcou muito . ",-0.0668888888888888,-0.602,0.0153333333333333,0.138,-0.0625555555555555,-0.563,-0.0626666666666666,-0.5640000000000001,0.0487777777777777,0.439,0.0
"Não tinham uma casa onde pudesse viver e brincar , apenas um trapice abandonado que continha diversas crianças . ",-0.0822631578947368,-1.563,0.0456842105263157,0.8680000000000001,-0.1853157894736842,-3.521,-0.0966842105263157,-1.837,0.075578947368421,1.436,0.0
"Isabella está entre a vida e a morte , mas Edward chega a tempo e chupa o veneno de a mordida e tudo fica bem . ",0.0554615384615384,1.4420000000000002,0.0404230769230769,1.051,0.1092692307692307,2.841,0.0801923076923076,2.085,0.0312692307692307,0.8130000000000001,0.0
"Livro muito bom , abandonei mas porque a leitura é dificil e eu ja tinha visto o filme , o que tira um pouco de o gosto por a leitura , mas eu recomendo ! ",0.0304571428571428,1.066,-0.0641142857142857,-2.244,0.0324285714285714,1.1349999999999998,0.0395142857142857,1.383,0.0128857142857142,0.451,0.0
"Ler 1984 em os dias de hoje é como ler sobre a vida , o dia-a-dia . ",0.0801176470588235,1.362,-0.0006470588235294,-0.011,0.1078235294117647,1.833,0.1005882352941176,1.71,0.0,0.0,0.0
"Valdeck Almeida de Jesus Poeta , Escritor , Jornalista www.galinhapulando.com ",0.1652999999999999,1.6529999999999998,-0.0901,-0.901,0.0963,0.963,0.1195,1.195,-0.0078,-0.078,0.0
"matar a pessoa dita "" subversiva "" não matava o ideal de ela , que continuava em o ar . ",0.0074499999999999,0.1489999999999999,-0.02175,-0.4349999999999999,0.06005,1.201,0.0287,0.5740000000000001,0.04045,0.8089999999999999,0.0
"Perdeu - se em a historia o sentido de a palavra "" vampiro "" , não há vampiros em a historia para mim . ",0.0310416666666666,0.745,0.0003333333333333,0.008,0.0349999999999999,0.84,0.0360833333333333,0.8660000000000001,-0.0392916666666666,-0.943,0.0
Edward Cullen é um personagem doentio . ,0.0188571428571428,0.132,0.0,0.0,-0.0251428571428571,-0.176,-0.0019999999999999,-0.0139999999999999,0.0,0.0,0.0
"Onde um grupo de menores de idade se organizam em uma quadrilha que se esconde em um barracão abandonado a a beira mar e se auto-denominam "" Capitães de a areia "" . ",-0.0141212121212121,-0.4659999999999998,-0.0884545454545454,-2.919,-0.0088181818181818,-0.2910000000000002,0.015030303030303,0.4960000000000001,0.0206060606060606,0.68,0.0
Eu não entendia por que Bella prefere Edward e não Jacob . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lá , ela conhece Edward Cullen um vampiro que só bebe sangue de animais . ",0.0385333333333333,0.5780000000000001,-0.109,-1.635,0.026,0.39,0.0568666666666666,0.8530000000000001,-0.003,-0.045,0.0
"Não descreve cenas de ação entre vampiros , como muitos que não conhecem a históra imaginam , mas vale a pena . ",0.0679090909090909,1.494,0.0017727272727272,0.039,0.0381818181818181,0.84,0.0643636363636363,1.416,-0.0032272727272727,-0.071,0.0
"Suas atitudes por vezes impiedosas não nos faz deixar de ter a certeza de que eles não eram maus , apenas não tinham chances de serem bons . ",0.0324999999999999,0.91,-0.0669999999999999,-1.876,0.09,2.52,0.0741071428571428,2.075,-0.04175,-1.169,0.0
"Os motivos por o qual a guerra iniciou , assim como seus desdobramentos eram constantemente alterados por o ministério de a verdade , por Winston . ",0.0122692307692307,0.319,-0.0374230769230769,-0.973,0.0302307692307692,0.7859999999999999,0.0251923076923076,0.655,-0.0044230769230769,-0.115,0.0
A época de sombras que o livro trata é o nosso presente . ,0.1036153846153846,1.347,-0.0668461538461538,-0.869,0.1378461538461538,1.7919999999999998,0.1081538461538461,1.406,0.0,0.0,0.0
"Tudo começa com Jamie McGregor , um jovem escocês pobre que parte para a África de o Sul em busca de fortuna . ",0.0405217391304347,0.932,-0.0974782608695652,-2.242,0.1169130434782608,2.689,0.1045217391304347,2.404,0.0211304347826086,0.486,0.0
Ela merecia uma vida . ,0.1689999999999999,0.845,0.1924,0.962,0.1986,0.993,0.1866,0.933,0.0,0.0,0.0
"O menino manco tinha grande talento para a dissimulação , por isso se especializara em a tarefa de espião de o bando . ",0.205695652173913,4.731,-0.1462608695652174,-3.364,0.1393043478260869,3.204,0.1702608695652174,3.916,0.0035652173913043,0.0819999999999999,0.0
"Como diria Caetano : "" Alguma coisa está fora de a ordem ... "" Ah , e cá pra nós : falar só em beleza e riqueza quanta futilidade ... ( Crianças em o mundo real nem sempre o que/quem é belo será o melhor para vc e te fará feliz ) . ",0.0643272727272727,3.538,-0.0244363636363636,-1.344,0.0595636363636363,3.276,0.0603454545454545,3.319,0.0113454545454545,0.624,0.0
"Dissa o que tinha que dizer , se forem ver os dois lados de essa comparação verão que foi algo totalmente ridiculo . ",0.0880434782608695,2.025,-0.0618695652173913,-1.423,0.0397826086956521,0.915,0.069391304347826,1.596,-0.008391304347826,-0.193,0.0
""" A partir de essa metáfora , podemos inferir diversos significados sobre o estado emocional de o personagem , seus desejos mais recônditos , vivências e expectativas que , de certa forma , se relacionam com sua trajetória de vida em o romance . ",0.1242272727272727,5.466,-0.0496136363636363,-2.1829999999999994,0.1557272727272727,6.851999999999999,0.1402499999999999,6.170999999999999,-0.0106363636363636,-0.4679999999999999,0.0
Que o filme é o menos chato . ,-0.082,-0.656,0.01225,0.098,-0.017625,-0.141,-0.05675,-0.454,0.08275,0.662,0.0
"E isso incluí Malu , a paixão e orgulho de seu pai . ",0.0333846153846153,0.434,-0.126,-1.638,0.0556153846153846,0.723,0.0483846153846153,0.629,0.070076923076923,0.911,0.0
Mas não é definitivamente um empeçilho . ,-0.1012857142857142,-0.709,0.0,0.0,-0.1414285714285714,-0.99,-0.0808571428571428,-0.566,0.0,0.0,0.0
E Edward é o vampiro que toda mulher sonha em ter ! ,0.0790833333333333,0.949,0.0208333333333333,0.25,0.0765833333333333,0.919,0.0502499999999999,0.603,-0.0255833333333333,-0.307,0.0
"Pessoas reclamam de o tempo perdido em as ruas , outras buzinam seus veículos em a tentativa fracassada de adiantar o tempo . ",0.0811304347826087,1.866,-0.0926086956521739,-2.13,0.0848695652173913,1.952,0.083695652173913,1.9250000000000005,0.0075652173913043,0.174,0.0
"Inteligente , era quem planejava os roubos . ",0.0,0.0,0.102,0.816,0.101125,0.809,0.06775,0.542,0.0,0.0,0.0
"Não acho que isso se deva só a os leitores "" de fachada "" , mas sim que o livro se adapta a os leitores que possuem um determinado estilo de vida . ",0.0567575757575757,1.873,-0.0298181818181818,-0.984,0.0788484848484848,2.602,0.0746060606060606,2.462,0.0,0.0,0.0
"Não me identifico muito com o livro , mas é claro que havia ali preocupações universais de adolescentes . ",0.0277894736842105,0.528,-0.0897368421052631,-1.705,0.0628421052631579,1.194,0.0504736842105263,0.959,0.0291052631578947,0.553,0.0
"Esto ansioso para ler a sequencia , que não foi escrita por Sheldon , uma vez que já é falecido . ",0.0,0.0,0.0,0.0,-0.0394761904761904,-0.829,-0.0267142857142857,-0.561,-0.0406190476190476,-0.853,0.0
"Isso era mentira , mas como provar que não era ? ",-0.1003636363636363,-1.104,0.0,0.0,-0.0884545454545454,-0.973,-0.0653636363636363,-0.7190000000000001,0.0072727272727272,0.08,0.0
"Todos , meninos sozinhos , perdidos , que precisam de atenção , de vida . ",0.1156,1.734,-0.0656,-0.984,0.1724666666666666,2.587,0.1566666666666666,2.35,-0.012,-0.18,0.0
Ela faz fortunas de esta forma e fica conhecida em a alta sociedade . ,0.0655714285714285,0.918,-0.0459285714285714,-0.643,0.0816428571428571,1.143,0.0756428571428571,1.059,-0.02,-0.28,0.0
"Em uma tentativa frustrada de arrancar um confissão de o mafioso , Tracy acaba sendo acusada de assalto a mão armada e roubo de um quadro em o valor de meio milhão . ",0.059060606060606,1.949,-0.1375454545454545,-4.539000000000001,0.0399999999999999,1.3199999999999998,0.083060606060606,2.741,-0.0134545454545454,-0.444,0.0
"Segundo frase memorável , "" o poder não é um meio , mas um fim em si "" . ",-0.0009473684210526,-0.0179999999999999,0.0714736842105263,1.358,-0.1005263157894736,-1.91,-0.0150526315789473,-0.2859999999999998,-0.0154210526315789,-0.293,0.0
"Enfim , "" "" Ensaio Sobre a Cegueira "" é um livro escrito por um gênio e traz uma de as mais sensíveis reflexões sobre a condição humana em situações extremas . ",-0.0335,-1.0720000000000005,-0.0008125,-0.026,-0.0616562499999999,-1.973,-0.0195624999999999,-0.6259999999999996,0.02440625,0.781,0.0
"Cada um de os meninos-homens abandonados , integrantes de os Capitães de a Areia , tem sua história , todas lindas , impossível não criar afeição . ",0.0618148148148148,1.6690000000000005,-0.1282962962962963,-3.464,0.0792592592592592,2.14,0.0825185185185185,2.2280000000000006,-0.0297407407407407,-0.803,0.0
"É em esse último que trabalha Winston Smith , cuja função é eliminar ou adulterar documentos , entre os quais se destacam edições já publicadas de o Times , principalmente aquelas que apresentam previsões de o Grande Irmão que não se confirmaram ou mencionam pessoas que foram vaporizadas ( pessoas que desaparecem em o meio de a noite e , a partir de então , não são mais mencionadas , sendo sua existência anterior negada e apagada de qualquer registro ) . ",0.049060975609756,4.023,-0.0484268292682926,-3.971,0.0468780487804878,3.844,0.0604268292682926,4.955000000000001,0.0133536585365853,1.095,0.0
"Mas Caulfield - assim como dito em o livro - é muito bom em esse negócio de não se encaixar em padrões , tão bom que torna - se chato , tão bom que parece esforçar - se demais para estar deprimido , tornando - o falso . ",-0.0144166666666666,-0.6920000000000001,-0.0151666666666666,-0.728,-0.0236666666666666,-1.136,-0.0143958333333333,-0.6910000000000001,0.0201041666666666,0.965,0.0
"Se podes ver , repara "" ( epígrafe de a obra ) Boa leitura ! ",0.0819333333333333,1.229,-0.1046,-1.569,0.0912666666666666,1.3689999999999998,0.0957333333333333,1.436,-0.0078,-0.117,0.0
"Se passa em um mundo completamente novo , onde todos os nossos países estão agrupados em apenas três grandes Estados , depois de uma guerra atômica . ",-0.0119629629629629,-0.323,0.0065925925925925,0.178,0.0194074074074074,0.5239999999999999,0.0237777777777777,0.642,-0.0148888888888888,-0.4019999999999999,0.0
"Enfim , não é um livro essencial mas também não é "" tempo perdido "" . ",-0.046375,-0.742,-0.00575,-0.092,-0.053375,-0.854,-0.0331249999999999,-0.5299999999999999,0.0054375,0.087,0.0
"Podemos ver claramente aí o que o autor quer nos dizer : esses jovens , apesar de marginais , são totalmente desprovidos de amor e carinho , e não é por conta de o fato de viverem de a violência que os tornam mais propensos a repelirem esses sentimentos - por o contrário . ",0.1279259259259259,6.908000000000001,-0.1085,-5.859,0.1401666666666666,7.569,0.1353518518518518,7.309000000000001,-0.0082222222222222,-0.444,0.0
A história começa com a notícia de a gravidez de Angela . ,0.23475,2.817,-0.0865833333333333,-1.039,0.21375,2.565,0.2288333333333333,2.746,0.0,0.0,0.0
"Penso que podemos debater mais e melhor essa coisa proposta sobre o aprisionamento de o homem , de o medo , de o controle , de a falta de vida , de luz e de ar que ele simboliza em tantos momentos . ",0.1093720930232558,4.702999999999999,-0.1098372093023255,-4.723,0.1680697674418604,7.226999999999999,0.1430930232558139,6.1530000000000005,-0.0124883720930232,-0.537,0.0
"Muita gente já falou , leu , comentou e brigou por conta de esta série . ",0.0763125,1.221,-0.1159999999999999,-1.856,0.105875,1.694,0.0983125,1.573,0.00325,0.052,0.0
"Sim , Edward é perfeito e não é por causa de o filme e sua aparência . ",0.0717647058823529,1.22,-0.057235294117647,-0.973,0.1034705882352941,1.759,0.0775294117647058,1.318,0.0,0.0,0.0
O jovem escocês parte para a África de o Sul em busca de fortuna . ,0.1277333333333333,1.916,-0.1610666666666666,-2.416,0.3028,4.542,0.2345333333333333,3.5180000000000007,-0.0020666666666666,-0.031,0.0
Ninguém me conhece ! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mas , a os trancos e barrancos , ele vai aprendendo a amar Malu , que , com o passar de os anos , vai criando sua própria personalidade , para o horror de o pai . ",0.076054054054054,2.814,-0.0341081081081081,-1.262,0.0898378378378378,3.324,0.079027027027027,2.9240000000000004,0.0,0.0,0.0
"A estória todo mundo conhece de cor e salteado ... A Bella é uma adolescente feinha que resolve ir morar com o pai , em uma cidade que ela odeia , para permitir que a mãe seja feliz . ",0.0655128205128205,2.555,-0.022051282051282,-0.8599999999999999,0.0649230769230769,2.532,0.0667692307692307,2.604,-0.0022564102564102,-0.088,0.0
"Isso deve ter sido acrescentado só pra dar um ar de "" conto de fadas "" em a história . ",0.0345,0.6900000000000001,-0.07955,-1.591,0.0344999999999999,0.69,0.0576,1.152,-0.01135,-0.227,0.0
Para Holden Caulfield os anos dourados não são tão magníficos assim . ,0.01575,0.189,0.0064166666666666,0.077,0.0169166666666666,0.203,0.013,0.156,0.0,0.0,0.0
"De acordo com a ficção de Orwell , o mundo se dividiria entre três grandes potências socialistas igualmente fortes e em constante guerra uma com a outra : Eurasia , Eastasia e Oceania . ",0.0284411764705882,0.967,-0.0542941176470588,-1.846,0.0478235294117647,1.626,0.0443823529411764,1.509,-0.0033823529411764,-0.115,0.0
"Se estes recursos fossem distribuídos igualmente entre o povo , o mesmo poderia se tornar poderoso , colocando em risco a segurança de o Partido . ",-0.0068846153846153,-0.1789999999999998,-0.0015384615384615,-0.04,-0.0334615384615384,-0.87,-0.0147307692307692,-0.3829999999999999,-0.0046923076923076,-0.122,0.0
"E derrepente vê - se envolto por uma cegueira , nada mais se vê e o caos começa . ",-0.0569999999999999,-1.083,-0.0006315789473684,-0.012,-0.0390526315789473,-0.742,-0.0492631578947368,-0.936,0.0523684210526315,0.995,0.0
"Contendo pensamentos , contém - se revoltas . ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agora sim , alguém vai me xingar ... A o ter em mãos um livro sobre vampiros , e ainda por cima escrito por uma mulher , a primeira coisa que me veio A A mente foi que com certeza esses vampiros seriam bem diferentes de aqueles com que eu estava acostumada . ",0.0236792452830188,1.255,0.0424716981132075,2.251,0.0169622641509433,0.899,0.0262830188679245,1.3930000000000002,-0.0088679245283018,-0.4699999999999999,0.0
"Eu poderia discutir todo o livro com vocês , mas não é essa a finalidade , o que posso dizer é que esse livro me fez passar por muitas emoções , e para mim tudo começou errado por causa de o dinheiro que todos buscavam . ",-0.0096086956521739,-0.442,-0.0077173913043478,-0.355,-0.0153695652173913,-0.7069999999999999,-0.0121304347826086,-0.5579999999999998,0.0249565217391304,1.148,0.0
"Ela mantém a ordem interna de o "" país "" , pois a atenção e sentimento de raiva de todos estão voltados contra o exterior , os estrangeiros que são inimigos . ",0.1145,3.664,-0.1448124999999999,-4.634,0.1487187499999999,4.759,0.1249687499999999,3.999,0.0225,0.7200000000000001,0.0
"Se você somar os algarismos de 1984 , o resultado é 22 . ",-0.020076923076923,-0.261,-0.0748461538461538,-0.973,0.0055384615384615,0.0719999999999999,-0.0016923076923076,-0.022,0.0653846153846153,0.85,0.0
"A o ouvir os ruídos , o soldado foi verificar o que estava acontecendo , assustou - se com o cego e deu - lhe um tiro em o meio de a cara . ",0.0438235294117647,1.49,-0.0570588235294117,-1.94,0.0371470588235294,1.263,0.0468823529411764,1.594,-0.0055882352941176,-0.19,0.0
"Lembro direitinho quando li ele a primeira vez , com 14 anos , em uma tarde de temporal comendo toneladas de pudim de leite . ",0.0876,2.1900000000000004,-0.1565599999999999,-3.914,0.14176,3.544,0.13044,3.261,0.0,0.0,0.0
"Essa Malu , em um capítulo , fica apaixonada por um professor feio que dói e , pra ver ele , se inscreve em um curso em que ele dá aulas e que dura tês meses , e ainda inscreve as amigas sem consultá - las . ",-0.0674680851063829,-3.171,0.0025531914893617,0.12,-0.0460212765957446,-2.1630000000000007,-0.0388085106382978,-1.824,-0.0232127659574468,-1.0909999999999995,0.0
Começou a escrever esse seu último livro em 1948 e fez uma mudança em a data para dizer como estaria o mundo em o futuro . ,0.0303846153846153,0.79,0.0379615384615384,0.987,0.0211153846153846,0.549,0.0248461538461538,0.6460000000000001,-0.0149615384615384,-0.389,0.0
"Winston faz o papel de nosso "" herói "" em essa historia , ele trabalha em o ministério de a Verdade que ironicamente tem como função , entre outras , alterar o passado para que o partido tenha sempre a vantagem sobre o futuro e continuar seu legado em o presente . ",0.1004038461538461,5.221,0.0100961538461538,0.525,0.0774615384615384,4.0280000000000005,0.0948653846153846,4.933,-0.0023461538461538,-0.122,0.0
"Sai de a cadeia com a idéia fixa de vingança contra aqueles que a colocaram lá e depois de se vingar tenta levar uma vida normal , mas não consegue um emprego decente e então resolve aplicar sofisticados golpes em pessoas que mereciam ser passadas para traz . ",0.041125,1.974,-0.0692291666666666,-3.323,0.05625,2.7,0.063125,3.03,0.0287291666666666,1.379,0.0
Mas e se ela descobri - se que você e um assassino um caçador o que ela faria ? ,-0.0891578947368421,-1.694,-0.0014210526315789,-0.027,-0.1076315789473684,-2.045,-0.0671052631578947,-1.2749999999999997,-0.0059473684210526,-0.113,0.0
É impossível subverter o sistema . ,-0.2948333333333333,-1.769,0.0286666666666666,0.172,-0.2769999999999999,-1.662,-0.2741666666666666,-1.645,0.0114999999999999,0.0689999999999999,0.0
Sentia vontade de me espelhar em seu modo de pensar . ,0.0705454545454545,0.776,-0.0257272727272727,-0.283,0.22,2.42,0.2085454545454545,2.294,0.0011818181818181,0.013,0.0
"Mesmo que as vezes seja difícil acreditar que o livro fala de crianças , de adolescentes mais novos que eu . ",0.1387142857142857,2.913,-0.0717619047619047,-1.507,0.1169047619047619,2.455,0.1405238095238095,2.951,-0.0034761904761904,-0.073,0.0
"Com seu rostinho bonito , sua inteligência aguçada e seu "" ar de inocente "" ela é a profissional perfeita , de a qual ninguém suspeitaria . ",0.077037037037037,2.08,-0.0262592592592592,-0.7089999999999999,0.0908148148148148,2.452,0.0939629629629629,2.537,-0.0014074074074074,-0.0379999999999999,0.0
"É o primeiro caso de uma "" treva branca "" que logo se espalha incontrolavelmente . ",0.0323125,0.517,-0.0608125,-0.973,0.0525,0.84,0.0485625,0.777,0.0,0.0,0.0
"Como Orwell retrata muito bem , as "" proles "" não são nada , apenas massa trabalhadora . ",-0.0451111111111111,-0.812,0.0587222222222222,1.057,-0.0043888888888888,-0.0789999999999999,-0.0253333333333333,-0.4559999999999999,0.0852222222222222,1.534,0.0
"Senti também uma sinceridade ímpar , como em nenhum outro livro . ",-0.0024999999999999,-0.0299999999999999,0.14325,1.719,-0.0725833333333333,-0.871,0.02275,0.273,0.0,0.0,0.0
Uma rebelião não começa com um grupo de pessoas gritando em o centro de a cidade . ,-0.0078823529411764,-0.1339999999999999,-0.106235294117647,-1.806,0.0385294117647058,0.6549999999999998,0.0341176470588235,0.5800000000000002,0.0511176470588235,0.869,0.0
"Mas hoje em dia , não creio que possa ser visto de essa forma . ",0.1124666666666666,1.687,-0.0849333333333333,-1.274,0.1159333333333333,1.739,0.1154666666666666,1.732,-0.0222,-0.333,0.0
"Aliás , termo muito comum em terras brasileiras em este momento de BBB global . ",-0.0143333333333333,-0.2149999999999999,-0.0916666666666666,-1.375,0.0703333333333333,1.0550000000000002,0.0265333333333333,0.398,-0.0228666666666666,-0.3429999999999999,0.0
James sente o cheiro . ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tudo é muito claro ! ,0.0516,0.258,-0.1116,-0.558,0.082,0.41,0.0628,0.3139999999999999,0.0944,0.472,0.0
"Sobre Stephenie Meyer não saber escrever , tenho de discordar . ",0.065090909090909,0.716,-0.0725454545454545,-0.798,0.0763636363636363,0.84,0.082,0.902,0.0,0.0,0.0
"De tão reticente , ele parecia que não tinha mesmo nada a dizer . ",-0.0112857142857142,-0.158,-0.0542857142857142,-0.76,-0.0509285714285714,-0.713,-0.0379285714285714,-0.5309999999999999,0.0037142857142857,0.052,0.0
"Esse tipo de coisa já me aconteceu mais de vinte vezes , desde que eu era garotinho . ",0.1188888888888888,2.14,-0.1009444444444444,-1.817,0.1480555555555555,2.665,0.1274444444444444,2.294,0.0,0.0,0.0
A leitura e a incessante busca por o conhecimento que os livros transmitiam foram um vício de Saramago até os últimos dias de sua vida . ,0.0777307692307692,2.021,-0.1223461538461538,-3.181,0.1244230769230769,3.2349999999999994,0.1328846153846153,3.455,0.0,0.0,0.0
Acho que desconfiar de tudo e de todos não leva ninguém a lugar nenhum : só enlouquece . ,0.0633888888888889,1.1410000000000002,-0.0934444444444444,-1.6819999999999995,0.0689999999999999,1.2419999999999998,0.0722777777777777,1.3010000000000002,-0.0384444444444444,-0.692,0.0
"Ela manipula , joga , ama e é fria , e tudo a o mesmo tempo . ",0.0307058823529411,0.5219999999999999,0.0173529411764705,0.295,0.0112941176470588,0.192,0.0186470588235294,0.317,-0.0039411764705882,-0.067,0.0
"Quem ama ler , ama leitura independente de a gramática contida ali , independente de a época em que ele foi escrito e públicado . ",0.073,1.825,-0.09792,-2.448,0.09008,2.252,0.09176,2.294,-0.00356,-0.089,0.0
Uma semana dedicada a o ódio . ,-0.1172857142857142,-0.821,0.0,0.0,0.0,0.0,-0.08,-0.56,-0.1227142857142857,-0.859,0.0
"Sinceramente , não sei . ",0.1992,0.996,0.0,0.0,0.154,0.77,0.1177999999999999,0.589,0.0,0.0,0.0
"Quando ela descobre que ele é um vampiro , já não consegue mais viver longe de ele . ",0.0036111111111111,0.065,-0.0019999999999999,-0.0359999999999999,-0.0557222222222222,-1.003,0.0180555555555555,0.325,0.0,0.0,0.0
