has_opinion	sentence
0	Notebook Dell Inspiron 14 I14 3443 B30 Intel Core R$ 2.099,00 em até 10x de R$ 209,90 https://www.magazinevoce.com.br/magazinemrsiva/p/computadores-e-tablets/1503365/notebook-dell-inspiron-14-i14-3443-b30-intel-core-i5-4gb-1tb-windows-81-led-14-hdmi/119430/ …  Ver foto
1	É fácil, atrás de um notebook da Dell ou Iphone, julgar alguém que rala o dia todo para sustentar uma família e mostrar o futebol a filha.
1	alo @dell o notebook da @nicollechidiac ta com problema o modelo é esse aqui  Link permanente da imagem incorporada
0	O Inspiron 14 5000 Series é fino e conta com a 4ª geração de processadores Intel® Core™ para que seus jogos, seus... http://fb.me/6JgOH0s98
0	Nova Atualização! Dell relança o notebook poderoso Alienware 18 http://bit.ly/1KzbEdD  #RT aqui galera!
1	Notebook de 3mil dar problema para conectar Wi-Fi aff maria Dell
1	Acho que nessa semana o técnico da Dell vem buscar o notebook e trazer o novo -amém-
0	Dell Latitude E6500 15.4" Notebook …http://special-online-deals-impressive-offers.newoffers.info/buy/01/?query=141761072897 …  Link permanente da imagem incorporada
0	Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … via @Olhar Digital
0	Análise: notebook Dell XPS 13 [vídeo]
0	Semana Dell na Submarino: Veja ofertas de Notebook imperdíveis http://quenotebookcomprar.com.br/semana-dell-na-submarino-veja-ofertas-de-notebook-imperdiveis/ …
0	Bateria do meu notebook #Dell Inspiron N4050 já era. Depois de 4 longos anos.
0	SOS DEALS >> http://ift.tt/1VjvmNP  #77714 Dell Latitude E6420 Notebook laptop computer - HD 14" - Intel Core i5 …  Ver foto
1	Meu notebook ficou zoado desde que a dell instalou o negócio de reconhecer rosto. Que ódio!
1	@olhardigital Boa edição ^^ Mas a minha escolha para o notebook seria a da Dell. ^^
0	Vendo   notebook Dell core i7 2.9Ghz em otimo estado de funcionamento e conservação R$ 1.400 Troco em TV 24 Pol... http://fb.me/7rG3oLp1F
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
0	Intel Core I3: Ofertas incríveis de Notebook Dell Intel Core I3.  de 177 produtos com ótimos… http://dlvr.it/C0JZ85  #MercadoLivre
0	@SpotifyAjuda Olá! Uso a versão 1.0.13.108 gcd94e7db, dipositivo notebook dell windonws 8. Obrigada pela ajuda!
0	um dia quem sabe!!! http://fb.me/7sV9NTiV3
1	Aguardando até agora a Assistência 24h da @Dell #DellBrazil. Você tem seus prazos para cumprir e seu notebook parado até quando?
0	Olha que coisa mais linda  mais cheia de graça :3  Thiago Boanerges Josemar Lopes http://fb.me/6XxK7cPgX
0	Notebook Dell I15-5548-B20 Intel Core i7 5ª geração por R$3.099,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-por-r3-09900/ …  Link permanente da imagem incorporada
0	Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … via @Olhar Digital
0	Dell Latitude E6320 13″ Notebook PC – Intel C... http://twib.in/l/9jKrp765kXE  #laptop #corei7 , https://twibble.io   Link permanente da imagem incorporada
0	Só pra terminar queria pedir pra dell me mandar outro notebook, esse meu ta velho
0	Muito bom....
0	...o modelo possui ainda 32 GB de memória RAM..." oO!!! , Dell traz de volta notebook Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … @olhardigital
0	Dell Inspiron 1545 Windows 7 Pentium Dual-Core 2.10GHz 3GB Notebook …http://niche-products-awe-inspiring-deal.newoffers.info/buy/01/?query=141758243045 …  Link permanente da imagem incorporada
0	Retweeted Olhar Digital (@olhardigital):
1	Isso sim é um notebook. Mas poderia ser mais fino e leve. http://fb.me/44YKLpZz3
0	Eu preciso Gustavo Oliveira http://fb.me/4eb61Gbya
0	Sonhei com meu pai noite passada. Ele me perguntava as melhores marcas de notebook, após ver o meu. Então respondi: Apple, Dell e Sony. Lol
0	Dell traz de volta notebook de alta performance Alienware 18: De acordo com a Dell, o novo Alienware 18 Ã© o n... http://bit.ly/1K92MwQ
0	Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://fb.me/3N4prMQAe
0	Notebook Dell I15-5548-B20 Intel Core i7 5ª geração 8GB 1TB por R$3.199,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-8gb-1tb-por-r3-19900/ …  Link permanente da imagem incorporada
0	Veja isso: Dell traz de volta notebook de alta performance Alienware 18: De acordo com a Dell, o novo Alienwar... http://bit.ly/1IkwM1c
0	Ahh...meu notebook Dell tem apenas 1 mês de comprado!
1	A pessoa compra um notebook e é obrigado a comprar um mouse...pq o touchpad não vale bosta! CCE >>>>>>> DELL
1	Perguntar não ofende: por quê a Dell vende um notebook com sistema operacional Ubuntu MAIS CARO que o mesmo notebook com Windows 8.1 ? ?
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
1	Nas opções do laptop mag indicaram o Dell XPS 13. Aquele notebook é horroroso em questões de design
0	qual é a marca de notebook que não é mais virgem? aquela que já Dell
0	Extra – Promoção Incrível 24% OFF no Notebook Dell Inspiron i14-3442-B10 Intel Core i3 4GB… http://www.cupomdesconto.blog.br/coupon/extra-promocao-incrivel-24-off-no-notebook-dell-inspiron-i14-3442-b10-intel-core-i3-4gb-1tb-tela-led-14-windows-8-1-preto/ …  Link permanente da imagem incorporada
0	Glr, será que eu compro? http://www.dell.com/br/p/inspiron-14-5458-laptop/pd?oc=cai5458w8s1632258bbrp022w&model_id=inspiron-14-5458-laptop … Tem alguma marca de notebook "não-top" (= barata) que vocês recomendem pra eu pesquisar?
0	@pontofrio meu sonho era esse preço nesse Dell. http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Inspiron-14--5447-A10--Intel-Core-i5-4G-14--Vermelho-Windows-8.1---Dell-5079412.html?recsource=busca-int&rectype=busca-57 … Obs: Foto com o preço edi
0	Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC  Link permanente da imagem incorporada
0	Dell 11.6" (, Intel Pentium Dual Core, 2 GHz, 3 GB) Notebook http://ift.tt/1JhWZ21   Link permanente da imagem incorporada
0	E o carregador de notebook da Dell, quem tem pra apoia?
0	[liquidae] Notebook Dell Inspiron 14R-5437-A30 (14"-i5-6GB-1TB-GT740M) - R$ 1499,00: http://www.liquidae.com.br/dell-ree...ail&utm_term=0_18700b5b14-085aaee324-76613053 … Apesar… http://bit.ly/1MRH1lE
0	@susiquirino   Olá, Poatardi! Opa, vemk http://pingu.im/1NztE9v  ;)
0	Alguém tem um cabo da Dell pra notebook pra me doar??
0	Dell Vostro 14 3445 Notebook (APU Dual Core E1/ 4GB/ 500GB/ Ubuntu) at price Rs18700.0 http://goo.gl/fb/rJYaL3
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
0	Dell Latitude E6410 Notebook PC, Intel Core i... http://twib.in/l/MdA7ELB878M  #laptop #corei7 , https://twibble.io   Link permanente da imagem incorporada
0	@Manhereno Esse aqui é uma versão atualizada do meu. Vem com processador da 5ª geração do i5 http://www.submarino.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …
0	Tenha um notebook leve e compacto com as melhores tecnologias. O Dell Inspiron 3442-B10 além de consumir menos... http://fb.me/6I2OIfoPz
0	#Repost @shoppingleblon ・・・ Bom dia, workaholics! Bala de menta #Starbucks sobre notebook #Dell na #FastShop;... http://fb.me/4fiWfK5hL
1	Notebook Latitude Dell teve hd substituido e formatado com sucesso windows 7 64bit.  um cliente satisfeito.
0	Notebook com ou sem teclado numérico? Samsung ou Dell, respectivamente
1	Tenta voltar seu notebook da dell do windows 10 para o windows 8.1, VC vai ver q bosta é isso. Tela petra 5 horas.  Link permanente da imagem incorporada
0	Tipo, se eu entro na pag do meu notebook na dell e ovu na parte de drivers, ele fala que é compativel com win10 e me manda pra essa pag
1	Nunca mais compro notebook da dell
0	alguém aí tem notebook da DELL? é a melhor marca mesmo?
1	eu olho pro meu notebook agora e me amaldiçôo por não ter comprado um asus, acer ou um dell
1	Venho por meio desse Tweet q o notebook da @Dell é o melhor
1	Notebook da Positivo é péssimo, credo! Melhor notebook é Dell
0	SUPER NOTEBOOK 2 EM 1 DELL - Aproveitem super oportunidade zero lacrado na caixa preço a combina oportu...: R$ 0,00 - http://classificados.infonet.com.br/ClassificadosApp/publico/retrieveAnuncioPortal.jsp?CdAnuncio=528887 …
0	#schoolsupplies Dell Latitude CPi 13.3" Notebook http://dlvr.it/BwwW8s  #onsale #greatdeals  Link permanente da imagem incorporada
0	Minha mãe sendo generosa no valor do notebook, isso significa i5, 1TB e 8gb de RAM. Agora a dúvida é dell ou hp.
1	Finalmente comprei um novo notebook. DELL I7 ❤ SEGUNDA-FEIRA ELE VAI SER MEU!  Muahahaahaja 0 retweet 1 curtiu Responder   Retweetar    Curtir  1
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
0	Notebook 2-in-1 Dell Inspiron 13 7348 133 Touch Fhd Intel Core I5-5200u  , Compra-Venta » Computadoras - Informática http://www.comerxi.com/notebook-in-dell-inspiron-touch-fhd-intel-core-i-u-ghz-uLima-c8-d201500000004645.html …
0	@richelmy @pontofrio alem disso as informações dele estão muito bagunçadas. http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Inspiron-14--5447-A10--Intel-Core-i5-4G-14--Vermelho-Windows-8.1---Dell-5079412.html?recsource=busca-int&rectype=busca-57
0	Notebook Dell Latitude E6410 Usado http://fb.me/3Vpyrz3iC
0	Aproveite mais essa mega oferta e ainda aproveite para concorrer a muitos premios da MagazineLuiza! http://fb.me/6CZdKTyYZ  0 retweet 1 curtiu Responder   Retweetar    Curtir  1
0	@eddzierrs @murilonist justamente a que eu tava pensando em comprar.. meu notebook (dell) acaba de morrer depois de quase 5 anos de uso
0	#GeniosEletronica notebook da dell,como faço para remover http://bit.ly/1I0MLkQ
0	Dica de compra de notebook com placa de vídeo GeForce 920M da Dell http://quenotebookcomprar.com.br/dica-de-compra-de-notebook-com-placa-de-video-geforce-920m-da-dell/ …
1	Você acha que a @Dell tem notebooks com uma qualidade superior, você está enganado. #dell #dellLIXO #NÃOCOMPREDELL http://www.reclameaqui.com.br/14295761/dell-computadores-do-brasil/notebook-dell-qualidade-ruim/ …
0	Vendo notebook dell 7520SE de alto desempenho. http://riodejaneiro.rioanuncios.com/riodejaneiro/Produtos/Informatica/Vendo-Notebook-Dell-7520Se-De-Alto-Desempenho.html …
0	Dell Inspiron 7000 de 15" é super fino e vem com Windows 10: O notebook ultrafino da Dell tem 1,9 cm de espess... http://bit.ly/1J9Znds
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
0	Notebook Dell Inspiron I14-A20 Intel Core i5 8GB 1TB Windows 8.1 LED 14 Placa de Vídeo 2GB-Preço Sugerido: R$2429,10.http://www.socialize.com.br/?Thy_Reis
1	eu tiro baidu hao123 br123 jogo do fuleco isurf webssearch  mas não consigo formatar um notebook DA DELL @DellnoBrasil
0	vi um notebook da dell mais barato do que o normal e sinceramente quero morrer
0	Alguém conhece um lugar bom pra eu consertar meu notebook Dell Inspiron? Parece que a placa-mãe foi pro... http://fb.me/8rVWMMHuy
0	Esse notebook é bacana? http://www.extra.com.br/Informatica/Notebook/Notebook-Dell-Inspiron-I14-5458-A40-com-Intel-Core-i5-5200U-8GB-1TB-Gravador-de-DVD-HDMI-Bluetooth-Placa-Grafica-de-2GB-LED-14-e-Windows-8-1-1000056835.html?utm_source=zoom&utm_medium=comparadorpreco&utm_campaign=Informatica_Notebook&utm_content=1000056835&cm_mmc=zoom_XML-_-INFO-_-Comparador-_-1000056835 …
0	@JonathanEnnes Use este link em uma janela anônima, irá atualizar no carrinho http://pingu.im/1Jt69OD
0	@DellAjuda bora trazer de volta os Allienwares! Bora botar preço competitivo! Tô doido pra trocar de notebook e não queria sair da Dell.
0	Amigos, estou vendendo um notebook dell top. i7 com 8 gb de ram, HD de 1TB híbrido com 32 gb ssd, placa de video... http://fb.me/6Csrkc0r0
1	Nunca pensei que seria tão difícil , configurar um notebook da Dell
0	Dell Brasil é líder em vendas de notebook no país.
0	Notebook Para Jogos Pesados da DELL: Notebook Para Jogos Pesados da DELL Com super desempenho e o melhor custo... http://bit.ly/1hqGaeB
1	@opiomorph @mattoi_ eu fiz backup e clean install no notebook novo da minha mãe. já veio ruim de fábrica cheio daqueles programas da dell
0	@pontofrio pin, me consegue um desconto nesse, please: http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Dell-Inspiron-I14-5458-A40-com-Intel-Core-i5-5200U-8GB-1TB-Gravador-de-DVD-HDMI-Bluetooth-Placa-Grafica-de-2GB-LED-14-e-Windows-8-1-1000056835
0	Dell lançou o notebook híbrido Inspiron 15 Série 7000 - http://www.notebookonline.org/2015/08/19/dell-lancou-o-notebook-hibrido-inspiron-15-serie-7000/ …
0	Vou levar meu notebook da Dell à assistência, ele está fazendo um "bipe" e não liga! Rezem por mim
1	Acabei de ganhar um presentão do @alencarfisio um notebook novinho e bem top da @Dell! ??? 0 retweet 3 curtiram Responder   Retweetar    Curtir  3
1	Td o que eu queria era o meu notebook sério nunca te pedi nada @dell
1	Nunca comprem notebook na loja http://ln.is/www.dell.com.br/HrryC …
1	finalmente comprei meu notebook  amém senhor finalmente comprei um da samsung msm pq da dell ta caro 0 retweet 1 curtiu Responder   Retweetar    Curtir  1
0	assistencia tecnica notebook DELL goiania: Assistencia Tecnica notebook DELL goiania Solicite ... http://migre.me/reqXp  -> (62)84647699
0	Notebook Dell i5 - 4GB - 1TB - 2GB dedicado - Led 14"- Prateado - Computadores e acessórios -... http://fb.me/4fwWPBI1X
0	@submarino tem como conseguir algum desconto nesse Dell? http://www.submarino.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …
1	Dell é o notebook que tem estrutura mais fraca, sempre quebra.
0	Deals : http://ift.tt/1LiNEtG  #70813 Dell Latitude E6500 Notebook Computer Dual Core 2.4Ghz 250GB 2GB Windows 7 …  Ver foto
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
0	Dell Vostro 3700 17.3" (500 GB, 2.8 GHz, 4 GB) Notebook - bvcs74a16 …http://extremely-good-marvelous-auction.buy2day.info/buy/01/?query=271961238463 …  Link permanente da imagem incorporada
0	>>>>>> R$ 993,91<<<<< no cartão sub Notebook Dell Inspiron i14-3442-B10 Intel Core i3 4GB 1TB Tela LED 14"... http://fb.me/2FMsoX3J5
0	@Walmart_BR Pois vamos baixar o preço desse Dell e deixa ele menos de 2000? https://www.walmart.com.br/notebook-dell-intel-core-i5-5-geracao-4gb-1tb-i14-5448-b10-led-14-windows-8-1-aco-escovado-prata-com-placa-video-de-2gb/3144448/pr … #MenosMimimiEMais p
0	@canalshoptime tem como deixar esse Dell por menos de 2000? http://www.shoptime.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …
0	Dell Latitude E6400 14.1" Notebook …http://great-tech-deals-grand-items.newoffers.info/buy/01/?query=171898004371 …  Link permanente da imagem incorporada
1	Quando eu for comprar um notebook me lembrem de comprar o da Dell.  * garantia em domicílio.
0	por 1.605 no cartão sub OU 1700 no boleto Notebook Dell Inspiron i14-3437-A35 com Intel Core i5 4GB 1TB LED 14"... http://fb.me/3LhQHSU03
0	Notebook DELL re-fabricado. 12 cuotas de $ 980,00
1	CHEGOU!!! #AlegriaDeCriança #Dell #latitude3450 #PC #notebook #ggwp #happy https://instagram.com/p/6hv_5_CfdK/
1	não se transforma fusca em ferrari, assim como não se transforma notebook positivo em notebook dell.
0	Dell Latitude E5440 14\” Notebook – Intel Cor... http://twib.in/l/yxaL4rMMoGE  #laptop #corei5 , https://twibble.io   Link permanente da imagem incorporada
0	Dell Latitude E5540 CA003LE55401EM Notebook http://www.teknolojikapinda.com/dell-latitude-e5540-ca003le55401em-notebook …
0	~ Gente estou vendendo um #notebook da #Dell muito bom so não uso ele em nada rs'... #Barato quem se interessar... http://fb.me/4c4YHFxzL
0	Notebook dell - @yapocl http://www.yapo.cl/antofagasta/computadores/notebook_dell_22042025.htm …  Se vende barato
0	Dell 15.6" (250 GB, Intel Pentium Dual Core, 2 GHz, 3 GB) Notebook -... …http://niche-products-awe-inspiring-deal.newoffers.info/buy/01/?query=321834814411 …  Link permanente da imagem incorporada
0	Meu notebook deu pane ? preciso entrar em contato com a @Dell
1	@dell vem logo arrumar o meu notebook pfvrzinho
0	Gostei de um vídeo @YouTube de @angelokikote http://youtu.be/LIsueTWMmJk?a  Notebook Dell Inspiron 14R 5421 - Como desmontar e fazer limpeza
0	Notebook Dell inspiron N4050, XV Arica & Parinacota , yapo.cl http://fb.me/4dnfL2pt3
0	@DellnoBrasil bom dia!!!! vocês irão disponibilizar os drivers para o notebook dell inspiron 15r n5010?
0	Dell Latitude E6320 Notebook @ http://newegg.com  http://goo.gl/fb/MHTMSc
0	Confira no Magazine Luisacesar: Notebook Dell Inspiron 14 I14 3443 https://www.magazinevoce.com.br/magazineluisacesar …
0	Notebook Battery for Dell KD495 PC764 TC030 TD175 Latitude D630 http://posh-stunning-reviews.buy2day.info/buy/01/?query=391226234212 …  Link permanente da imagem incorporada
0	Dell Latitude E6420 Notebook PC – Intel Core ... http://twib.in/l/n7pBBBrLja5  #laptop #corei5 , https://twibble.io   Link permanente da imagem incorporada
0	Olhar Digital: Dell traz ao Brasil notebook 2 em 1 com tela de 15 polegadas http://fb.me/4A0L8ACHH
0	Amigos, meu apartamento foi invadido nessa manhã e foram levados entre outros pertences um notebook DELL e um... http://fb.me/7w7hQ8tbS
0	Dell apresenta seu primeiro notebook híbrido de 15 polegadas no Brasil
0	E testar também um notebook da Dell.
0	Quer um Notebook Dell i5 com um precinho especial? Tá aqui: ~~>http://maga.lu/1GIFZmD
0	Inspiron 14 Série 5000, novo Notebook da DELL com Ubuntu - A Dell colocou outro modelo de Notebook à venda com Ubu... http://ow.ly/32EcIV
1	Meu notebook deu um probleminha,    E assim que liguei no suporte Dell,  fui atendida logo,  o técnico que me atendeu foi super lega...
0	Gostei de um vídeo @YouTube de @eloisasemh http://youtu.be/2gZjHq0pQQY?a  UNBOXING NOTEBOOK DELL A40
1	cegonha trouxe meu bebê ou seje a dell entregou meu notebook novo estou chorano
1	To a 1 hora com a dell no telefone espero que resolva o problema do meu notebook ngm merece comprar e uma semana dps estragar
0	Dell lança no Brasil primeiro notebook híbrido de 15,6 polegadas: A Dell lançou no mercado brasileiro o notebo... http://bit.ly/1TwAfjK
0	alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …
0	Chega ao Brasil o notebook 2 em 1 da Dell com tela de 15 polegadas e Windows 10: http://bit.ly/1IIRCc6
0	Acho engraçado essas lojas vendendo notebook positivo 3D com 2GB de RAM como se fossem ultrabooks da Dell HUAHAUA
0	qual a melhor marca atual levando em consideração CxB? Dell? To precisando de um notebook mas não sei qual. I5, 4gb+ etc
0	Dell apresenta seu primeiro notebook híbrido de 15 polegadas no Brasil
0	@mvs635 Eu consigo ele por http://dedicacaotta.vc/1TuDY1o  =]
