has_opinion	sentence
0	"Saudades do que já tivemos!"
0	"Entre um vôo e outro , já que no aeroporto de Manaus ainda não tem NEHUM restaurante , arriscamos esse ."
1	"O local é bastante simples e até que o preço cobrado não é tão "simples" assim , mas a comida era boa ."
0	"Apenas fiquei surpresa pois era num sábado as 21:00 e não havia nenhuma mesa ocupada além da nossa."
0	"Uma pena!"
1	"O nome engana - o lugar tem uma variedade enorme de todo tipo de bebidas, comidas tipicas deliciosas padrão gourmet, um ambiente aconchegante."
0	"Quem entra não tem pressa de sair."
1	"Excelente atendimento, garçom Ebrahim muito educado e atencioso."
0	"Recomendo o restaurante, o melhor de Manaus!"
1	"Ótima variedade de sucos."
1	"Salgados e sanduíches saborosos, porém o valor exorbitante cobrado me deixa insatisfeito."
1	"Restaurante muito bom e concorrido de Manaus."
1	"Comida regional com pratos generosos."
0	"Muito bom com muitas opções, além do tradiconal peixe, tem também outros pratos para quem não come peixe."
1	"Preço justo"
1	"Comida saborosa."
0	"Impecável."
1	"Peixe estava bem preparado no ponto e com acompanhamentos deliciosos."
0	"O único problema foi no atendimento, pois o garçom deveria ser novo e não sabia explicar as bebidas por exemplo."
0	"Mas valeu a pena."
1	"Boas pixzzas e boas massas."
1	"Lugar aconchegante e tranquilo."
1	"Atendimento razoavel, principalmente quando está cheio."
1	"Preço justo pela qualidade dos pratos."
0	"Vim comer nessa pizzaria no domingo."
0	"Foi bastante tranquilo e a pizza veio rápido."
1	"Achei bem saborosa e com recheio de qualidade."
1	"Não gostei muito da borda com gergelim, algo fora do padrão de pizza."
0	"Mas de maneira geral valeu a pena."
1	"Quando se está com muita fome e sem opção o Habibs pode ser a saída....o ambiente não é agradável e comida é razoável."
0	"Uma boa opção para quem quer comer rápido, mas fugindo do barulho da praça de alimentação."
1	"Buffet com opções variadas e saborosas."
0	"De sobremesa, peça o petit gateau !"
1	"Serve lanches e cerveja gelada, tem mesinhas fora do estabelecimento, funciona em uma casa antiga o que faz parte do seu charme."
0	"Recomendo."
1	"Recentemente inaugurado e em plena Savassi, o restaurante é um local agradável, com sua cozinha espanhola com influência mediterrânea, conta também com um espaço cultural com exposições de artes, apresentações artísticas e dança flamenca."
0	"Seu carro chefe são as paellas valencianas e marinera."
0	"Imperdíveis!"
1	"O bar fica próximo ao Teatro Amazonas, e geralmente tem música ao vivo acompanhada de cerveja gelada."
0	"Para comer uma boa pedida é o sanduíche de pernil e bolinhos de bacalhau."
1	"O ambiente é agradável em razão da diversidade de seus frequentadores."
1	"Um lugar seguro, agradável, aconchegante, preço acessível, bem localizado, faça uma visita com a sua família ou amigos."
1	"Sabor da comida fantástico, em qualquer especialidade típica da região."
1	"Além do atendimento e ambiente super confortável."
1	"Além de continuar com um bom self service, com destaque para as sobremesas, também tem boas opções a la carte."
0	"Mas o destaque são os drinks preparados pelo Marcolino, principalmente as caipirinhas de cupuaçu e a tradicional."
1	"Também tem bons shows folclóricos nas quintas feira."
0	"Bom para experimentar releituras de pratos da comida regional."
0	"Adorei TUDO que experimentei, especialmente, o pesto de Jambu."
1	"Fora isso, o atendimento é MUITO bom e o ambiente/vista são lindos."
1	"As empanadas deste lugar são deliciosas, e as cervejas também, tem boa opção de vinho!!"
1	"Gostei, pena que o lugar é pequeno, muitas vezes não tem lugares disponíveis!"
0	"Muito bom!"
1	"A carne de sol é ótima, muito bem servida, as Cervejas do Dedé são muito saborosas, principalmente a Dunkel, o atendimento é top"
1	"Esta sorveteria é muito simpática, bem em frente ao Teatro Amazonas, na praça."
1	"Experimentei o sorvete de Creme de Cupuaçu, delicioso!"
0	"Tem outros sabores de frutas locais e também os usuais."
1	"Além disso, o pessoal que atende é muito gentil!"
1	"Muito bom, local simples de boa qualidade, sucos deliciosos e abundantes."
1	"Preço razoável."
0	"Aconselho conhecer!."
1	"adorei estar neste lugar o qual possue um otimo cardapio regional local alem do otimo atendimento o local e bastante amplo e bem climatizado com amplo estacionamento e otima localizacao.. recomendo a todos.."
1	"É uma delicia a carne sol do coqueiro verde, com mais os bolinhos de macaxeira frita."
1	"Padrão de qualidade, bom atendimento, o preço é razoável."
1	"boa localização, bonito, amplo , limpo, pessoal atencioso , comida super agradável, e farta ; as carnes sao da melhor qualidade"
1	"Excelente comida, cozinha aberta a visita, estacionamento amplo, lugar bem aconchegante, amplo, bom atendimento, selv service."
1	"Ótimo atendimento, carnes saborosíssimas, ambiente agradável com brinquedoteca, boa opção para os pais que tem filhos pequenos."
0	"Não deixe de pedir o steak de alcatra e a costela com molho barbecue.. são fantásticos!"
0	"Vou sempre que posso."
1	"Deliciosamente ,variedades no cardápio ,ambiente confortável e com um preçinho saboroso,indico p todos,vale conferir"
0	"Fui no almoço."
1	"Primeiro o garçom foi inconveniente ao insistir no que deveríamos pedir, pedimos de entrada um camarão de 76 reais que não estava bem preparado."
1	"Depois de muita dúvida pois o cardápio é muito extenso e repetitivo, pedimos um camarão Iracema(157 reais) que no cardápio dizia servir até  4 pessoas, talvez serviria se a quarta pessoa aceitasse comer só arroz de leite, pois sobrou uma quantidade enorme, camarão mesmo que é bom achei que só come no máximo 3."
0	"De acompanhamento uma porção de macaxeira que nem comemos pois estava dura."
1	"Resultado, 300 reais a conta pra três pessoas, lugar bonito mas a comida, o atendimento e o preço não valeu a pena."
1	"Fui diversas vezes desde qdo mudei pra Manaus e trouxe as visitas ( turistas) pra ter a experiência de tomar sopas variadas em sistema de buffet, em ambiente rústico e amplo.Todos sempre gostaram da experiência"
0	"Os garçons falam como se fossem ada nossa família!"
1	"O ambiente é sofisticado e há bastante opção de acompanhamento, desde saladas, geleias, queijos e o tradicional para um churrasco."
0	"Achei que faltou o feijão normal, pois só tinha o tropeiro!"
0	"Na entrada, há cachaças artesanais para os clientes provarem!"
0	"O local é caro, então faça valer a pena e coma muito!"
1	"Se você procura comer um bom bacalhau, estará no lugar certo."
1	"Experimentei dois pratos e ambos estavam divinos."
1	"O ambiente é muito bonito, mas nem tanto acolhedor."
1	"Os funcionários são educados, porém, numa das vezes que estivemos houve um problema com a conta (erro da casa) e a mesma não se esforçou para resolvê-lo."
0	"Um casa desse nível não poderia ter tal comportamento."
1	"Todavia, o preço dos pratos são assustadores, muito embora um prato individual serve com fartura duas pessoas, mas ainda assim o preço é puxado."
1	"Boa estrutura, ótima comida, esperava ais variedade, serve rodízio e a la carte, atendimento bom, poderia ter maior área climatizada, não identifiquei mobilidade para cadeirantes, idosos, se for em um numero grande de pessoas, é bom fazer uma reserva."
0	"A Cantina Ghiotto é um dos pouquíssimos restaurantes em Manaus que está sempre se reinventando e buscando maneiras de melhorar seu espaço e serviço pra melhor atender seus clientes."
0	"Isso verdadeiramente me impressiona!"
1	"Ótima opção pra quem gosta de um rodízio de massa e pizza em um ambiente descontraído repleto de jovens e muita energia positiva."
1	"Atendimento sempre excelente !"
1	"Comida típica da região, gostosa, feita com capricho, peixes frescos, tudo muito gostoso!!"
1	"Atendimento excelente, garçons muito atenciosos!"
0	"Foi uma experiência incrível e única!"
0	"Um restaurante que representa muito bem a potencialidade da comida nortense."
0	"Muito bem preparado e elaborado, apesar do cargo chefe ser uma alimentação bem pesada, ainda assim o indico (pirarucu amazônico)."
1	"Infelizmente as bebidas pra quem quer uma experiência completa, não vai de total encontro a expectativa, caipirinhas e caipiroskas mal elaboradas, mas logico os sucos são muito bem feitos e a batida de cacau sensacional."
0	"Tem pratos feitos com muito requinte (camarão com castanha) e pratos feitos como se fosse de casa (sardinha frita com baião)."
0	"Indico para quem quiser ter uma experiencia amazônica diferenciada."
0	"Afinal de contas o melhor cozinheiro do Brasil varias vezes consecutivas não é a toa."
1	"é um otimo restaurante, os pratos sao muito bons, o ambiente e o atendimento também, porém há um problema com a acústica do restaurante, muito barulhento"
1	"Ambiente ótimo pra ir com amigos, comida muito boa mesmo."
1	"A decoração é linda e voce pode caminhar pelo local e conhecer cachaças de varias partes do país e do mundo, e o melhor estão todas a venda, otimo ambiente."
0	"Super recomendo."
1	"Excelente churrascaria."
0	"Após alguns dias comendo apenas os pratos da região com peixe, resolvi comer uma boa carne e fiquei muito satisfeito com o restaurante."
1	"O ambiente é bem agradável."
0	"Para quem prefere menos barulho, sugiro ficar na parte superior."
1	"Pedi a picanha e a carne veio suculenta e no ponto certo."
1	"O atendimento também foi ótimo e a comida veio super rápido."
1	"Local bonito e agradável, localizado dentro do shopping Manauara."
0	"Muitas opções de drinks e bebidas."
1	"O atendimento deixou um pouco a desejar porque tinha garçons que não sabiam quais os chopes disponíveis na casa e chegamos a ficar 15 min esperando uma rodada com um monte de garçom ocioso."
0	"Mesmo assim recomendo o local, basta ser paciente."
1	"Apesar de não terem matrinxã assado, o qual queria jantar, o tambaqui estava saboroso e a farofa branca com ovo estava muito bom."
0	"O que eu pedi e gostei foram o escondidinho de carne de sol e uma carne na chapa, muito gostosa mesmo."
1	"além da variedade de bebidas e um chopp bem geladinho."
0	"Ótima opção para uma sexta feira explorando Manaus ."
1	"O local é lindo , a comida é ótima (sem falar na batida de coco!!)"
1	", música ao vivo e o atendimento perfeito do garçom Bruno ."
0	"Podendo , voltaremos !"
1	"É horrivel, o atendimento vai de mal a pior só depende do astral dos funcionários, além disso para "mundo" de alguma coisa essa  casa passa muito longe!"
1	"é um lugar agradável por estar no Largo, no entanto poderia ser um ótimo lugar se mudasse a administração, seria realmente um lugar interessante de se conhecer!"
1	"para jantar recomendo, pratos diferenciados, não tradicionais, ou melhor tradicionais modificados, o chefe tem um menu muito gostoso."
1	"o lugar é agradável, pequeno, parece com o japao realmente."
1	"Grande bufê  que inclui além de pratos quentes, sushis e saladas que servem de acompanhamento para os variados tipos de carne que é servido."
0	"Vale à pena chegar chegar cedo para pegar uma boa mesa e curtir as promoções de happy hour do Outback."
1	"O atendimento é muito bom; a comida, saborosa; o chopp está sempre na temperatura certa!"
0	"Claro que, com a casa cheia, há um pouco mais de demora, mas nada que prejudique a experiência."
0	"Dica: se puder sentar na varanda, o som ambiente não atrapalha as conversas."
0	"Jantamos no Jamie’s de Curitiba a poucos dias."
1	"Embora seja um restaurante recém inaugurado o atendimento é ótimo."
0	"Serviço prestado com atenção e cuidado ao consumidor."
0	"Fomos atendidos pelo Fernando."
1	"A comida é muito boa."
1	"Com cardápio variado."
0	"Fácil de agradar."
1	"Boa carta de vinhos."
1	"E o preço não é abusivo."
0	"Vale conferir."
1	"Um bom atendimento, a comida estava deliciosa, tudo na medida certa, a localização do restaurante é ótima, o saber de comidas regionais pe o que mais surpreende, voltarei outras vezes com certeza !!!!"
1	"A comida é extremamente saborosa e os pratos são bem servidos."
1	"O ambiente é bastante simples e o serviço deixou a desejar."
0	"O preço de bebidas, principalmente dos coquetéis, são acima da média e a comida tem preço compatível com a qualidade."
0	"Vale a visita"
1	"Lanchonete com variedade em lanches e sucos, um bom atendimento e está em uma boa localização da cidade."
1	"Excelente atendimento agilade rapidez desdo garçom a gerência chopp gelado ambiente agradável parabéns...Voltaremos quando estivermos em Curitiba."
1	"O ambiente é bem amplo, iluminado."
0	"Nenhum luxo, mas é agradável."
1	"Atendimento muito cordial dos funcionários."
0	"Pedi um fetuccini com picanha: o serviço não foi muito rápido, mas o problema é que a comida estava fria."
1	"Caro demais."
0	"Recomendo procurar outros restaurantes na área."
0	"Pela música fizemos o sacrifício de entrar, não tem couvert artístico e nem 10%, o que é uma deslavada mentira pois já estão embutidos nos preços do cardápio."
1	"O cardápio é outra falácia, pois pedimos uns 4 itens que não estavam disponíveis."
1	"Boteco bem simples com preço de Bistrô."
1	"Um bom lugar para estar com a família e/ou amigos, incluindo crianças."
1	"Restaurante muito aconchegante e com bom atendimento."
1	"A cozinheira veio até à nossa mesa e se colocou à disposição para confirmar o bom atendimento."
1	"Preço bom e comida muito boa."
0	"Frequento o restaurante a 3 anos e toda vez que eu vou sou bem tratada."
1	"Os sushis são diferentes, frescos e incríveis."
0	"Os especiais da casa são os coringas e meus favoritos."
0	"Com sobremesa inclusa de rolinho primavera de doce de leite."
0	"SENSACIONAL."
0	"Amooo."
0	"Endereco tradicional paulistano."
0	"Sem rococos alheios ao padrao original de uma excelente casa de carnes a churrascaria prima pelas carnes, servico e buffet (saladas, queijos, iguarias / sem frutos do mar)."
0	"Fui por indicação a esse restaurante e realmente fiquei muito surpresa."
1	"Primeiro que o serviço é excelente e o cardápio, apesar de pequeno, contempla todos os gostos."
1	"Comi gnui e estava maravilhoso."
0	"De sobremesa um doce com aipim, sorvete de côco e doce de leite."
0	"O côco pesou para mim, mas essa é uma intolerância minha."
1	"A sobremesa estava excelente."
0	"A minha amiga que comeu também não teve problema algum."
0	"Recomendo e voltarei!"
0	"Difícil não sair satisfeito do Rascal."
0	"O Buffet tem uma variedade de saladas maravilhosa que se completa com os pratos quentes do dia."
1	"Almoço caseiro muito bom, três opções de carne, muita variedade de saladas, três frutas, um bufê de sobremesas incrivel, com bolos e tortas doces e dois sucos naturais, o melhor é o preço, R$18,90 a vontade!!!"
1	"Ambiente rústico que traz o apelo artesanal."
1	"O cardápio conta com pizzas de sabores diferenciados, bebidas interessantes e preços compatíveis."
1	"A fabricação é visível aos clientes e o atendimento é bom."
1	"Bem localizado na Av."
0	"Dom Severino, local nobre da zona leste da cidade."
1	"Fui com amigos comemorar um aniversário, por fora o prédio é bem velho e feio."
0	"No ambiente do restaurante temos a vista a beira mar de Niteroi e da ponte, esse acredito ser o ponto alto do restaurante."
1	"As estradas foram boas mas o como prato principal pedi um bacalhau para dois e não achei grande coisa, estava bom mas um pouco ressecado."
1	"De sobremesa pedi um sorvete  que vem com dois tipos de mousses, porção bem pequena."
0	"Não pedimos vinho ou alguma bebida cara para elevar o preço."
0	"Em resumo, nada que justifique o preço de R$ 194,40 por pessoa."
0	"Recomendo!"
1	"Estive almoço de Natal do Fogo de Chão Danto Amaro e o atendimento foi excepcional."
0	"Destaque para o Mateus, Maciel e em especial o Carlos"
1	"É tipo um boteco sofisticado."
1	"O espaço é apertado , mas o serviço é bom e os aperitivos são de qualidade , muito bons."
0	"Freqüentado pelos moradores do Leblon."
1	"Muito bem localizado em frente à praia de Meirelles, pouco depois da popular "feirinha", com excelente atendimento e ambiente muito agradável."
0	"Comi a famosa carne seca na moranga, que faz jus à sua fama."
0	"Bem servido para duas pessoas, vem acompanhada de arroz e salada verde com vinagrete de rapdura."
0	"Recomendo também a Caipirosca de morango."
0	"Fui num domingo, dia em que a dupla de músicos atendia na hora os pedidos dos clientes e tocavam de sertanejo a rock, passando por mpb e bossa nova."
1	"O restaurante Coco Bambu de Fortaleza/CE é excelente, com dezenas de opções de pratos, variando entre peixes, frangos e carnes vermelhas."
0	"Há também dezenas de opções de bebidas (quentes ou frias) e sobremesas variadas."
1	"O atendimento é extremamente agradável, com garçons muito solícitos e simpáticos."
0	"Como não poderia deixar de ser, nem tudo é perfeito."
1	"O preço do restaurante é alto, mas a quantidade de comida nos pratos vale muito à pena e serve bem ao menos 2 pessoas."
1	"Restaurante com atendimento cordial, preço na média da região e boa variedade de pratos e sobremesas."
0	"As sobremesas merecem destaque pela variedade e sabor."
1	"Local muito bom , na Passarela do Caranguejo."
1	"Com excelente comida e música ao vivo."
1	"Destaque para a decoração que achei incrível ."
1	"ótimo atendimento."
1	"Preço dentro da média ."
0	"Vale a pena conhecer."
1	"A melhor cerveja artesanal de Belém, fica na Cervejaria Amazon Beer, localizada na Estação das Docas, próximo ao ver-o-peso, um dos ambientes mais indicados para os turistas, além, de poder ver o por-do-sol a beira da baia do guajará."
0	"Existe diversos tipos de cervejas, como a com sabor de açaí, taperebá e bacuri."
1	"As pizzas da Forneria são ótimas!!"
1	"Massa deliciosa, ingredientes de qualidade."
1	"O atendimento é muito bom e o preço bem justo."
0	"Pizza simples (margherita) sai por R$ 47, uma mais elaborada por R$ 56!!"
0	"O restaurante é especializado na cozinha portuguesa."
1	"Atendimento muito bom, o bacalhau esplêndido."
1	"O único defeito é o espaço que é pequeno."
1	"Os pratos quentes do restaurantes são deliciosos."
0	"Restaurante a kilo , normalmente são de baixo custo , atenção , não é o caso deste !"
1	"O kilo perto dos R $ 75,00 torna o almoço de rotina muito caro , permitindo o cálculo e trazendo o almoço no Mangai pra uma realidade possível , quanto ao sabor ... muito bom !"
0	"Bom mesmo."
